"","from","to","type","subtype"
"1","IKBKB","NFKBIA","PPrel","activation"
"2","IKBKB","NFKBIA","PPrel","phosphorylation"
"3","MAP3K7","IKBKB","PPrel","activation"
"4","MAP3K7","IKBKB","PPrel","phosphorylation"
"5","MAP3K7","CHUK","PPrel","activation"
"6","MAP3K7","CHUK","PPrel","phosphorylation"
"7","MAP3K7","IKBKG","PPrel","activation"
"8","MAP3K7","IKBKG","PPrel","phosphorylation"
"9","CHUK","NFKBIA","PPrel","activation"
"10","CHUK","NFKBIA","PPrel","phosphorylation"
"11","TRAF6","CEBPB","PPrel","activation"
"12","TRAF6","MAPK14","PPrel","activation"
"13","TRAF6","MAPK14","PPrel","indirect effect"
"14","TRAF6","MAPK15","PPrel","activation"
"15","TRAF6","MAPK15","PPrel","indirect effect"
"16","TRAF6","MAPK1","PPrel","activation"
"17","TRAF6","MAPK1","PPrel","indirect effect"
"18","TRAF6","MAPK3","PPrel","activation"
"19","TRAF6","MAPK3","PPrel","indirect effect"
"20","TRAF6","MAPK4","PPrel","activation"
"21","TRAF6","MAPK4","PPrel","indirect effect"
"22","TRAF6","MAPK6","PPrel","activation"
"23","TRAF6","MAPK6","PPrel","indirect effect"
"24","TRAF6","MAPK7","PPrel","activation"
"25","TRAF6","MAPK7","PPrel","indirect effect"
"26","TRAF6","MAPK8","PPrel","activation"
"27","TRAF6","MAPK8","PPrel","indirect effect"
"28","TRAF6","MAPK11","PPrel","activation"
"29","TRAF6","MAPK11","PPrel","indirect effect"
"30","TRAF6","MAPK9","PPrel","activation"
"31","TRAF6","MAPK9","PPrel","indirect effect"
"32","TRAF6","MAPK10","PPrel","activation"
"33","TRAF6","MAPK10","PPrel","indirect effect"
"34","TRAF6","MAPK13","PPrel","activation"
"35","TRAF6","MAPK13","PPrel","indirect effect"
"36","TRAF6","MAPK12","PPrel","activation"
"37","TRAF6","MAPK12","PPrel","indirect effect"
"38","TRAF6","MAP3K7","PPrel","activation"
"39","TRAF6","TAB3","PPrel","activation"
"40","TRAF6","TAB2","PPrel","activation"
"41","TRAF6","NFKB1","PPrel","activation"
"42","TRAF6","NFKB1","PPrel","indirect effect"
"43","TRAF6","RELA","PPrel","activation"
"44","TRAF6","RELA","PPrel","indirect effect"
"45","TRAF6","FOS","PPrel","activation"
"46","TRAF6","FOS","PPrel","indirect effect"
"47","TRAF6","FOSB","PPrel","activation"
"48","TRAF6","FOSB","PPrel","indirect effect"
"49","TRAF6","JUN","PPrel","activation"
"50","TRAF6","JUN","PPrel","indirect effect"
"51","TRAF6","JUND","PPrel","activation"
"52","TRAF6","JUND","PPrel","indirect effect"
"53","TRAF6","FOSL1","PPrel","activation"
"54","TRAF6","FOSL1","PPrel","indirect effect"
"55","TAB3","IKBKB","PPrel","activation"
"56","TAB3","IKBKB","PPrel","phosphorylation"
"57","TAB3","CHUK","PPrel","activation"
"58","TAB3","CHUK","PPrel","phosphorylation"
"59","TAB3","IKBKG","PPrel","activation"
"60","TAB3","IKBKG","PPrel","phosphorylation"
"61","TAB2","IKBKB","PPrel","activation"
"62","TAB2","IKBKB","PPrel","phosphorylation"
"63","TAB2","CHUK","PPrel","activation"
"64","TAB2","CHUK","PPrel","phosphorylation"
"65","TAB2","IKBKG","PPrel","activation"
"66","TAB2","IKBKG","PPrel","phosphorylation"
"67","IKBKG","NFKBIA","PPrel","activation"
"68","IKBKG","NFKBIA","PPrel","phosphorylation"
"69","NFKB1","IL4","GErel","expression"
"70","NFKB1","IL5","GErel","expression"
"71","NFKB1","IL13","GErel","expression"
"72","NFKB1","CCL17","GErel","expression"
"73","NFKB1","CCL11","GErel","expression"
"74","NFKB1","CXCL1","GErel","expression"
"75","NFKB1","CXCL2","GErel","expression"
"76","NFKB1","CXCL3","GErel","expression"
"77","NFKB1","CXCL6","GErel","expression"
"78","NFKB1","CXCL5","GErel","expression"
"79","NFKB1","CXCL8","GErel","expression"
"80","NFKB1","CXCL10","GErel","expression"
"81","NFKB1","CCL2","GErel","expression"
"82","NFKB1","CCL7","GErel","expression"
"83","NFKB1","CCL20","GErel","expression"
"84","NFKB1","IL6","GErel","expression"
"85","NFKB1","TNF","GErel","expression"
"86","NFKB1","PTGS2","GErel","expression"
"87","NFKB1","CSF3","GErel","expression"
"88","NFKB1","CSF2","GErel","expression"
"89","NFKB1","DEFB4B","GErel","expression"
"90","NFKB1","LOC124906748","GErel","expression"
"91","NFKB1","DEFB4A","GErel","expression"
"92","NFKB1","MUC5AC","GErel","expression"
"93","NFKB1","MUC5B","GErel","expression"
"94","NFKB1","S100A7A","GErel","expression"
"95","NFKB1","S100A7","GErel","expression"
"96","NFKB1","S100A8","GErel","expression"
"97","NFKB1","S100A9","GErel","expression"
"98","NFKB1","LCN2","GErel","expression"
"99","NFKB1","MMP1","GErel","expression"
"100","NFKB1","MMP3","GErel","expression"
"101","NFKB1","MMP9","GErel","expression"
"102","NFKB1","MMP13","GErel","expression"
"103","NFKB1","IL1B","GErel","expression"
"104","NFKB1","IFNG","GErel","expression"
"105","NFKB1","NFKBIA","PPrel","dissociation"
"106","RELA","IL4","GErel","expression"
"107","RELA","IL5","GErel","expression"
"108","RELA","IL13","GErel","expression"
"109","RELA","CCL17","GErel","expression"
"110","RELA","CCL11","GErel","expression"
"111","RELA","CXCL1","GErel","expression"
"112","RELA","CXCL2","GErel","expression"
"113","RELA","CXCL3","GErel","expression"
"114","RELA","CXCL6","GErel","expression"
"115","RELA","CXCL5","GErel","expression"
"116","RELA","CXCL8","GErel","expression"
"117","RELA","CXCL10","GErel","expression"
"118","RELA","CCL2","GErel","expression"
"119","RELA","CCL7","GErel","expression"
"120","RELA","CCL20","GErel","expression"
"121","RELA","IL6","GErel","expression"
"122","RELA","TNF","GErel","expression"
"123","RELA","PTGS2","GErel","expression"
"124","RELA","CSF3","GErel","expression"
"125","RELA","CSF2","GErel","expression"
"126","RELA","DEFB4B","GErel","expression"
"127","RELA","LOC124906748","GErel","expression"
"128","RELA","DEFB4A","GErel","expression"
"129","RELA","MUC5AC","GErel","expression"
"130","RELA","MUC5B","GErel","expression"
"131","RELA","S100A7A","GErel","expression"
"132","RELA","S100A7","GErel","expression"
"133","RELA","S100A8","GErel","expression"
"134","RELA","S100A9","GErel","expression"
"135","RELA","LCN2","GErel","expression"
"136","RELA","MMP1","GErel","expression"
"137","RELA","MMP3","GErel","expression"
"138","RELA","MMP9","GErel","expression"
"139","RELA","MMP13","GErel","expression"
"140","RELA","IL1B","GErel","expression"
"141","RELA","IFNG","GErel","expression"
"142","RELA","NFKBIA","PPrel","dissociation"
"143","FOS","IL4","GErel","expression"
"144","FOS","IL5","GErel","expression"
"145","FOS","IL13","GErel","expression"
"146","FOS","CCL17","GErel","expression"
"147","FOS","CCL11","GErel","expression"
"148","FOS","CXCL1","GErel","expression"
"149","FOS","CXCL2","GErel","expression"
"150","FOS","CXCL3","GErel","expression"
"151","FOS","CXCL6","GErel","expression"
"152","FOS","CXCL5","GErel","expression"
"153","FOS","CXCL8","GErel","expression"
"154","FOS","CXCL10","GErel","expression"
"155","FOS","CCL2","GErel","expression"
"156","FOS","CCL7","GErel","expression"
"157","FOS","CCL20","GErel","expression"
"158","FOS","IL6","GErel","expression"
"159","FOS","TNF","GErel","expression"
"160","FOS","PTGS2","GErel","expression"
"161","FOS","CSF3","GErel","expression"
"162","FOS","CSF2","GErel","expression"
"163","FOS","DEFB4B","GErel","expression"
"164","FOS","LOC124906748","GErel","expression"
"165","FOS","DEFB4A","GErel","expression"
"166","FOS","MUC5AC","GErel","expression"
"167","FOS","MUC5B","GErel","expression"
"168","FOS","S100A7A","GErel","expression"
"169","FOS","S100A7","GErel","expression"
"170","FOS","S100A8","GErel","expression"
"171","FOS","S100A9","GErel","expression"
"172","FOS","LCN2","GErel","expression"
"173","FOS","MMP1","GErel","expression"
"174","FOS","MMP3","GErel","expression"
"175","FOS","MMP9","GErel","expression"
"176","FOS","MMP13","GErel","expression"
"177","FOS","IL1B","GErel","expression"
"178","FOS","IFNG","GErel","expression"
"179","FOSB","IL4","GErel","expression"
"180","FOSB","IL5","GErel","expression"
"181","FOSB","IL13","GErel","expression"
"182","FOSB","CCL17","GErel","expression"
"183","FOSB","CCL11","GErel","expression"
"184","FOSB","CXCL1","GErel","expression"
"185","FOSB","CXCL2","GErel","expression"
"186","FOSB","CXCL3","GErel","expression"
"187","FOSB","CXCL6","GErel","expression"
"188","FOSB","CXCL5","GErel","expression"
"189","FOSB","CXCL8","GErel","expression"
"190","FOSB","CXCL10","GErel","expression"
"191","FOSB","CCL2","GErel","expression"
"192","FOSB","CCL7","GErel","expression"
"193","FOSB","CCL20","GErel","expression"
"194","FOSB","IL6","GErel","expression"
"195","FOSB","TNF","GErel","expression"
"196","FOSB","PTGS2","GErel","expression"
"197","FOSB","CSF3","GErel","expression"
"198","FOSB","CSF2","GErel","expression"
"199","FOSB","DEFB4B","GErel","expression"
"200","FOSB","LOC124906748","GErel","expression"
"201","FOSB","DEFB4A","GErel","expression"
"202","FOSB","MUC5AC","GErel","expression"
"203","FOSB","MUC5B","GErel","expression"
"204","FOSB","S100A7A","GErel","expression"
"205","FOSB","S100A7","GErel","expression"
"206","FOSB","S100A8","GErel","expression"
"207","FOSB","S100A9","GErel","expression"
"208","FOSB","LCN2","GErel","expression"
"209","FOSB","MMP1","GErel","expression"
"210","FOSB","MMP3","GErel","expression"
"211","FOSB","MMP9","GErel","expression"
"212","FOSB","MMP13","GErel","expression"
"213","FOSB","IL1B","GErel","expression"
"214","FOSB","IFNG","GErel","expression"
"215","JUN","IL4","GErel","expression"
"216","JUN","IL5","GErel","expression"
"217","JUN","IL13","GErel","expression"
"218","JUN","CCL17","GErel","expression"
"219","JUN","CCL11","GErel","expression"
"220","JUN","CXCL1","GErel","expression"
"221","JUN","CXCL2","GErel","expression"
"222","JUN","CXCL3","GErel","expression"
"223","JUN","CXCL6","GErel","expression"
"224","JUN","CXCL5","GErel","expression"
"225","JUN","CXCL8","GErel","expression"
"226","JUN","CXCL10","GErel","expression"
"227","JUN","CCL2","GErel","expression"
"228","JUN","CCL7","GErel","expression"
"229","JUN","CCL20","GErel","expression"
"230","JUN","IL6","GErel","expression"
"231","JUN","TNF","GErel","expression"
"232","JUN","PTGS2","GErel","expression"
"233","JUN","CSF3","GErel","expression"
"234","JUN","CSF2","GErel","expression"
"235","JUN","DEFB4B","GErel","expression"
"236","JUN","LOC124906748","GErel","expression"
"237","JUN","DEFB4A","GErel","expression"
"238","JUN","MUC5AC","GErel","expression"
"239","JUN","MUC5B","GErel","expression"
"240","JUN","S100A7A","GErel","expression"
"241","JUN","S100A7","GErel","expression"
"242","JUN","S100A8","GErel","expression"
"243","JUN","S100A9","GErel","expression"
"244","JUN","LCN2","GErel","expression"
"245","JUN","MMP1","GErel","expression"
"246","JUN","MMP3","GErel","expression"
"247","JUN","MMP9","GErel","expression"
"248","JUN","MMP13","GErel","expression"
"249","JUN","IL1B","GErel","expression"
"250","JUN","IFNG","GErel","expression"
"251","JUND","IL4","GErel","expression"
"252","JUND","IL5","GErel","expression"
"253","JUND","IL13","GErel","expression"
"254","JUND","CCL17","GErel","expression"
"255","JUND","CCL11","GErel","expression"
"256","JUND","CXCL1","GErel","expression"
"257","JUND","CXCL2","GErel","expression"
"258","JUND","CXCL3","GErel","expression"
"259","JUND","CXCL6","GErel","expression"
"260","JUND","CXCL5","GErel","expression"
"261","JUND","CXCL8","GErel","expression"
"262","JUND","CXCL10","GErel","expression"
"263","JUND","CCL2","GErel","expression"
"264","JUND","CCL7","GErel","expression"
"265","JUND","CCL20","GErel","expression"
"266","JUND","IL6","GErel","expression"
"267","JUND","TNF","GErel","expression"
"268","JUND","PTGS2","GErel","expression"
"269","JUND","CSF3","GErel","expression"
"270","JUND","CSF2","GErel","expression"
"271","JUND","DEFB4B","GErel","expression"
"272","JUND","LOC124906748","GErel","expression"
"273","JUND","DEFB4A","GErel","expression"
"274","JUND","MUC5AC","GErel","expression"
"275","JUND","MUC5B","GErel","expression"
"276","JUND","S100A7A","GErel","expression"
"277","JUND","S100A7","GErel","expression"
"278","JUND","S100A8","GErel","expression"
"279","JUND","S100A9","GErel","expression"
"280","JUND","LCN2","GErel","expression"
"281","JUND","MMP1","GErel","expression"
"282","JUND","MMP3","GErel","expression"
"283","JUND","MMP9","GErel","expression"
"284","JUND","MMP13","GErel","expression"
"285","JUND","IL1B","GErel","expression"
"286","JUND","IFNG","GErel","expression"
"287","FOSL1","IL4","GErel","expression"
"288","FOSL1","IL5","GErel","expression"
"289","FOSL1","IL13","GErel","expression"
"290","FOSL1","CCL17","GErel","expression"
"291","FOSL1","CCL11","GErel","expression"
"292","FOSL1","CXCL1","GErel","expression"
"293","FOSL1","CXCL2","GErel","expression"
"294","FOSL1","CXCL3","GErel","expression"
"295","FOSL1","CXCL6","GErel","expression"
"296","FOSL1","CXCL5","GErel","expression"
"297","FOSL1","CXCL8","GErel","expression"
"298","FOSL1","CXCL10","GErel","expression"
"299","FOSL1","CCL2","GErel","expression"
"300","FOSL1","CCL7","GErel","expression"
"301","FOSL1","CCL20","GErel","expression"
"302","FOSL1","IL6","GErel","expression"
"303","FOSL1","TNF","GErel","expression"
"304","FOSL1","PTGS2","GErel","expression"
"305","FOSL1","CSF3","GErel","expression"
"306","FOSL1","CSF2","GErel","expression"
"307","FOSL1","DEFB4B","GErel","expression"
"308","FOSL1","LOC124906748","GErel","expression"
"309","FOSL1","DEFB4A","GErel","expression"
"310","FOSL1","MUC5AC","GErel","expression"
"311","FOSL1","MUC5B","GErel","expression"
"312","FOSL1","S100A7A","GErel","expression"
"313","FOSL1","S100A7","GErel","expression"
"314","FOSL1","S100A8","GErel","expression"
"315","FOSL1","S100A9","GErel","expression"
"316","FOSL1","LCN2","GErel","expression"
"317","FOSL1","MMP1","GErel","expression"
"318","FOSL1","MMP3","GErel","expression"
"319","FOSL1","MMP9","GErel","expression"
"320","FOSL1","MMP13","GErel","expression"
"321","FOSL1","IL1B","GErel","expression"
"322","FOSL1","IFNG","GErel","expression"
"323","IL25","IL17RA","PPrel","activation"
"324","IL25","IL17RB","PPrel","activation"
"325","IL17RA","TRADD","PPrel","activation"
"326","IL17RA","TRAF6","PPrel","activation"
"327","IL17RA","TRAF3IP2","PPrel","activation"
"328","IL17RA","MAPK1","PPrel","activation"
"329","IL17RA","MAPK1","PPrel","indirect effect"
"330","IL17RA","MAPK3","PPrel","activation"
"331","IL17RA","MAPK3","PPrel","indirect effect"
"332","IL17RA","GSK3B","PPrel","activation"
"333","IL17RA","GSK3B","PPrel","indirect effect"
"334","IL17RB","TRADD","PPrel","activation"
"335","IL17RB","TRAF6","PPrel","activation"
"336","IL17RB","TRAF3IP2","PPrel","activation"
"337","IL17A","IL17RA","PPrel","activation"
"338","IL17A","IL17RC","PPrel","activation"
"339","IL17F","IL17RA","PPrel","activation"
"340","IL17F","IL17RC","PPrel","activation"
"341","IL17C","IL17RA","PPrel","activation"
"342","IL17C","IL17RE","PPrel","activation"
"343","IL17RE","TRAF6","PPrel","activation"
"344","IL17RE","TRAF3IP2","PPrel","activation"
"345","IL17B","IL17RB","PPrel","activation"
"346","TRAF3IP2","IL17A","PPrel","activation"
"347","TRAF3IP2","IL17RA","PPrel","activation"
"348","TRAF3IP2","TRAF6","PPrel","activation"
"349","TRAF3IP2","TRAF6","PPrel","ubiquitination"
"350","TRAF3IP2","TRAF5","PPrel","activation"
"351","TRAF3IP2","TRAF2","PPrel","activation"
"352","TRAF3IP2","NFKB1","PPrel","activation"
"353","TRAF3IP2","NFKB1","PPrel","indirect effect"
"354","TRAF3IP2","RELA","PPrel","activation"
"355","TRAF3IP2","RELA","PPrel","indirect effect"
"356","TRAF3IP2","FOS","PPrel","activation"
"357","TRAF3IP2","FOS","PPrel","indirect effect"
"358","TRAF3IP2","FOSB","PPrel","activation"
"359","TRAF3IP2","FOSB","PPrel","indirect effect"
"360","TRAF3IP2","JUN","PPrel","activation"
"361","TRAF3IP2","JUN","PPrel","indirect effect"
"362","TRAF3IP2","JUND","PPrel","activation"
"363","TRAF3IP2","JUND","PPrel","indirect effect"
"364","TRAF3IP2","FOSL1","PPrel","activation"
"365","TRAF3IP2","FOSL1","PPrel","indirect effect"
"366","TRAF3","IL17RA","PPrel","inhibition"
"367","TRAF3","IL17RC","PPrel","inhibition"
"368","IL17RC","MAPK1","PPrel","activation"
"369","IL17RC","MAPK1","PPrel","indirect effect"
"370","IL17RC","MAPK3","PPrel","activation"
"371","IL17RC","MAPK3","PPrel","indirect effect"
"372","IL17RC","GSK3B","PPrel","activation"
"373","IL17RC","GSK3B","PPrel","indirect effect"
"374","IL17RC","TRAF3IP2","PPrel","binding/association"
"375","TRAF5","ELAVL1","PPrel","activation"
"376","TRAF5","SRSF1","PPrel","inhibition"
"377","TRAF2","ELAVL1","PPrel","activation"
"378","TRAF2","SRSF1","PPrel","inhibition"
"379","IKBKE","TRAF3IP2","PPrel","activation"
"380","IKBKE","TRAF3IP2","PPrel","phosphorylation"
"381","MAPK14","FOS","PPrel","activation"
"382","MAPK14","FOSB","PPrel","activation"
"383","MAPK14","JUN","PPrel","activation"
"384","MAPK14","JUND","PPrel","activation"
"385","MAPK14","FOSL1","PPrel","activation"
"386","MAPK15","FOS","PPrel","activation"
"387","MAPK15","FOSB","PPrel","activation"
"388","MAPK15","JUN","PPrel","activation"
"389","MAPK15","JUND","PPrel","activation"
"390","MAPK15","FOSL1","PPrel","activation"
