"","from","to","type","subtype"
"1","PLPP1","CEPT1","ECrel","compound"
"2","PLPP1","CHPT1","ECrel","compound"
"3","PLPP2","CEPT1","ECrel","compound"
"4","PLPP2","CHPT1","ECrel","compound"
"5","PLPP3","CEPT1","ECrel","compound"
"6","PLPP3","CHPT1","ECrel","compound"
"7","CEPT1","LPCAT4","ECrel","compound"
"8","CEPT1","LPCAT2","ECrel","compound"
"9","CEPT1","LPCAT1","ECrel","compound"
"10","CEPT1","PLPP1","ECrel","compound"
"11","CEPT1","PLPP2","ECrel","compound"
"12","CEPT1","PLPP3","ECrel","compound"
"13","CEPT1","CEPT1","ECrel","compound"
"14","CEPT1","CHPT1","ECrel","compound"
"15","CEPT1","PLA2G4B","ECrel","compound"
"16","CEPT1","PLAAT3","ECrel","compound"
"17","CEPT1","PLA2G4E","ECrel","compound"
"18","CEPT1","PLB1","ECrel","compound"
"19","CEPT1","PLA2G4F","ECrel","compound"
"20","CEPT1","PLA2G2D","ECrel","compound"
"21","CEPT1","PLA2G4D","ECrel","compound"
"22","CEPT1","PLA2G2E","ECrel","compound"
"23","CEPT1","PLA2G2C","ECrel","compound"
"24","CEPT1","PLA2G3","ECrel","compound"
"25","CEPT1","PLA2G1B","ECrel","compound"
"26","CEPT1","PLA2G2A","ECrel","compound"
"27","CEPT1","PLA2G4A","ECrel","compound"
"28","CEPT1","PLA2G5","ECrel","compound"
"29","CEPT1","PLAAT2","ECrel","compound"
"30","CEPT1","PLA2G2F","ECrel","compound"
"31","CEPT1","PLA2G12A","ECrel","compound"
"32","CEPT1","PLA2G6","ECrel","compound"
"33","CEPT1","PLA2G10","ECrel","compound"
"34","CEPT1","PLA2G12B","ECrel","compound"
"35","CEPT1","PLA2G4C","ECrel","compound"
"36","CEPT1","JMJD7-PLA2G4B","ECrel","compound"
"37","CEPT1","PLD4","ECrel","compound"
"38","CEPT1","PLD3","ECrel","compound"
"39","CEPT1","PLD1","ECrel","compound"
"40","CEPT1","PLD2","ECrel","compound"
"41","CHPT1","LPCAT4","ECrel","compound"
"42","CHPT1","LPCAT2","ECrel","compound"
"43","CHPT1","LPCAT1","ECrel","compound"
"44","SELENOI","PLPP1","ECrel","compound"
"45","SELENOI","PLPP2","ECrel","compound"
"46","SELENOI","PLPP3","ECrel","compound"
"47","SELENOI","CEPT1","ECrel","compound"
"48","SELENOI","CHPT1","ECrel","compound"
"49","SELENOI","LPCAT4","ECrel","compound"
"50","SELENOI","PLA2G4B","ECrel","compound"
"51","SELENOI","PLAAT3","ECrel","compound"
"52","SELENOI","PLA2G4E","ECrel","compound"
"53","SELENOI","PLB1","ECrel","compound"
"54","SELENOI","PLA2G4F","ECrel","compound"
"55","SELENOI","PLA2G2D","ECrel","compound"
"56","SELENOI","PLA2G4D","ECrel","compound"
"57","SELENOI","PLA2G2E","ECrel","compound"
"58","SELENOI","PLA2G2C","ECrel","compound"
"59","SELENOI","PLA2G3","ECrel","compound"
"60","SELENOI","PLA2G1B","ECrel","compound"
"61","SELENOI","PLA2G2A","ECrel","compound"
