"","from","to","type","subtype"
"1","CCNE1","RB1","PPrel","activation"
"2","CCNE1","RB1","PPrel","phosphorylation"
"3","CCNE2","RB1","PPrel","activation"
"4","CCNE2","RB1","PPrel","phosphorylation"
"5","CDK2","RB1","PPrel","activation"
"6","CDK2","RB1","PPrel","phosphorylation"
"7","CCND1","RB1","PPrel","activation"
"8","CCND1","RB1","PPrel","phosphorylation"
"9","ITGB1","PTK2","PPrel","activation"
"10","ITGA6","PTK2","PPrel","activation"
"11","ITGA2","PTK2","PPrel","activation"
"12","ITGA2B","PTK2","PPrel","activation"
"13","ITGA3","PTK2","PPrel","activation"
"14","ITGAV","PTK2","PPrel","activation"
"15","ZBTB17","CDKN2B","GErel","expression"
"16","CDKN1B","CCNE1","PPrel","inhibition"
"17","CDKN1B","CCNE2","PPrel","inhibition"
"18","CDKN1B","CDK2","PPrel","inhibition"
"19","AKT3","CHUK","PPrel","activation"
"20","AKT3","CHUK","PPrel","phosphorylation"
"21","AKT3","IKBKB","PPrel","activation"
"22","AKT3","IKBKB","PPrel","phosphorylation"
"23","AKT3","IKBKG","PPrel","activation"
"24","AKT3","IKBKG","PPrel","phosphorylation"
"25","AKT1","CHUK","PPrel","activation"
"26","AKT1","CHUK","PPrel","phosphorylation"
"27","AKT1","IKBKB","PPrel","activation"
"28","AKT1","IKBKB","PPrel","phosphorylation"
"29","AKT1","IKBKG","PPrel","activation"
"30","AKT1","IKBKG","PPrel","phosphorylation"
"31","AKT2","CHUK","PPrel","activation"
"32","AKT2","CHUK","PPrel","phosphorylation"
"33","AKT2","IKBKB","PPrel","activation"
"34","AKT2","IKBKB","PPrel","phosphorylation"
"35","AKT2","IKBKG","PPrel","activation"
"36","AKT2","IKBKG","PPrel","phosphorylation"
"37","CKS1B","SKP2","PPrel","activation"
"38","CKS2","SKP2","PPrel","activation"
"39","CASP9","CASP3","PPrel","missing interaction"
"40","APAF1","CASP9","PPrel","missing interaction"
"41","MAX","CDK4","GErel","expression"
"42","MAX","CDK6","GErel","expression"
"43","MAX","CCND1","GErel","expression"
"44","MAX","CKS1B","GErel","expression"
"45","MAX","CKS2","GErel","expression"
"46","MAX","ZBTB17","PPrel","inhibition"
"47","MYC","CDK4","GErel","expression"
"48","MYC","CDK6","GErel","expression"
"49","MYC","CCND1","GErel","expression"
"50","MYC","CKS1B","GErel","expression"
"51","MYC","CKS2","GErel","expression"
"52","MYC","ZBTB17","PPrel","inhibition"
"53","P3R3URF-PIK3R3","AKT3","PPrel","compound"
"54","P3R3URF-PIK3R3","AKT1","PPrel","compound"
"55","P3R3URF-PIK3R3","AKT2","PPrel","compound"
"56","PIK3CA","AKT3","PPrel","compound"
"57","PIK3CA","AKT1","PPrel","compound"
"58","PIK3CA","AKT2","PPrel","compound"
"59","PIK3CB","AKT3","PPrel","compound"
"60","PIK3CB","AKT1","PPrel","compound"
"61","PIK3CB","AKT2","PPrel","compound"
"62","PIK3CD","AKT3","PPrel","compound"
"63","PIK3CD","AKT1","PPrel","compound"
"64","PIK3CD","AKT2","PPrel","compound"
"65","PIK3R1","AKT3","PPrel","compound"
"66","PIK3R1","AKT1","PPrel","compound"
"67","PIK3R1","AKT2","PPrel","compound"
"68","PIK3R2","AKT3","PPrel","compound"
"69","PIK3R2","AKT1","PPrel","compound"
"70","PIK3R2","AKT2","PPrel","compound"
"71","PIK3R3","AKT3","PPrel","compound"
"72","PIK3R3","AKT1","PPrel","compound"
"73","PIK3R3","AKT2","PPrel","compound"
"74","PTK2","P3R3URF-PIK3R3","PPrel","activation"
"75","PTK2","PIK3CA","PPrel","activation"
"76","PTK2","PIK3CB","PPrel","activation"
"77","PTK2","PIK3CD","PPrel","activation"
"78","PTK2","PIK3R1","PPrel","activation"
"79","PTK2","PIK3R2","PPrel","activation"
"80","PTK2","PIK3R3","PPrel","activation"
"81","CYCS","CASP9","PPrel","missing interaction"
"82","LAMC3","ITGB1","PPrel","activation"
"83","LAMC3","ITGA6","PPrel","activation"
"84","LAMC3","ITGA2","PPrel","activation"
"85","LAMC3","ITGA2B","PPrel","activation"
"86","LAMC3","ITGA3","PPrel","activation"
"87","LAMC3","ITGAV","PPrel","activation"
"88","COL4A1","ITGB1","PPrel","activation"
"89","COL4A1","ITGA6","PPrel","activation"
"90","COL4A1","ITGA2","PPrel","activation"
"91","COL4A1","ITGA2B","PPrel","activation"
"92","COL4A1","ITGA3","PPrel","activation"
"93","COL4A1","ITGAV","PPrel","activation"
"94","COL4A2","ITGB1","PPrel","activation"
"95","COL4A2","ITGA6","PPrel","activation"
"96","COL4A2","ITGA2","PPrel","activation"
"97","COL4A2","ITGA2B","PPrel","activation"
"98","COL4A2","ITGA3","PPrel","activation"
"99","COL4A2","ITGAV","PPrel","activation"
"100","COL4A3","ITGB1","PPrel","activation"
"101","COL4A3","ITGA6","PPrel","activation"
"102","COL4A3","ITGA2","PPrel","activation"
"103","COL4A3","ITGA2B","PPrel","activation"
"104","COL4A3","ITGA3","PPrel","activation"
"105","COL4A3","ITGAV","PPrel","activation"
"106","COL4A4","ITGB1","PPrel","activation"
"107","COL4A4","ITGA6","PPrel","activation"
"108","COL4A4","ITGA2","PPrel","activation"
"109","COL4A4","ITGA2B","PPrel","activation"
"110","COL4A4","ITGA3","PPrel","activation"
"111","COL4A4","ITGAV","PPrel","activation"
"112","COL4A5","ITGB1","PPrel","activation"
"113","COL4A5","ITGA6","PPrel","activation"
"114","COL4A5","ITGA2","PPrel","activation"
"115","COL4A5","ITGA2B","PPrel","activation"
"116","COL4A5","ITGA3","PPrel","activation"
"117","COL4A5","ITGAV","PPrel","activation"
"118","COL4A6","ITGB1","PPrel","activation"
"119","COL4A6","ITGA6","PPrel","activation"
"120","COL4A6","ITGA2","PPrel","activation"
"121","COL4A6","ITGA2B","PPrel","activation"
"122","COL4A6","ITGA3","PPrel","activation"
"123","COL4A6","ITGAV","PPrel","activation"
"124","LAMB4","ITGB1","PPrel","activation"
"125","LAMB4","ITGA6","PPrel","activation"
"126","LAMB4","ITGA2","PPrel","activation"
"127","LAMB4","ITGA2B","PPrel","activation"
"128","LAMB4","ITGA3","PPrel","activation"
"129","LAMB4","ITGAV","PPrel","activation"
"130","FN1","ITGB1","PPrel","activation"
"131","FN1","ITGA6","PPrel","activation"
"132","FN1","ITGA2","PPrel","activation"
"133","FN1","ITGA2B","PPrel","activation"
"134","FN1","ITGA3","PPrel","activation"
"135","FN1","ITGAV","PPrel","activation"
"136","LAMA1","ITGB1","PPrel","activation"
"137","LAMA1","ITGA6","PPrel","activation"
"138","LAMA1","ITGA2","PPrel","activation"
"139","LAMA1","ITGA2B","PPrel","activation"
"140","LAMA1","ITGA3","PPrel","activation"
"141","LAMA1","ITGAV","PPrel","activation"
"142","LAMA2","ITGB1","PPrel","activation"
"143","LAMA2","ITGA6","PPrel","activation"
"144","LAMA2","ITGA2","PPrel","activation"
"145","LAMA2","ITGA2B","PPrel","activation"
"146","LAMA2","ITGA3","PPrel","activation"
"147","LAMA2","ITGAV","PPrel","activation"
"148","LAMA3","ITGB1","PPrel","activation"
"149","LAMA3","ITGA6","PPrel","activation"
"150","LAMA3","ITGA2","PPrel","activation"
"151","LAMA3","ITGA2B","PPrel","activation"
"152","LAMA3","ITGA3","PPrel","activation"
"153","LAMA3","ITGAV","PPrel","activation"
"154","LAMA4","ITGB1","PPrel","activation"
"155","LAMA4","ITGA6","PPrel","activation"
"156","LAMA4","ITGA2","PPrel","activation"
"157","LAMA4","ITGA2B","PPrel","activation"
"158","LAMA4","ITGA3","PPrel","activation"
"159","LAMA4","ITGAV","PPrel","activation"
"160","LAMA5","ITGB1","PPrel","activation"
"161","LAMA5","ITGA6","PPrel","activation"
"162","LAMA5","ITGA2","PPrel","activation"
"163","LAMA5","ITGA2B","PPrel","activation"
"164","LAMA5","ITGA3","PPrel","activation"
"165","LAMA5","ITGAV","PPrel","activation"
"166","LAMB1","ITGB1","PPrel","activation"
"167","LAMB1","ITGA6","PPrel","activation"
"168","LAMB1","ITGA2","PPrel","activation"
"169","LAMB1","ITGA2B","PPrel","activation"
"170","LAMB1","ITGA3","PPrel","activation"
"171","LAMB1","ITGAV","PPrel","activation"
"172","LAMB2","ITGB1","PPrel","activation"
"173","LAMB2","ITGA6","PPrel","activation"
"174","LAMB2","ITGA2","PPrel","activation"
"175","LAMB2","ITGA2B","PPrel","activation"
"176","LAMB2","ITGA3","PPrel","activation"
"177","LAMB2","ITGAV","PPrel","activation"
"178","LAMB3","ITGB1","PPrel","activation"
"179","LAMB3","ITGA6","PPrel","activation"
"180","LAMB3","ITGA2","PPrel","activation"
"181","LAMB3","ITGA2B","PPrel","activation"
"182","LAMB3","ITGA3","PPrel","activation"
"183","LAMB3","ITGAV","PPrel","activation"
"184","LAMC1","ITGB1","PPrel","activation"
"185","LAMC1","ITGA6","PPrel","activation"
"186","LAMC1","ITGA2","PPrel","activation"
"187","LAMC1","ITGA2B","PPrel","activation"
"188","LAMC1","ITGA3","PPrel","activation"
"189","LAMC1","ITGAV","PPrel","activation"
"190","LAMC2","ITGB1","PPrel","activation"
"191","LAMC2","ITGA6","PPrel","activation"
"192","LAMC2","ITGA2","PPrel","activation"
"193","LAMC2","ITGA2B","PPrel","activation"
"194","LAMC2","ITGA3","PPrel","activation"
"195","LAMC2","ITGAV","PPrel","activation"
"196","BCL2","BAX","PPrel","inhibition"
"197","CHUK","NFKBIA","PPrel","activation"
"198","CHUK","NFKBIA","PPrel","phosphorylation"
"199","IKBKB","NFKBIA","PPrel","activation"
"200","IKBKB","NFKBIA","PPrel","phosphorylation"
"201","IKBKG","NFKBIA","PPrel","activation"
"202","IKBKG","NFKBIA","PPrel","phosphorylation"
"203","NFKBIA","NFKB1","PPrel","dissociation"
"204","NFKBIA","RELA","PPrel","dissociation"
"205","E2F1","RB1","PPrel","dissociation"
"206","E2F2","RB1","PPrel","dissociation"
"207","E2F3","RB1","PPrel","dissociation"
"208","CDK4","RB1","PPrel","activation"
"209","CDK4","RB1","PPrel","phosphorylation"
"210","CDK6","RB1","PPrel","activation"
"211","CDK6","RB1","PPrel","phosphorylation"
"212","NFKB1","CCND1","GErel","expression"
"213","NFKB1","BIRC2","GErel","expression"
"214","NFKB1","BIRC3","GErel","expression"
"215","NFKB1","XIAP","GErel","expression"
"216","NFKB1","BIRC7","GErel","expression"
"217","NFKB1","BCL2L1","GErel","expression"
"218","NFKB1","TRAF1","GErel","expression"
"219","NFKB1","TRAF2","GErel","expression"
"220","NFKB1","TRAF3","GErel","expression"
"221","NFKB1","TRAF5","GErel","expression"
"222","NFKB1","TRAF6","GErel","expression"
"223","NFKB1","TRAF4","GErel","expression"
"224","NFKB1","PTGS2","GErel","expression"
"225","NFKB1","NOS2","GErel","expression"
"226","RELA","CCND1","GErel","expression"
"227","RELA","BIRC2","GErel","expression"
"228","RELA","BIRC3","GErel","expression"
"229","RELA","XIAP","GErel","expression"
"230","RELA","BIRC7","GErel","expression"
"231","RELA","BCL2L1","GErel","expression"
"232","RELA","TRAF1","GErel","expression"
"233","RELA","TRAF2","GErel","expression"
"234","RELA","TRAF3","GErel","expression"
"235","RELA","TRAF5","GErel","expression"
"236","RELA","TRAF6","GErel","expression"
"237","RELA","TRAF4","GErel","expression"
"238","RELA","PTGS2","GErel","expression"
"239","RELA","NOS2","GErel","expression"
"240","SKP2","CDKN1B","PPrel","inhibition"
"241","CDKN2B","CDK4","PPrel","inhibition"
"242","CDKN2B","CDK6","PPrel","inhibition"
"243","CDKN2B","CCND1","PPrel","inhibition"
"244","TP53","CDKN1A","PPrel","missing interaction"
"245","TP53","GADD45G","PPrel","missing interaction"
"246","TP53","GADD45A","PPrel","missing interaction"
"247","TP53","GADD45B","PPrel","missing interaction"
"248","TP53","BAX","PPrel","missing interaction"
"249","TP53","BAK1","PPrel","missing interaction"
"250","TP53","DDB2","PPrel","missing interaction"
"251","TP53","POLK","PPrel","missing interaction"
