"","from","to","type","subtype"
"1","EXTL2","EXT1","ECrel","compound"
"2","EXTL2","EXT2","ECrel","compound"
"3","EXTL3","EXT1","ECrel","compound"
"4","EXTL3","EXT2","ECrel","compound"
"5","XYLT1","B4GALT7","ECrel","compound"
"6","XYLT2","B4GALT7","ECrel","compound"
"7","EXT1","EXTL1","ECrel","compound"
"8","EXT1","EXTL3","ECrel","compound"
"9","EXT2","EXTL1","ECrel","compound"
"10","EXT2","EXTL3","ECrel","compound"
"11","B4GALT7","B3GALT6","ECrel","compound"
"12","B3GALT6","B3GAT3","ECrel","compound"
"13","B3GAT3","EXTL2","ECrel","compound"
"14","B3GAT3","EXTL3","ECrel","compound"
