"","from","to","type","subtype"
"1","F3","F10","PCrel","activation"
"2","SERPINE1","PLAT","PPrel","inhibition"
"3","SERPINE1","PLAU","PPrel","inhibition"
"4","SERPINB2","PLAT","PPrel","inhibition"
"5","SERPINB2","PLAU","PPrel","inhibition"
"6","SERPINA5","PLAT","PPrel","inhibition"
"7","SERPINA5","PLAU","PPrel","inhibition"
"8","SERPINE2","PLAT","PPrel","inhibition"
"9","SERPINE2","PLAU","PPrel","inhibition"
"10","PLAU","PLG","PPrel","activation"
"11","PLAU","PLAUR","PPrel","activation"
"12","PLAT","PLG","PPrel","activation"
"13","A2M","PLAU","PPrel","inhibition"
"14","THBD","PROC","PCrel","activation"
"15","PROCR","PROC","PCrel","activation"
"16","MBL2","C4B_2","PPrel","activation"
"17","MBL2","LOC110384692","PPrel","activation"
"18","MBL2","C4A","PPrel","activation"
"19","MBL2","C4B","PPrel","activation"
"20","MBL2","C2","PPrel","activation"
"21","MASP2","C4B_2","PPrel","activation"
"22","MASP2","LOC110384692","PPrel","activation"
"23","MASP2","C4A","PPrel","activation"
"24","MASP2","C4B","PPrel","activation"
"25","MASP2","C2","PPrel","activation"
"26","MASP1","C4B_2","PPrel","activation"
"27","MASP1","LOC110384692","PPrel","activation"
"28","MASP1","C4A","PPrel","activation"
"29","MASP1","C4B","PPrel","activation"
"30","MASP1","C2","PPrel","activation"
"31","C1QA","C4B_2","PPrel","activation"
"32","C1QA","LOC110384692","PPrel","activation"
"33","C1QA","C4A","PPrel","activation"
"34","C1QA","C4B","PPrel","activation"
"35","C1QA","C2","PPrel","activation"
"36","C1QB","C4B_2","PPrel","activation"
"37","C1QB","LOC110384692","PPrel","activation"
"38","C1QB","C4A","PPrel","activation"
"39","C1QB","C4B","PPrel","activation"
"40","C1QB","C2","PPrel","activation"
"41","C1QC","C4B_2","PPrel","activation"
"42","C1QC","LOC110384692","PPrel","activation"
"43","C1QC","C4A","PPrel","activation"
"44","C1QC","C4B","PPrel","activation"
"45","C1QC","C2","PPrel","activation"
"46","C1R","C4B_2","PPrel","activation"
"47","C1R","LOC110384692","PPrel","activation"
"48","C1R","C4A","PPrel","activation"
"49","C1R","C4B","PPrel","activation"
"50","C1R","C2","PPrel","activation"
"51","C1S","C4B_2","PPrel","activation"
"52","C1S","LOC110384692","PPrel","activation"
"53","C1S","C4A","PPrel","activation"
"54","C1S","C4B","PPrel","activation"
"55","C1S","C2","PPrel","activation"
"56","VTN","C6","PCrel","inhibition"
"57","VTN","C7","PCrel","inhibition"
"58","VTN","C8A","PCrel","inhibition"
"59","VTN","C8B","PCrel","inhibition"
"60","VTN","C8G","PCrel","inhibition"
"61","VTN","C9","PCrel","inhibition"
"62","SERPING1","PLAU","PPrel","inhibition"
"63","SERPING1","C1QA","PPrel","inhibition"
"64","SERPING1","C1QB","PPrel","inhibition"
"65","SERPING1","C1QC","PPrel","inhibition"
"66","SERPING1","C1R","PPrel","inhibition"
"67","SERPING1","C1S","PPrel","inhibition"
"68","SERPING1","MBL2","PPrel","inhibition"
"69","SERPING1","MASP2","PPrel","inhibition"
"70","SERPING1","MASP1","PPrel","inhibition"
"71","CFHR4","CFH","PPrel","inhibition"
"72","CFHR3","CFH","PPrel","inhibition"
"73","CFHR1","CFH","PPrel","inhibition"
"74","CFHR2","CFH","PPrel","inhibition"
"75","CFHR5","CFH","PPrel","inhibition"
"76","CFD","CFB","PCrel","activation"
"77","SERPINA1","PLAU","PPrel","inhibition"
