"","from","to","type","subtype"
"1","CTNNB1","CTNNA1","PPrel",NA
"2","CTNNB1","CTNNA2","PPrel",NA
"3","CTNNB1","CTNNA3","PPrel",NA
"4","CTNNB1","ARHGAP10","PPrel",NA
"5","RAC1","WASF2","PPrel","activation"
"6","RAC1","WASF1","PPrel","activation"
"7","CDH1","CTNNB1","PPrel","activation"
"8","ARHGAP10","ACTB","PPrel","activation"
"9","ARHGAP10","ACTG1","PPrel","activation"
"10","CDC42","WASL","PPrel","activation"
"11","SRC","CTTN","PPrel","activation"
"12","SRC","HCLS1","PPrel","activation"
"13","SRC","PTK2","PPrel","activation"
"14","CTTN","DNM1","PPrel","activation"
"15","CTTN","DNM2","PPrel","activation"
"16","CTTN","DNM3","PPrel","activation"
"17","HCLS1","DNM1","PPrel","activation"
"18","HCLS1","DNM2","PPrel","activation"
"19","HCLS1","DNM3","PPrel","activation"
"20","ITGA5","ILK","PPrel","activation"
"21","ITGB1","ILK","PPrel","activation"
"22","ARPC5","ACTB","PPrel","activation"
"23","ARPC5","ACTG1","PPrel","activation"
"24","ARPC4","ACTB","PPrel","activation"
"25","ARPC4","ACTG1","PPrel","activation"
"26","ARPC3","ACTB","PPrel","activation"
"27","ARPC3","ACTG1","PPrel","activation"
"28","ARPC1B","ACTB","PPrel","activation"
"29","ARPC1B","ACTG1","PPrel","activation"
"30","ACTR3","ACTB","PPrel","activation"
"31","ACTR3","ACTG1","PPrel","activation"
"32","ACTR2","ACTB","PPrel","activation"
"33","ACTR2","ACTG1","PPrel","activation"
"34","ARPC2","ACTB","PPrel","activation"
"35","ARPC2","ACTG1","PPrel","activation"
"36","ARPC1A","ACTB","PPrel","activation"
"37","ARPC1A","ACTG1","PPrel","activation"
"38","ACTR3B","ACTB","PPrel","activation"
"39","ACTR3B","ACTG1","PPrel","activation"
"40","ACTR3C","ACTB","PPrel","activation"
"41","ACTR3C","ACTG1","PPrel","activation"
"42","ARPC5L","ACTB","PPrel","activation"
"43","ARPC5L","ACTG1","PPrel","activation"
"44","DOCK1","RAC1","PPrel","activation"
"45","PXN","ACTB","PPrel","activation"
"46","PXN","ACTG1","PPrel","activation"
"47","PTK2","BCAR1","PPrel","activation"
"48","CRK","DOCK1","PPrel","activation"
"49","CRKL","DOCK1","PPrel","activation"
"50","P3R3URF-PIK3R3","CDC42","PPrel","activation"
"51","PIK3CA","CDC42","PPrel","activation"
"52","PIK3CB","CDC42","PPrel","activation"
"53","PIK3CD","CDC42","PPrel","activation"
"54","PIK3R1","CDC42","PPrel","activation"
"55","PIK3R2","CDC42","PPrel","activation"
"56","PIK3R3","CDC42","PPrel","activation"
"57","CBL","MET","PPrel","ubiquitination"
"58","MET","GAB1","PPrel","phosphorylation"
"59","BCAR1","PXN","PPrel","phosphorylation"
"60","WASF2","ARPC5","PPrel","activation"
"61","WASF2","ARPC4","PPrel","activation"
"62","WASF2","ARPC3","PPrel","activation"
"63","WASF2","ARPC1B","PPrel","activation"
"64","WASF2","ACTR3","PPrel","activation"
"65","WASF2","ACTR2","PPrel","activation"
"66","WASF2","ARPC2","PPrel","activation"
"67","WASF2","ARPC1A","PPrel","activation"
"68","WASF2","ACTR3B","PPrel","activation"
"69","WASF2","ACTR3C","PPrel","activation"
"70","WASF2","ARPC5L","PPrel","activation"
"71","WASF1","ARPC5","PPrel","activation"
"72","WASF1","ARPC4","PPrel","activation"
"73","WASF1","ARPC3","PPrel","activation"
"74","WASF1","ARPC1B","PPrel","activation"
"75","WASF1","ACTR3","PPrel","activation"
"76","WASF1","ACTR2","PPrel","activation"
"77","WASF1","ARPC2","PPrel","activation"
"78","WASF1","ARPC1A","PPrel","activation"
"79","WASF1","ACTR3B","PPrel","activation"
"80","WASF1","ACTR3C","PPrel","activation"
"81","WASF1","ARPC5L","PPrel","activation"
"82","WASL","ARPC5","PPrel","activation"
"83","WASL","ARPC4","PPrel","activation"
"84","WASL","ARPC3","PPrel","activation"
"85","WASL","ARPC1B","PPrel","activation"
"86","WASL","ACTR3","PPrel","activation"
"87","WASL","ACTR2","PPrel","activation"
"88","WASL","ARPC2","PPrel","activation"
"89","WASL","ARPC1A","PPrel","activation"
"90","WASL","ACTR3B","PPrel","activation"
"91","WASL","ACTR3C","PPrel","activation"
"92","WASL","ARPC5L","PPrel","activation"
"93","GAB1","P3R3URF-PIK3R3","PPrel","activation"
"94","GAB1","PIK3CA","PPrel","activation"
"95","GAB1","PIK3CB","PPrel","activation"
"96","GAB1","PIK3CD","PPrel","activation"
"97","GAB1","PIK3R1","PPrel","activation"
"98","GAB1","PIK3R2","PPrel","activation"
"99","GAB1","PIK3R3","PPrel","activation"
"100","GAB1","CRK","PPrel","activation"
"101","GAB1","CRKL","PPrel","activation"
"102","FN1","ITGA5","PPrel","activation"
"103","FN1","ITGB1","PPrel","activation"
"104","ILK","PXN","PPrel","phosphorylation"
"105","RHOG","ELMO2","PPrel","activation"
"106","RHOG","ELMO3","PPrel","activation"
"107","RHOG","ELMO1","PPrel","activation"
"108","ARHGEF26","RHOG","PPrel","activation"
"109","VCL","ACTB","PPrel","activation"
"110","VCL","ACTG1","PPrel","activation"
"111","RHOA","ACTB","PPrel","activation"
"112","RHOA","ACTG1","PPrel","activation"
"113","ELMO2","DOCK1","PPrel","activation"
"114","ELMO3","DOCK1","PPrel","activation"
"115","ELMO1","DOCK1","PPrel","activation"
