"","from","to","type","subtype"
"1","ARG1","NOS1","ECrel","compound"
"2","ARG1","NOS2","ECrel","compound"
"3","ARG1","NOS3","ECrel","compound"
"4","ARG1","AZIN2","ECrel","compound"
"5","ARG1","GATM","ECrel","compound"
"6","ARG1","OAT","ECrel","compound"
"7","ARG1","ODC1","ECrel","compound"
"8","ARG2","NOS1","ECrel","compound"
"9","ARG2","NOS2","ECrel","compound"
"10","ARG2","NOS3","ECrel","compound"
"11","ARG2","AZIN2","ECrel","compound"
"12","ARG2","GATM","ECrel","compound"
"13","ARG2","OAT","ECrel","compound"
"14","ARG2","ODC1","ECrel","compound"
"15","GATM","NOS1","ECrel","compound"
"16","GATM","NOS2","ECrel","compound"
"17","GATM","NOS3","ECrel","compound"
"18","GATM","AZIN2","ECrel","compound"
"19","AOC1","ALDH2","ECrel","compound"
"20","AOC1","ALDH1B1","ECrel","compound"
"21","AOC1","ALDH9A1","ECrel","compound"
"22","AOC1","ALDH3A2","ECrel","compound"
"23","AOC1","ALDH7A1","ECrel","compound"
"24","AOC1","SRM","ECrel","compound"
"25","AOC1","SAT2","ECrel","compound"
"26","AOC1","SAT1","ECrel","compound"
"27","ALDH2","CARNS1","ECrel","compound"
"28","ALDH2","CNDP2","ECrel","compound"
"29","ALDH2","GATM","ECrel","compound"
"30","ALDH2","AGMAT","ECrel","compound"
"31","ALDH1B1","CARNS1","ECrel","compound"
"32","ALDH1B1","CNDP2","ECrel","compound"
"33","ALDH1B1","GATM","ECrel","compound"
"34","ALDH1B1","AGMAT","ECrel","compound"
"35","ALDH9A1","CARNS1","ECrel","compound"
"36","ALDH9A1","CNDP2","ECrel","compound"
"37","ALDH9A1","GATM","ECrel","compound"
"38","ALDH9A1","AGMAT","ECrel","compound"
"39","ALDH3A2","CARNS1","ECrel","compound"
"40","ALDH3A2","CNDP2","ECrel","compound"
"41","ALDH3A2","GATM","ECrel","compound"
"42","ALDH3A2","AGMAT","ECrel","compound"
"43","ALDH7A1","CARNS1","ECrel","compound"
"44","ALDH7A1","CNDP2","ECrel","compound"
"45","ALDH7A1","GATM","ECrel","compound"
"46","ALDH7A1","AGMAT","ECrel","compound"
"47","SRM","SMS","ECrel","compound"
"48","SRM","SAT2","ECrel","compound"
"49","SRM","SAT1","ECrel","compound"
"50","AMD1","SRM","ECrel","compound"
"51","SMS","AMD1","ECrel","compound"
"52","SMS","SRM","ECrel","compound"
"53","SAT2","MAOA","ECrel","compound"
"54","SAT2","MAOB","ECrel","compound"
"55","SAT1","MAOA","ECrel","compound"
"56","SAT1","MAOB","ECrel","compound"
"57","MAOA","ALDH2","ECrel","compound"
"58","MAOA","ALDH1B1","ECrel","compound"
"59","MAOA","ALDH9A1","ECrel","compound"
"60","MAOA","ALDH3A2","ECrel","compound"
