"","from","to","type","subtype"
"1","PINK1","BCL2L1","PPrel","activation"
"2","PINK1","BCL2L1","PPrel","phosphorylation"
"3","PINK1","SIAH1","PPrel","activation"
"4","PINK1","ARIH1","PPrel","activation"
"5","PINK1","BECN2","PPrel","activation"
"6","PINK1","BECN1","PPrel","activation"
"7","PINK1","PRKN","PPrel","activation"
"8","PINK1","PRKN","PPrel","phosphorylation"
"9","PRKN","MFN2","PPrel","inhibition"
"10","PRKN","MITF","PPrel","activation"
"11","PRKN","MITF","PPrel","indirect effect"
"12","PRKN","TFEB","PPrel","activation"
"13","PRKN","TFEB","PPrel","indirect effect"
"14","PRKN","TFE3","PPrel","activation"
"15","PRKN","TFE3","PPrel","indirect effect"
"16","PRKN","RPS27A","PPrel","activation"
"17","PRKN","RPS27A","PPrel","ubiquitination"
"18","PRKN","UBA52","PPrel","activation"
"19","PRKN","UBA52","PPrel","ubiquitination"
"20","PRKN","UBB","PPrel","activation"
"21","PRKN","UBB","PPrel","ubiquitination"
"22","PRKN","UBC","PPrel","activation"
"23","PRKN","UBC","PPrel","ubiquitination"
"24","PRKN","FKBP8","PPrel","activation"
"25","PRKN","FKBP8","PPrel","ubiquitination"
"26","PRKN","RHOT1","PPrel","activation"
"27","PRKN","RHOT1","PPrel","ubiquitination"
"28","PRKN","MFN1","PPrel","activation"
"29","PRKN","MFN1","PPrel","ubiquitination"
"30","PRKN","RHOT2","PPrel","activation"
"31","PRKN","RHOT2","PPrel","ubiquitination"
"32","PRKN","TOMM70","PPrel","activation"
"33","PRKN","TOMM70","PPrel","ubiquitination"
"34","OPTN","GABARAP","PPrel","binding/association"
"35","OPTN","GABARAPL2","PPrel","binding/association"
"36","OPTN","GABARAPL1","PPrel","binding/association"
"37","OPTN","MAP1LC3BP1","PPrel","binding/association"
"38","OPTN","MAP1LC3C","PPrel","binding/association"
"39","OPTN","MAP1LC3B2","PPrel","binding/association"
"40","OPTN","MAP1LC3B","PPrel","binding/association"
"41","OPTN","MAP1LC3A","PPrel","binding/association"
"42","TBK1","SQSTM1","PPrel","activation"
"43","TBK1","SQSTM1","PPrel","phosphorylation"
"44","TBK1","CALCOCO2","PPrel","activation"
"45","TBK1","CALCOCO2","PPrel","phosphorylation"
"46","TBK1","OPTN","PPrel","activation"
"47","TBK1","OPTN","PPrel","phosphorylation"
"48","SQSTM1","GABARAP","PPrel","binding/association"
"49","SQSTM1","GABARAPL2","PPrel","binding/association"
