"","from","to","type","subtype"
"1","FPGS","DHFR","ECrel","compound"
"2","FPGS","DHFR2","ECrel","compound"
"3","FPGS","GGH","ECrel","compound"
"4","DHFR","FPGS","ECrel","compound"
"5","DHFR","GGH","ECrel","compound"
"6","DHFR","QDPR","ECrel","compound"
"7","DHFR","PAH","ECrel","compound"
"8","DHFR","TH","ECrel","compound"
"9","DHFR","TPH2","ECrel","compound"
"10","DHFR","TPH1","ECrel","compound"
"11","DHFR","CBR1","ECrel","compound"
"12","DHFR","SPR","ECrel","compound"
"13","DHFR2","FPGS","ECrel","compound"
"14","DHFR2","GGH","ECrel","compound"
"15","DHFR2","QDPR","ECrel","compound"
"16","DHFR2","PAH","ECrel","compound"
"17","DHFR2","TH","ECrel","compound"
"18","DHFR2","TPH2","ECrel","compound"
"19","DHFR2","TPH1","ECrel","compound"
"20","DHFR2","CBR1","ECrel","compound"
"21","DHFR2","SPR","ECrel","compound"
"22","QDPR","PAH","ECrel","compound"
"23","QDPR","TH","ECrel","compound"
"24","QDPR","TPH2","ECrel","compound"
"25","QDPR","TPH1","ECrel","compound"
"26","QDPR","PCBD1","ECrel","compound"
"27","QDPR","PCBD2","ECrel","compound"
"28","GCH1","PTS","ECrel","compound"
"29","GCH1","ALPI","ECrel","compound"
"30","GCH1","ALPL","ECrel","compound"
"31","GCH1","ALPP","ECrel","compound"
"32","GCH1","ALPG","ECrel","compound"
"33","GCH1","MOCS1","ECrel","compound"
"34","ALPI","PTS","ECrel","compound"
"35","ALPL","PTS","ECrel","compound"
"36","ALPP","PTS","ECrel","compound"
"37","ALPG","PTS","ECrel","compound"
"38","PTS","PTS","ECrel","compound"
"39","PTS","AKR1C8","ECrel","compound"
"40","PTS","AKR1C3","ECrel","compound"
"41","PTS","AKR1B1","ECrel","compound"
"42","PTS","AKR1B15","ECrel","compound"
"43","PTS","AKR1B10","ECrel","compound"
"44","PTS","CBR1","ECrel","compound"
"45","PTS","SPR","ECrel","compound"
"46","MOCS1","MOCS1","ECrel","compound"
"47","MOCS1","MOCS2","ECrel","compound"
"48","MOCS2","GPHN","ECrel","compound"
"49","GPHN","GPHN","ECrel","compound"
"50","GPHN","MOCOS","ECrel","compound"
"51","PCBD1","TPH2","ECrel","compound"
"52","PCBD1","TPH1","ECrel","compound"
"53","PCBD1","PAH","ECrel","compound"
"54","PCBD1","TH","ECrel","compound"
"55","PCBD2","TPH2","ECrel","compound"
"56","PCBD2","TPH1","ECrel","compound"
"57","PCBD2","PAH","ECrel","compound"
"58","PCBD2","TH","ECrel","compound"
"59","SPR","QDPR","ECrel","compound"
"60","SPR","AKR1B1","ECrel","compound"
"61","SPR","AKR1B15","ECrel","compound"
"62","SPR","AKR1B10","ECrel","compound"
"63","SPR","DHFR","ECrel","compound"
"64","SPR","DHFR2","ECrel","compound"
"65","SPR","PAH","ECrel","compound"
"66","SPR","TH","ECrel","compound"
"67","SPR","TPH2","ECrel","compound"
"68","SPR","TPH1","ECrel","compound"
"69","AKR1B1","SPR","ECrel","compound"
"70","AKR1B1","DHFR","ECrel","compound"
"71","AKR1B1","DHFR2","ECrel","compound"
"72","AKR1B1","QDPR","ECrel","compound"
"73","AKR1B1","PAH","ECrel","compound"
"74","AKR1B1","TH","ECrel","compound"
"75","AKR1B1","TPH2","ECrel","compound"
"76","AKR1B1","TPH1","ECrel","compound"
"77","AKR1B15","SPR","ECrel","compound"
"78","AKR1B15","DHFR","ECrel","compound"
"79","AKR1B15","DHFR2","ECrel","compound"
"80","AKR1B15","QDPR","ECrel","compound"
"81","AKR1B15","PAH","ECrel","compound"
"82","AKR1B15","TH","ECrel","compound"
"83","AKR1B15","TPH2","ECrel","compound"
"84","AKR1B15","TPH1","ECrel","compound"
"85","AKR1B10","SPR","ECrel","compound"
"86","AKR1B10","DHFR","ECrel","compound"
"87","AKR1B10","DHFR2","ECrel","compound"
"88","AKR1B10","QDPR","ECrel","compound"
"89","AKR1B10","PAH","ECrel","compound"
"90","AKR1B10","TH","ECrel","compound"
"91","AKR1B10","TPH2","ECrel","compound"
"92","AKR1B10","TPH1","ECrel","compound"
"93","CBR1","SPR","ECrel","compound"
"94","AKR1C8","AKR1B1","ECrel","compound"
"95","AKR1C8","AKR1B15","ECrel","compound"
"96","AKR1C8","AKR1B10","ECrel","compound"
"97","AKR1C8","CBR1","ECrel","compound"
"98","AKR1C8","SPR","ECrel","compound"
"99","AKR1C3","AKR1B1","ECrel","compound"
"100","AKR1C3","AKR1B15","ECrel","compound"
"101","AKR1C3","AKR1B10","ECrel","compound"
"102","AKR1C3","CBR1","ECrel","compound"
"103","AKR1C3","SPR","ECrel","compound"
