"","from","to","type","subtype"
"1","PTDSS2","PTDSS1","ECrel","compound"
"2","PTDSS2","PLAAT3","ECrel","compound"
"3","PTDSS2","PLAAT2","ECrel","compound"
"4","PTDSS2","CEPT1","ECrel","compound"
"5","PTDSS2","SELENOI","ECrel","compound"
"6","PTDSS2","PLA2G4B","ECrel","compound"
"7","PTDSS2","PLA2G4E","ECrel","compound"
"8","PTDSS2","PLB1","ECrel","compound"
"9","PTDSS2","PLA2G4F","ECrel","compound"
"10","PTDSS2","PLA2G2D","ECrel","compound"
"11","PTDSS2","PLA2G4D","ECrel","compound"
"12","PTDSS2","PLA2G2E","ECrel","compound"
"13","PTDSS2","PLA2G2C","ECrel","compound"
"14","PTDSS2","PLA2G3","ECrel","compound"
"15","PTDSS2","PLA2G1B","ECrel","compound"
"16","PTDSS2","PLA2G2A","ECrel","compound"
"17","PTDSS2","PLA2G4A","ECrel","compound"
"18","PTDSS2","PLA2G5","ECrel","compound"
"19","PTDSS2","PLA2G2F","ECrel","compound"
"20","PTDSS2","PLA2G12A","ECrel","compound"
"21","PTDSS2","PLA2G6","ECrel","compound"
"22","PTDSS2","PLA2G10","ECrel","compound"
"23","PTDSS2","PLA2G12B","ECrel","compound"
"24","PTDSS2","PLA2G4C","ECrel","compound"
"25","PTDSS2","JMJD7-PLA2G4B","ECrel","compound"
"26","PTDSS2","LPCAT3","ECrel","compound"
"27","PTDSS2","MBOAT2","ECrel","compound"
"28","PTDSS2","MBOAT1","ECrel","compound"
"29","PTDSS2","LPCAT4","ECrel","compound"
"30","PTDSS2","PLD4","ECrel","compound"
"31","PTDSS2","PLD3","ECrel","compound"
"32","PTDSS2","PLD1","ECrel","compound"
"33","PTDSS2","PLD2","ECrel","compound"
"34","PTDSS2","PEMT","ECrel","compound"
"35","PTDSS2","PLA1A","ECrel","compound"
"36","PTDSS1","PISD","ECrel","compound"
"37","PTDSS1","PLAAT3","ECrel","compound"
"38","PTDSS1","PLAAT2","ECrel","compound"
"39","PTDSS1","LCAT","ECrel","compound"
"40","PTDSS1","PLA2G4B","ECrel","compound"
"41","PTDSS1","PLA2G4E","ECrel","compound"
"42","PTDSS1","PLB1","ECrel","compound"
"43","PTDSS1","PLA2G4F","ECrel","compound"
"44","PTDSS1","PLA2G2D","ECrel","compound"
"45","PTDSS1","PLA2G4D","ECrel","compound"
"46","PTDSS1","PLA2G2E","ECrel","compound"
"47","PTDSS1","PLA2G2C","ECrel","compound"
"48","PTDSS1","PLA2G3","ECrel","compound"
"49","PTDSS1","PLA2G1B","ECrel","compound"
"50","PTDSS1","PLA2G2A","ECrel","compound"
"51","PTDSS1","PLA2G4A","ECrel","compound"
"52","PTDSS1","PLA2G5","ECrel","compound"
"53","PTDSS1","PLA2G2F","ECrel","compound"
"54","PTDSS1","PLA2G12A","ECrel","compound"
"55","PTDSS1","PLA2G6","ECrel","compound"
"56","PTDSS1","PLA2G10","ECrel","compound"
"57","PTDSS1","PLA2G12B","ECrel","compound"
"58","PTDSS1","PLA2G4C","ECrel","compound"
"59","PTDSS1","JMJD7-PLA2G4B","ECrel","compound"
"60","PTDSS1","LPCAT3","ECrel","compound"
"61","PTDSS1","LPCAT4","ECrel","compound"
"62","PTDSS1","LPCAT2","ECrel","compound"
"63","PTDSS1","LPCAT1","ECrel","compound"
"64","PTDSS1","CEPT1","ECrel","compound"
"65","PTDSS1","CHPT1","ECrel","compound"
"66","PTDSS1","PEMT","ECrel","compound"
"67","PTDSS1","PLD4","ECrel","compound"
"68","PTDSS1","PLD3","ECrel","compound"
"69","PTDSS1","PLD1","ECrel","compound"
"70","PTDSS1","PLD2","ECrel","compound"
"71","GNPAT","GPD1L","ECrel","compound"
"72","GNPAT","GPD1","ECrel","compound"
"73","GNPAT","GPD2","ECrel","compound"
"74","LPCAT3","PLAAT3","ECrel","compound"
"75","LPCAT3","PLAAT2","ECrel","compound"
"76","LPCAT3","CEPT1","ECrel","compound"
"77","LPCAT3","CHPT1","ECrel","compound"
"78","LPCAT3","PEMT","ECrel","compound"
"79","LPCAT3","PLD4","ECrel","compound"
"80","LPCAT3","PLD3","ECrel","compound"
"81","LPCAT3","PLD1","ECrel","compound"
"82","LPCAT3","PLD2","ECrel","compound"
"83","LPCAT3","PISD","ECrel","compound"
"84","LPCAT3","LYPLA1","ECrel","compound"
"85","LPCAT3","PNPLA6","ECrel","compound"
"86","LPCAT3","PLB1","ECrel","compound"
"87","LPCAT3","PLA2G15","ECrel","compound"
"88","LPCAT3","PNPLA7","ECrel","compound"
"89","LPCAT3","PTDSS2","ECrel","compound"
"90","LPCAT3","PLA1A","ECrel","compound"
"91","LPCAT3","PTDSS1","ECrel","compound"
"92","LPCAT4","PLAAT3","ECrel","compound"
"93","LPCAT4","PLAAT2","ECrel","compound"
"94","LPCAT4","CEPT1","ECrel","compound"
"95","LPCAT4","CHPT1","ECrel","compound"
"96","LPCAT4","PEMT","ECrel","compound"
"97","LPCAT4","PLD4","ECrel","compound"
"98","LPCAT4","PLD3","ECrel","compound"
"99","LPCAT4","PLD1","ECrel","compound"
"100","LPCAT4","PLD2","ECrel","compound"
"101","LPCAT4","PISD","ECrel","compound"
"102","LPCAT4","LYPLA1","ECrel","compound"
"103","LPCAT4","PNPLA6","ECrel","compound"
"104","LPCAT4","PLB1","ECrel","compound"
"105","LPCAT4","PLA2G15","ECrel","compound"
"106","LPCAT4","PNPLA7","ECrel","compound"
"107","LPCAT4","CRLS1","ECrel","compound"
"108","LPCAT4","PTDSS2","ECrel","compound"
"109","LPCAT4","PLA1A","ECrel","compound"
"110","LPCAT4","PTDSS1","ECrel","compound"
"111","LPCAT2","PLAAT3","ECrel","compound"
"112","LPCAT2","PLAAT2","ECrel","compound"
"113","LPCAT2","CEPT1","ECrel","compound"
"114","LPCAT2","CHPT1","ECrel","compound"
"115","LPCAT2","PEMT","ECrel","compound"
"116","LPCAT2","PLD4","ECrel","compound"
"117","LPCAT2","PLD3","ECrel","compound"
"118","LPCAT2","PLD1","ECrel","compound"
"119","LPCAT2","PLD2","ECrel","compound"
"120","LPCAT2","LYPLA1","ECrel","compound"
"121","LPCAT2","PNPLA6","ECrel","compound"
"122","LPCAT2","PLB1","ECrel","compound"
"123","LPCAT2","PLA2G15","ECrel","compound"
"124","LPCAT2","PNPLA7","ECrel","compound"
"125","LPCAT2","CRLS1","ECrel","compound"
"126","LPCAT1","PLAAT3","ECrel","compound"
"127","LPCAT1","PLAAT2","ECrel","compound"
"128","LPCAT1","CEPT1","ECrel","compound"
"129","LPCAT1","CHPT1","ECrel","compound"
"130","LPCAT1","PEMT","ECrel","compound"
"131","LPCAT1","PLD4","ECrel","compound"
"132","LPCAT1","PLD3","ECrel","compound"
"133","LPCAT1","PLD1","ECrel","compound"
"134","LPCAT1","PLD2","ECrel","compound"
"135","LPCAT1","LYPLA1","ECrel","compound"
"136","LPCAT1","PNPLA6","ECrel","compound"
"137","LPCAT1","PLB1","ECrel","compound"
"138","LPCAT1","PLA2G15","ECrel","compound"
"139","LPCAT1","PNPLA7","ECrel","compound"
"140","LPCAT1","CRLS1","ECrel","compound"
"141","CEPT1","LCAT","ECrel","compound"
"142","CEPT1","PLA2G4B","ECrel","compound"
"143","CEPT1","PLAAT3","ECrel","compound"
"144","CEPT1","PLA2G4E","ECrel","compound"
"145","CEPT1","PLB1","ECrel","compound"
"146","CEPT1","PLA2G4F","ECrel","compound"
"147","CEPT1","PLA2G2D","ECrel","compound"
"148","CEPT1","PLA2G4D","ECrel","compound"
"149","CEPT1","PLA2G2E","ECrel","compound"
"150","CEPT1","PLA2G2C","ECrel","compound"
"151","CEPT1","PLA2G3","ECrel","compound"
"152","CEPT1","PLA2G1B","ECrel","compound"
"153","CEPT1","PLA2G2A","ECrel","compound"
"154","CEPT1","PLA2G4A","ECrel","compound"
"155","CEPT1","PLA2G5","ECrel","compound"
"156","CEPT1","PLAAT2","ECrel","compound"
"157","CEPT1","PLA2G2F","ECrel","compound"
"158","CEPT1","PLA2G12A","ECrel","compound"
"159","CEPT1","PLA2G6","ECrel","compound"
"160","CEPT1","PLA2G10","ECrel","compound"
"161","CEPT1","PLA2G12B","ECrel","compound"
"162","CEPT1","PLA2G4C","ECrel","compound"
"163","CEPT1","JMJD7-PLA2G4B","ECrel","compound"
"164","CEPT1","PEMT","ECrel","compound"
"165","CEPT1","PLD4","ECrel","compound"
"166","CEPT1","PLD3","ECrel","compound"
"167","CEPT1","PLD1","ECrel","compound"
"168","CEPT1","PLD2","ECrel","compound"
"169","CEPT1","CEPT1","ECrel","compound"
"170","CEPT1","SELENOI","ECrel","compound"
"171","CEPT1","DGKK","ECrel","compound"
"172","CEPT1","DGKA","ECrel","compound"
"173","CEPT1","DGKB","ECrel","compound"
"174","CEPT1","DGKG","ECrel","compound"
"175","CEPT1","DGKH","ECrel","compound"
"176","CEPT1","DGKQ","ECrel","compound"
"177","CEPT1","DGKZ","ECrel","compound"
"178","CEPT1","DGKE","ECrel","compound"
"179","CEPT1","DGKD","ECrel","compound"
"180","CEPT1","DGKI","ECrel","compound"
"181","CEPT1","PLPP4","ECrel","compound"
"182","CEPT1","LPIN1","ECrel","compound"
"183","CEPT1","LPIN3","ECrel","compound"
"184","CEPT1","PLPP5","ECrel","compound"
"185","CEPT1","PLPP1","ECrel","compound"
"186","CEPT1","PLPP2","ECrel","compound"
"187","CEPT1","PLPP3","ECrel","compound"
"188","CEPT1","LPIN2","ECrel","compound"
"189","CEPT1","LPCAT3","ECrel","compound"
"190","CEPT1","MBOAT2","ECrel","compound"
"191","CEPT1","MBOAT1","ECrel","compound"
"192","CEPT1","LPCAT4","ECrel","compound"
"193","CEPT1","PISD","ECrel","compound"
"194","CEPT1","PCYT1A","ECrel","compound"
"195","CEPT1","PCYT1B","ECrel","compound"
"196","CHPT1","LCAT","ECrel","compound"
"197","CHPT1","PLA2G4B","ECrel","compound"
"198","CHPT1","PLAAT3","ECrel","compound"
"199","CHPT1","PLA2G4E","ECrel","compound"
"200","CHPT1","PLB1","ECrel","compound"
"201","CHPT1","PLA2G4F","ECrel","compound"
"202","CHPT1","PLA2G2D","ECrel","compound"
"203","CHPT1","PLA2G4D","ECrel","compound"
"204","CHPT1","PLA2G2E","ECrel","compound"
"205","CHPT1","PLA2G2C","ECrel","compound"
"206","CHPT1","PLA2G3","ECrel","compound"
"207","CHPT1","PLA2G1B","ECrel","compound"
"208","CHPT1","PLA2G2A","ECrel","compound"
"209","CHPT1","PLA2G4A","ECrel","compound"
"210","CHPT1","PLA2G5","ECrel","compound"
"211","CHPT1","PLAAT2","ECrel","compound"
"212","CHPT1","PLA2G2F","ECrel","compound"
"213","CHPT1","PLA2G12A","ECrel","compound"
"214","CHPT1","PLA2G6","ECrel","compound"
"215","CHPT1","PLA2G10","ECrel","compound"
"216","CHPT1","PLA2G12B","ECrel","compound"
"217","CHPT1","PLA2G4C","ECrel","compound"
"218","CHPT1","JMJD7-PLA2G4B","ECrel","compound"
"219","CHPT1","PEMT","ECrel","compound"
"220","CHPT1","PLD4","ECrel","compound"
"221","CHPT1","PLD3","ECrel","compound"
"222","CHPT1","PLD1","ECrel","compound"
"223","CHPT1","PLD2","ECrel","compound"
"224","CHPT1","CEPT1","ECrel","compound"
"225","CHPT1","SELENOI","ECrel","compound"
"226","CHPT1","DGKK","ECrel","compound"
"227","CHPT1","DGKA","ECrel","compound"
"228","CHPT1","DGKB","ECrel","compound"
"229","CHPT1","DGKG","ECrel","compound"
"230","CHPT1","DGKH","ECrel","compound"
"231","CHPT1","DGKQ","ECrel","compound"
"232","CHPT1","DGKZ","ECrel","compound"
"233","CHPT1","DGKE","ECrel","compound"
"234","CHPT1","DGKD","ECrel","compound"
"235","CHPT1","DGKI","ECrel","compound"
"236","CHPT1","PLPP4","ECrel","compound"
"237","CHPT1","LPIN1","ECrel","compound"
"238","CHPT1","LPIN3","ECrel","compound"
"239","CHPT1","PLPP5","ECrel","compound"
"240","CHPT1","PLPP1","ECrel","compound"
"241","CHPT1","PLPP2","ECrel","compound"
"242","CHPT1","PLPP3","ECrel","compound"
"243","CHPT1","LPIN2","ECrel","compound"
"244","CHPT1","PCYT1A","ECrel","compound"
"245","CHPT1","PCYT1B","ECrel","compound"
"246","PCYT1A","CHKA","ECrel","compound"
"247","PCYT1A","CHKB","ECrel","compound"
"248","PCYT1A","PHOSPHO1","ECrel","compound"
"249","PCYT1B","CHKA","ECrel","compound"
"250","PCYT1B","CHKB","ECrel","compound"
"251","PCYT1B","PHOSPHO1","ECrel","compound"
"252","CHKA","ACHE","ECrel","compound"
"253","CHKA","CHAT","ECrel","compound"
"254","CHKA","GPCPD1","ECrel","compound"
"255","CHKA","ETNPPL","ECrel","compound"
"256","CHKB","ACHE","ECrel","compound"
"257","CHKB","CHAT","ECrel","compound"
"258","CHKB","GPCPD1","ECrel","compound"
"259","CHKB","ETNPPL","ECrel","compound"
"260","ACHE","PHOSPHO1","ECrel","compound"
"261","ACHE","GPCPD1","ECrel","compound"
"262","CHAT","PHOSPHO1","ECrel","compound"
"263","CHAT","GPCPD1","ECrel","compound"
"264","PCYT2","CEPT1","ECrel","compound"
"265","PCYT2","SELENOI","ECrel","compound"
"266","PCYT2","CHKA","ECrel","compound"
"267","PCYT2","CHKB","ECrel","compound"
"268","PCYT2","ETNK2","ECrel","compound"
"269","PCYT2","ETNK1","ECrel","compound"
"270","PCYT2","PHOSPHO1","ECrel","compound"
"271","PCYT2","ETNPPL","ECrel","compound"
"272","ETNK2","GPCPD1","ECrel","compound"
"273","ETNK2","ETNPPL","ECrel","compound"
"274","ETNK1","GPCPD1","ECrel","compound"
"275","ETNK1","ETNPPL","ECrel","compound"
