"","from","to","type","subtype"
"1","MAP2K1","MAPK1","PPrel","activation"
"2","MAP2K1","MAPK1","PPrel","phosphorylation"
"3","MAP2K1","MAPK3","PPrel","activation"
"4","MAP2K1","MAPK3","PPrel","phosphorylation"
"5","MAP2K2","MAPK1","PPrel","activation"
"6","MAP2K2","MAPK1","PPrel","phosphorylation"
"7","MAP2K2","MAPK3","PPrel","activation"
"8","MAP2K2","MAPK3","PPrel","phosphorylation"
"9","RAF1","MAP2K1","PPrel","activation"
"10","RAF1","MAP2K2","PPrel","activation"
"11","RAP1A","APBB1IP","PPrel","activation"
"12","RAP1A","ARAP3","PPrel","activation"
"13","RAP1A","AFDN","PPrel","activation"
"14","RAP1A","KRIT1","PPrel","activation"
"15","RAP1A","RGS14","PPrel","activation"
"16","RAP1A","RASSF5","PPrel","activation"
"17","RAP1A","PRKD3","PPrel","activation"
"18","RAP1A","PRKD2","PPrel","activation"
"19","RAP1A","PRKD1","PPrel","activation"
"20","RAP1A","BRAF","PPrel","activation"
"21","RAP1A","MAP2K3","PPrel","activation"
"22","RAP1A","MAP2K6","PPrel","activation"
"23","RAP1A","P3R3URF-PIK3R3","PPrel","activation"
"24","RAP1A","PIK3CA","PPrel","activation"
"25","RAP1A","PIK3CB","PPrel","activation"
"26","RAP1A","PIK3CD","PPrel","activation"
"27","RAP1A","PIK3R1","PPrel","activation"
"28","RAP1A","PIK3R2","PPrel","activation"
"29","RAP1A","PIK3R3","PPrel","activation"
"30","RAP1A","PLCE1","PPrel","activation"
"31","RAP1A","ID1","PPrel","inhibition"
"32","RAP1A","RALGDS","PPrel","inhibition"
"33","RAP1A","SRC","PPrel","activation"
"34","RAP1A","FARP2","PPrel","activation"
"35","RAP1A","VAV3","PPrel","activation"
"36","RAP1A","VAV1","PPrel","activation"
"37","RAP1A","VAV2","PPrel","activation"
"38","RAP1A","TIAM1","PPrel","activation"
"39","RAP1B","APBB1IP","PPrel","activation"
"40","RAP1B","ARAP3","PPrel","activation"
"41","RAP1B","AFDN","PPrel","activation"
"42","RAP1B","KRIT1","PPrel","activation"
"43","RAP1B","RGS14","PPrel","activation"
"44","RAP1B","RASSF5","PPrel","activation"
"45","RAP1B","PRKD3","PPrel","activation"
"46","RAP1B","PRKD2","PPrel","activation"
"47","RAP1B","PRKD1","PPrel","activation"
"48","RAP1B","BRAF","PPrel","activation"
"49","RAP1B","MAP2K3","PPrel","activation"
"50","RAP1B","MAP2K6","PPrel","activation"
"51","RAP1B","P3R3URF-PIK3R3","PPrel","activation"
"52","RAP1B","PIK3CA","PPrel","activation"
"53","RAP1B","PIK3CB","PPrel","activation"
"54","RAP1B","PIK3CD","PPrel","activation"
"55","RAP1B","PIK3R1","PPrel","activation"
"56","RAP1B","PIK3R2","PPrel","activation"
"57","RAP1B","PIK3R3","PPrel","activation"
"58","RAP1B","PLCE1","PPrel","activation"
"59","RAP1B","ID1","PPrel","inhibition"
"60","RAP1B","RALGDS","PPrel","inhibition"
"61","RAP1B","SRC","PPrel","activation"
"62","RAP1B","FARP2","PPrel","activation"
"63","RAP1B","VAV3","PPrel","activation"
"64","RAP1B","VAV1","PPrel","activation"
"65","RAP1B","VAV2","PPrel","activation"
"66","RAP1B","TIAM1","PPrel","activation"
"67","APBB1IP","TLN1","PPrel","activation"
"68","APBB1IP","TLN2","PPrel","activation"
"69","APBB1IP","PFN3","PPrel","activation"
"70","APBB1IP","PFN4","PPrel","activation"
"71","APBB1IP","PFN1","PPrel","activation"
"72","APBB1IP","PFN2","PPrel","activation"
"73","APBB1IP","EVL","PPrel","activation"
"74","APBB1IP","ENAH","PPrel","activation"
"75","APBB1IP","VASP","PPrel","activation"
"76","EFNA4-EFNA3","CSF1R","PPrel","activation"
"77","EFNA4-EFNA3","EGFR","PPrel","activation"
"78","EFNA4-EFNA3","EPHA2","PPrel","activation"
"79","EFNA4-EFNA3","FGFR1","PPrel","activation"
"80","EFNA4-EFNA3","FGFR3","PPrel","activation"
"81","EFNA4-EFNA3","FGFR2","PPrel","activation"
"82","EFNA4-EFNA3","FGFR4","PPrel","activation"
"83","EFNA4-EFNA3","FLT1","PPrel","activation"
"84","EFNA4-EFNA3","FLT4","PPrel","activation"
"85","EFNA4-EFNA3","IGF1R","PPrel","activation"
"86","EFNA4-EFNA3","INSR","PPrel","activation"
"87","EFNA4-EFNA3","KDR","PPrel","activation"
"88","EFNA4-EFNA3","KIT","PPrel","activation"
"89","EFNA4-EFNA3","MET","PPrel","activation"
"90","EFNA4-EFNA3","NGFR","PPrel","activation"
"91","EFNA4-EFNA3","PDGFRA","PPrel","activation"
"92","EFNA4-EFNA3","PDGFRB","PPrel","activation"
"93","EFNA4-EFNA3","TEK","PPrel","activation"
"94","CSF1","CSF1R","PPrel","activation"
"95","CSF1","EGFR","PPrel","activation"
"96","CSF1","EPHA2","PPrel","activation"
"97","CSF1","FGFR1","PPrel","activation"
"98","CSF1","FGFR3","PPrel","activation"
"99","CSF1","FGFR2","PPrel","activation"
"100","CSF1","FGFR4","PPrel","activation"
"101","CSF1","FLT1","PPrel","activation"
"102","CSF1","FLT4","PPrel","activation"
"103","CSF1","IGF1R","PPrel","activation"
"104","CSF1","INSR","PPrel","activation"
"105","CSF1","KDR","PPrel","activation"
"106","CSF1","KIT","PPrel","activation"
"107","CSF1","MET","PPrel","activation"
"108","CSF1","NGFR","PPrel","activation"
"109","CSF1","PDGFRA","PPrel","activation"
"110","CSF1","PDGFRB","PPrel","activation"
"111","CSF1","TEK","PPrel","activation"
"112","EFNA1","CSF1R","PPrel","activation"
"113","EFNA1","EGFR","PPrel","activation"
"114","EFNA1","EPHA2","PPrel","activation"
"115","EFNA1","FGFR1","PPrel","activation"
"116","EFNA1","FGFR3","PPrel","activation"
"117","EFNA1","FGFR2","PPrel","activation"
"118","EFNA1","FGFR4","PPrel","activation"
"119","EFNA1","FLT1","PPrel","activation"
"120","EFNA1","FLT4","PPrel","activation"
"121","EFNA1","IGF1R","PPrel","activation"
"122","EFNA1","INSR","PPrel","activation"
"123","EFNA1","KDR","PPrel","activation"
"124","EFNA1","KIT","PPrel","activation"
"125","EFNA1","MET","PPrel","activation"
"126","EFNA1","NGFR","PPrel","activation"
"127","EFNA1","PDGFRA","PPrel","activation"
"128","EFNA1","PDGFRB","PPrel","activation"
"129","EFNA1","TEK","PPrel","activation"
"130","EFNA2","CSF1R","PPrel","activation"
"131","EFNA2","EGFR","PPrel","activation"
"132","EFNA2","EPHA2","PPrel","activation"
"133","EFNA2","FGFR1","PPrel","activation"
"134","EFNA2","FGFR3","PPrel","activation"
"135","EFNA2","FGFR2","PPrel","activation"
"136","EFNA2","FGFR4","PPrel","activation"
"137","EFNA2","FLT1","PPrel","activation"
"138","EFNA2","FLT4","PPrel","activation"
"139","EFNA2","IGF1R","PPrel","activation"
"140","EFNA2","INSR","PPrel","activation"
"141","EFNA2","KDR","PPrel","activation"
"142","EFNA2","KIT","PPrel","activation"
"143","EFNA2","MET","PPrel","activation"
"144","EFNA2","NGFR","PPrel","activation"
"145","EFNA2","PDGFRA","PPrel","activation"
"146","EFNA2","PDGFRB","PPrel","activation"
"147","EFNA2","TEK","PPrel","activation"
"148","EFNA3","CSF1R","PPrel","activation"
"149","EFNA3","EGFR","PPrel","activation"
"150","EFNA3","EPHA2","PPrel","activation"
"151","EFNA3","FGFR1","PPrel","activation"
"152","EFNA3","FGFR3","PPrel","activation"
"153","EFNA3","FGFR2","PPrel","activation"
"154","EFNA3","FGFR4","PPrel","activation"
"155","EFNA3","FLT1","PPrel","activation"
"156","EFNA3","FLT4","PPrel","activation"
"157","EFNA3","IGF1R","PPrel","activation"
"158","EFNA3","INSR","PPrel","activation"
"159","EFNA3","KDR","PPrel","activation"
"160","EFNA3","KIT","PPrel","activation"
"161","EFNA3","MET","PPrel","activation"
"162","EFNA3","NGFR","PPrel","activation"
"163","EFNA3","PDGFRA","PPrel","activation"
"164","EFNA3","PDGFRB","PPrel","activation"
"165","EFNA3","TEK","PPrel","activation"
"166","EFNA4","CSF1R","PPrel","activation"
"167","EFNA4","EGFR","PPrel","activation"
"168","EFNA4","EPHA2","PPrel","activation"
"169","EFNA4","FGFR1","PPrel","activation"
"170","EFNA4","FGFR3","PPrel","activation"
"171","EFNA4","FGFR2","PPrel","activation"
"172","EFNA4","FGFR4","PPrel","activation"
"173","EFNA4","FLT1","PPrel","activation"
"174","EFNA4","FLT4","PPrel","activation"
"175","EFNA4","IGF1R","PPrel","activation"
"176","EFNA4","INSR","PPrel","activation"
"177","EFNA4","KDR","PPrel","activation"
"178","EFNA4","KIT","PPrel","activation"
"179","EFNA4","MET","PPrel","activation"
"180","EFNA4","NGFR","PPrel","activation"
