"","from","to","type","subtype"
"1","CRY1","BMAL1","PPrel",NA
"2","CRY1","NPAS2","PPrel",NA
"3","CRY1","CLOCK","PPrel",NA
"4","CRY2","BMAL1","PPrel",NA
"5","CRY2","NPAS2","PPrel",NA
"6","CRY2","CLOCK","PPrel",NA
"7","PER2","BMAL1","PPrel",NA
"8","PER2","NPAS2","PPrel",NA
"9","PER2","CLOCK","PPrel",NA
"10","TPTEP2-CSNK1E","PER1","PPrel",NA
"11","TPTEP2-CSNK1E","PER3","PPrel",NA
"12","TPTEP2-CSNK1E","PER2","PPrel",NA
"13","TPTEP2-CSNK1E","BMAL1","PPrel",NA
"14","TPTEP2-CSNK1E","NPAS2","PPrel",NA
"15","TPTEP2-CSNK1E","CLOCK","PPrel",NA
"16","CSNK1D","PER1","PPrel",NA
"17","CSNK1D","PER3","PPrel",NA
"18","CSNK1D","PER2","PPrel",NA
"19","CSNK1D","BMAL1","PPrel",NA
"20","CSNK1D","NPAS2","PPrel",NA
"21","CSNK1D","CLOCK","PPrel",NA
"22","CSNK1E","PER1","PPrel",NA
"23","CSNK1E","PER3","PPrel",NA
"24","CSNK1E","PER2","PPrel",NA
"25","CSNK1E","BMAL1","PPrel",NA
"26","CSNK1E","NPAS2","PPrel",NA
"27","CSNK1E","CLOCK","PPrel",NA
"28","BMAL1","CRY1","PPrel",NA
"29","BMAL1","CRY2","PPrel",NA
"30","BMAL1","PER1","PPrel",NA
"31","BMAL1","PER3","PPrel",NA
"32","BMAL1","PER2","PPrel",NA
"33","BMAL1","BHLHE41","PPrel",NA
"34","BMAL1","BHLHE40","PPrel",NA
"35","BMAL1","DBP","PPrel",NA
"36","BMAL1","NR1D1","PPrel",NA
"37","BMAL1","NR1D2","PPrel",NA
"38","NPAS2","CRY1","PPrel",NA
"39","NPAS2","CRY2","PPrel",NA
"40","NPAS2","PER1","PPrel",NA
"41","NPAS2","PER3","PPrel",NA
"42","NPAS2","PER2","PPrel",NA
"43","NPAS2","BHLHE41","PPrel",NA
"44","NPAS2","BHLHE40","PPrel",NA
"45","NPAS2","DBP","PPrel",NA
"46","NPAS2","NR1D1","PPrel",NA
"47","NPAS2","NR1D2","PPrel",NA
"48","CLOCK","CRY1","PPrel",NA
"49","CLOCK","CRY2","PPrel",NA
"50","CLOCK","PER1","PPrel",NA
"51","CLOCK","PER3","PPrel",NA
"52","CLOCK","PER2","PPrel",NA
"53","CLOCK","BHLHE41","PPrel",NA
"54","CLOCK","BHLHE40","PPrel",NA
"55","CLOCK","DBP","PPrel",NA
"56","CLOCK","NR1D1","PPrel",NA
"57","CLOCK","NR1D2","PPrel",NA
"58","DBP","RORA","PPrel",NA
"59","DBP","RORB","PPrel",NA
"60","DBP","RORC","PPrel",NA
"61","DBP","NR1D1","PPrel",NA
"62","DBP","NR1D2","PPrel",NA
"63","DBP","PER1","PPrel",NA
