"","from","to","type","subtype"
"1","WWC1","STK3","PPrel","activation"
"2","WWC1","STK3","PPrel","indirect effect"
"3","NF2","STK3","PPrel","activation"
"4","NF2","STK3","PPrel","indirect effect"
"5","FRMD6","STK3","PPrel","activation"
"6","FRMD6","STK3","PPrel","indirect effect"
"7","FRMD1","STK3","PPrel","activation"
"8","FRMD1","STK3","PPrel","indirect effect"
"9","STK3","LATS2","PPrel","activation"
"10","STK3","LATS2","PPrel","phosphorylation"
"11","STK3","LATS1","PPrel","activation"
"12","STK3","LATS1","PPrel","phosphorylation"
"13","STK3","MOB1A","PPrel","activation"
"14","STK3","MOB1A","PPrel","phosphorylation"
"15","STK3","MOB1B","PPrel","activation"
"16","STK3","MOB1B","PPrel","phosphorylation"
"17","YAP1","AREG","GErel","expression"
"18","YAP1","BIRC5","GErel","expression"
"19","YAP1","AFP","GErel","expression"
"20","YAP1","ITGB2","GErel","expression"
"21","YAP1","FGF1","GErel","expression"
"22","YAP1","TGFBR1","PPrel","inhibition"
"23","YAP1","TGFBR2","PPrel","inhibition"
"24","YAP1","SMAD2","PPrel","inhibition"
"25","YAP1","SMAD3","PPrel","inhibition"
"26","YAP1","BBC3","GErel","expression"
"27","YAP1","CCN2","GErel","expression"
"28","YAP1","GLI2","GErel","expression"
"29","YAP1","SMAD7","GErel","expression"
"30","YAP1","SERPINE1","GErel","expression"
"31","YAP1","ID1","GErel","expression"
"32","YAP1","ID2","GErel","expression"
"33","YAP1","AXIN1","GErel","expression"
"34","YAP1","AXIN2","GErel","expression"
"35","YAP1","NKD1","GErel","expression"
"36","YAP1","NKD2","GErel","expression"
"37","YAP1","MYC","GErel","expression"
"38","YAP1","CCND1","GErel","expression"
"39","YAP1","CCND2","GErel","expression"
"40","YAP1","CCND3","GErel","expression"
"41","YAP1","SOX2","GErel","expression"
"42","YAP1","SNAI2","GErel","expression"
"43","YAP1","BIRC2","GErel","expression"
"44","YAP1","BIRC3","GErel","expression"
"45","WWTR1","AREG","GErel","expression"
"46","WWTR1","BIRC5","GErel","expression"
"47","WWTR1","AFP","GErel","expression"
"48","WWTR1","ITGB2","GErel","expression"
"49","WWTR1","FGF1","GErel","expression"
"50","WWTR1","TPTEP2-CSNK1E","PPrel","inhibition"
"51","WWTR1","CSNK1D","PPrel","inhibition"
"52","WWTR1","CSNK1E","PPrel","inhibition"
"53","WWTR1","BBC3","GErel","expression"
"54","WWTR1","CCN2","GErel","expression"
"55","WWTR1","GLI2","GErel","expression"
"56","WWTR1","SMAD7","GErel","expression"
"57","WWTR1","SERPINE1","GErel","expression"
"58","LATS2","YAP1","PPrel","inhibition"
"59","LATS2","YAP1","PPrel","phosphorylation"
"60","LATS2","WWTR1","PPrel","inhibition"
"61","LATS2","WWTR1","PPrel","phosphorylation"
"62","LATS1","YAP1","PPrel","inhibition"
"63","LATS1","YAP1","PPrel","phosphorylation"
"64","LATS1","WWTR1","PPrel","inhibition"
"65","LATS1","WWTR1","PPrel","phosphorylation"
"66","CRB1","CRB1","PPrel","binding/association"
"67","CRB1","CRB2","PPrel","binding/association"
"68","CRB2","CRB1","PPrel","binding/association"
"69","CRB2","CRB2","PPrel","binding/association"
"70","CTNNA1","YWHAQ","PPrel","activation"
"71","CTNNA1","YWHAB","PPrel","activation"
"72","CTNNA1","YWHAE","PPrel","activation"
"73","CTNNA1","YWHAG","PPrel","activation"
"74","CTNNA1","YWHAH","PPrel","activation"
"75","CTNNA1","YWHAZ","PPrel","activation"
"76","CTNNA2","YWHAQ","PPrel","activation"
"77","CTNNA2","YWHAB","PPrel","activation"
"78","CTNNA2","YWHAE","PPrel","activation"
"79","CTNNA2","YWHAG","PPrel","activation"
"80","CTNNA2","YWHAH","PPrel","activation"
"81","CTNNA2","YWHAZ","PPrel","activation"
"82","CTNNA3","YWHAQ","PPrel","activation"
"83","CTNNA3","YWHAB","PPrel","activation"
"84","CTNNA3","YWHAE","PPrel","activation"
"85","CTNNA3","YWHAG","PPrel","activation"
"86","CTNNA3","YWHAH","PPrel","activation"
"87","CTNNA3","YWHAZ","PPrel","activation"
"88","RASSF1","STK3","PPrel","activation"
"89","PPP1CA","YAP1","PPrel","activation"
"90","PPP1CA","YAP1","PPrel","dephosphorylation"
"91","PPP1CA","WWTR1","PPrel","activation"
"92","PPP1CA","WWTR1","PPrel","dephosphorylation"
"93","PPP1CB","YAP1","PPrel","activation"
"94","PPP1CB","YAP1","PPrel","dephosphorylation"
"95","PPP1CB","WWTR1","PPrel","activation"
"96","PPP1CB","WWTR1","PPrel","dephosphorylation"
"97","PPP1CC","YAP1","PPrel","activation"
"98","PPP1CC","YAP1","PPrel","dephosphorylation"
"99","PPP1CC","WWTR1","PPrel","activation"
"100","PPP1CC","WWTR1","PPrel","dephosphorylation"
"101","TP53BP2","YAP1","PPrel","activation"
"102","TP53BP2","YAP1","PPrel","dephosphorylation"
"103","TP53BP2","WWTR1","PPrel","activation"
"104","TP53BP2","WWTR1","PPrel","dephosphorylation"
"105","YWHAQ","YAP1","PPrel","binding/association"
"106","YWHAQ","WWTR1","PPrel","binding/association"
"107","YWHAQ","TPTEP2-CSNK1E","PPrel","inhibition"
"108","YWHAQ","CSNK1D","PPrel","inhibition"
"109","YWHAQ","CSNK1E","PPrel","inhibition"
"110","YWHAB","YAP1","PPrel","binding/association"
"111","YWHAB","WWTR1","PPrel","binding/association"
"112","YWHAB","TPTEP2-CSNK1E","PPrel","inhibition"
"113","YWHAB","CSNK1D","PPrel","inhibition"
"114","YWHAB","CSNK1E","PPrel","inhibition"
"115","YWHAE","YAP1","PPrel","binding/association"
"116","YWHAE","WWTR1","PPrel","binding/association"
"117","YWHAE","TPTEP2-CSNK1E","PPrel","inhibition"
"118","YWHAE","CSNK1D","PPrel","inhibition"
"119","YWHAE","CSNK1E","PPrel","inhibition"
"120","YWHAG","YAP1","PPrel","binding/association"
"121","YWHAG","WWTR1","PPrel","binding/association"
"122","YWHAG","TPTEP2-CSNK1E","PPrel","inhibition"
"123","YWHAG","CSNK1D","PPrel","inhibition"
"124","YWHAG","CSNK1E","PPrel","inhibition"
"125","YWHAH","YAP1","PPrel","binding/association"
"126","YWHAH","WWTR1","PPrel","binding/association"
"127","YWHAH","TPTEP2-CSNK1E","PPrel","inhibition"
"128","YWHAH","CSNK1D","PPrel","inhibition"
"129","YWHAH","CSNK1E","PPrel","inhibition"
"130","YWHAZ","YAP1","PPrel","binding/association"
"131","YWHAZ","WWTR1","PPrel","binding/association"
"132","YWHAZ","TPTEP2-CSNK1E","PPrel","inhibition"
"133","YWHAZ","CSNK1D","PPrel","inhibition"
"134","YWHAZ","CSNK1E","PPrel","inhibition"
"135","AMOT","YAP1","PPrel","binding/association"
"136","AMOT","WWTR1","PPrel","binding/association"
"137","PALS1","AMOT","PPrel","binding/association"
"138","PATJ","PALS1","PPrel","binding/association"
"139","CDH1","CDH1","PPrel","binding/association"
"140","LLGL2","YAP1","PPrel","inhibition"
"141","LLGL2","YAP1","PPrel","indirect effect"
"142","LLGL2","WWTR1","PPrel","inhibition"
"143","LLGL2","WWTR1","PPrel","indirect effect"
"144","LLGL1","YAP1","PPrel","inhibition"
"145","LLGL1","YAP1","PPrel","indirect effect"
"146","LLGL1","WWTR1","PPrel","inhibition"
"147","LLGL1","WWTR1","PPrel","indirect effect"
"148","SCRIB","YAP1","PPrel","inhibition"
"149","SCRIB","YAP1","PPrel","indirect effect"
"150","SCRIB","WWTR1","PPrel","inhibition"
"151","SCRIB","WWTR1","PPrel","indirect effect"
"152","DLG1","YAP1","PPrel","inhibition"
"153","DLG1","YAP1","PPrel","indirect effect"
"154","DLG1","WWTR1","PPrel","inhibition"
