"","from","to","type","subtype"
"1","MYC","GLS2","GErel","expression"
"2","MYC","GLS","GErel","expression"
"3","MYC","SLC1A5","GErel","expression"
"4","MYC","SLC2A2","GErel","expression"
"5","MYC","SLC2A1","GErel","expression"
"6","MYC","HK1","GErel","expression"
"7","MYC","HK2","GErel","expression"
"8","MYC","HK3","GErel","expression"
"9","MYC","HKDC1","GErel","expression"
"10","MYC","PGAM4","GErel","expression"
"11","MYC","PGAM1","GErel","expression"
"12","MYC","PGAM2","GErel","expression"
"13","MYC","PKM","GErel","expression"
"14","MYC","LDHAL6A","GErel","expression"
"15","MYC","LDHA","GErel","expression"
"16","MYC","LDHB","GErel","expression"
"17","MYC","LDHC","GErel","expression"
"18","MYC","LDHAL6B","GErel","expression"
"19","SIRT6","MYC","PPrel","inhibition"
"20","SIRT6","HIF1A","PPrel","inhibition"
"21","HIF1A","SLC2A1","GErel","expression"
"22","HIF1A","HK1","GErel","expression"
"23","HIF1A","HK2","GErel","expression"
"24","HIF1A","HK3","GErel","expression"
"25","HIF1A","HKDC1","GErel","expression"
"26","HIF1A","PGAM4","GErel","expression"
"27","HIF1A","PGAM1","GErel","expression"
"28","HIF1A","PGAM2","GErel","expression"
"29","HIF1A","LDHAL6A","GErel","expression"
"30","HIF1A","LDHA","GErel","expression"
"31","HIF1A","LDHB","GErel","expression"
"32","HIF1A","LDHC","GErel","expression"
"33","HIF1A","LDHAL6B","GErel","expression"
"34","HIF1A","PKM","GErel","expression"
"35","HIF1A","PFKL","GErel","expression"
"36","HIF1A","PFKM","GErel","expression"
"37","HIF1A","PFKP","GErel","expression"
"38","HIF1A","PDK1","GErel","expression"
"39","PDK1","PDHA1","PPrel","inhibition"
"40","PDK1","PDHA2","PPrel","inhibition"
"41","PDK1","PDHB","PPrel","inhibition"
"42","EGFR","HRAS","PPrel","activation"
"43","EGFR","HRAS","PPrel","indirect effect"
"44","EGFR","KRAS","PPrel","activation"
"45","EGFR","KRAS","PPrel","indirect effect"
"46","EGFR","NRAS","PPrel","activation"
"47","EGFR","NRAS","PPrel","indirect effect"
"48","EGFR","P3R3URF-PIK3R3","PPrel","activation"
"49","EGFR","P3R3URF-PIK3R3","PPrel","indirect effect"
"50","EGFR","PIK3CA","PPrel","activation"
"51","EGFR","PIK3CA","PPrel","indirect effect"
"52","EGFR","PIK3CB","PPrel","activation"
"53","EGFR","PIK3CB","PPrel","indirect effect"
"54","EGFR","PIK3CD","PPrel","activation"
"55","EGFR","PIK3CD","PPrel","indirect effect"
"56","EGFR","PIK3R1","PPrel","activation"
"57","EGFR","PIK3R1","PPrel","indirect effect"
"58","EGFR","PIK3R2","PPrel","activation"
"59","EGFR","PIK3R2","PPrel","indirect effect"
"60","EGFR","PIK3R3","PPrel","activation"
"61","EGFR","PIK3R3","PPrel","indirect effect"
"62","ERBB2","HRAS","PPrel","activation"
"63","ERBB2","HRAS","PPrel","indirect effect"
"64","ERBB2","KRAS","PPrel","activation"
"65","ERBB2","KRAS","PPrel","indirect effect"
"66","ERBB2","NRAS","PPrel","activation"
"67","ERBB2","NRAS","PPrel","indirect effect"
"68","ERBB2","P3R3URF-PIK3R3","PPrel","activation"
"69","ERBB2","P3R3URF-PIK3R3","PPrel","indirect effect"
"70","ERBB2","PIK3CA","PPrel","activation"
"71","ERBB2","PIK3CA","PPrel","indirect effect"
"72","ERBB2","PIK3CB","PPrel","activation"
"73","ERBB2","PIK3CB","PPrel","indirect effect"
"74","ERBB2","PIK3CD","PPrel","activation"
"75","ERBB2","PIK3CD","PPrel","indirect effect"
"76","ERBB2","PIK3R1","PPrel","activation"
"77","ERBB2","PIK3R1","PPrel","indirect effect"
"78","ERBB2","PIK3R2","PPrel","activation"
"79","ERBB2","PIK3R2","PPrel","indirect effect"
"80","ERBB2","PIK3R3","PPrel","activation"
"81","ERBB2","PIK3R3","PPrel","indirect effect"
"82","FGFR1","HRAS","PPrel","activation"
"83","FGFR1","HRAS","PPrel","indirect effect"
"84","FGFR1","KRAS","PPrel","activation"
"85","FGFR1","KRAS","PPrel","indirect effect"
"86","FGFR1","NRAS","PPrel","activation"
"87","FGFR1","NRAS","PPrel","indirect effect"
"88","FGFR3","HRAS","PPrel","activation"
"89","FGFR3","HRAS","PPrel","indirect effect"
"90","FGFR3","KRAS","PPrel","activation"
"91","FGFR3","KRAS","PPrel","indirect effect"
"92","FGFR3","NRAS","PPrel","activation"
"93","FGFR3","NRAS","PPrel","indirect effect"
"94","FGFR2","HRAS","PPrel","activation"
"95","FGFR2","HRAS","PPrel","indirect effect"
"96","FGFR2","KRAS","PPrel","activation"
"97","FGFR2","KRAS","PPrel","indirect effect"
"98","FGFR2","NRAS","PPrel","activation"
"99","FGFR2","NRAS","PPrel","indirect effect"
"100","FLT3","HRAS","PPrel","activation"
"101","FLT3","HRAS","PPrel","indirect effect"
"102","FLT3","KRAS","PPrel","activation"
"103","FLT3","KRAS","PPrel","indirect effect"
"104","FLT3","NRAS","PPrel","activation"
"105","FLT3","NRAS","PPrel","indirect effect"
"106","KIT","HRAS","PPrel","activation"
"107","KIT","HRAS","PPrel","indirect effect"
"108","KIT","KRAS","PPrel","activation"
"109","KIT","KRAS","PPrel","indirect effect"
"110","KIT","NRAS","PPrel","activation"
"111","KIT","NRAS","PPrel","indirect effect"
"112","MET","HRAS","PPrel","activation"
"113","MET","HRAS","PPrel","indirect effect"
"114","MET","KRAS","PPrel","activation"
"115","MET","KRAS","PPrel","indirect effect"
"116","MET","NRAS","PPrel","activation"
"117","MET","NRAS","PPrel","indirect effect"
"118","MET","P3R3URF-PIK3R3","PPrel","activation"
"119","MET","P3R3URF-PIK3R3","PPrel","indirect effect"
