"","from","to","type","subtype"
"1","B4GALT1","ST3GAL3","ECrel","compound"
"2","B4GALT1","B3GAT2","ECrel","compound"
"3","B4GALT1","B3GAT1","ECrel","compound"
"4","B4GALT1","FUT9","ECrel","compound"
"5","B4GALT1","FUT4","ECrel","compound"
"6","B4GALT3","ST3GAL3","ECrel","compound"
"7","B4GALT3","B3GAT2","ECrel","compound"
"8","B4GALT3","B3GAT1","ECrel","compound"
"9","B4GALT3","FUT9","ECrel","compound"
"10","B4GALT3","FUT4","ECrel","compound"
"11","B4GALT2","ST3GAL3","ECrel","compound"
"12","B4GALT2","B3GAT2","ECrel","compound"
"13","B4GALT2","B3GAT1","ECrel","compound"
"14","B4GALT2","FUT9","ECrel","compound"
"15","B4GALT2","FUT4","ECrel","compound"
"16","POMT1","POMGNT1","ECrel","compound"
"17","POMT1","POMGNT2","ECrel","compound"
"18","POMT2","POMGNT1","ECrel","compound"
"19","POMT2","POMGNT2","ECrel","compound"
"20","POMGNT1","B4GALT1","ECrel","compound"
"21","POMGNT1","B4GALT3","ECrel","compound"
"22","POMGNT1","B4GALT2","ECrel","compound"
"23","POMGNT1","MGAT5B","ECrel","compound"
"24","B3GAT2","CHST10","ECrel","compound"
"25","B3GAT1","CHST10","ECrel","compound"
"26","MGAT5B","B4GALT1","ECrel","compound"
"27","MGAT5B","B4GALT3","ECrel","compound"
"28","MGAT5B","B4GALT2","ECrel","compound"
"29","POMGNT2","B3GALNT2","ECrel","compound"
"30","POMGNT2","POMGNT1","ECrel","compound"
"31","B3GALNT2","POMK","ECrel","compound"
"32","POMK","FKTN","ECrel","compound"
"33","LARGE2","LARGE2","ECrel","compound"
"34","LARGE2","LARGE1","ECrel","compound"
"35","LARGE1","LARGE2","ECrel","compound"
"36","LARGE1","LARGE1","ECrel","compound"
"37","B4GAT1","LARGE2","ECrel","compound"
"38","B4GAT1","LARGE1","ECrel","compound"
"39","CRPPA","FKTN","ECrel","compound"
"40","FKTN","FKRP","ECrel","compound"
"41","FKRP","RXYLT1","ECrel","compound"
"42","RXYLT1","B4GAT1","ECrel","compound"
