"","from","to","type","subtype"
"1","EIF4EBP1","EIF4E","PPrel","inhibition"
"2","EIF4EBP1","EIF4E1B","PPrel","inhibition"
"3","EIF4EBP1","EIF4E2","PPrel","inhibition"
"4","RPS6KB1","EIF4B","PPrel","activation"
"5","RPS6KB1","EIF4B","PPrel","phosphorylation"
"6","RPS6KB1","RPS6","PPrel","activation"
"7","RPS6KB1","RPS6","PPrel","phosphorylation"
"8","RPS6KB2","EIF4B","PPrel","activation"
"9","RPS6KB2","EIF4B","PPrel","phosphorylation"
"10","RPS6KB2","RPS6","PPrel","activation"
"11","RPS6KB2","RPS6","PPrel","phosphorylation"
"12","RPTOR","EIF4EBP1","PPrel","inhibition"
"13","RPTOR","EIF4EBP1","PPrel","phosphorylation"
"14","MTOR","RPS6KB1","PPrel","activation"
"15","MTOR","RPS6KB1","PPrel","phosphorylation"
"16","MTOR","RPS6KB2","PPrel","activation"
"17","MTOR","RPS6KB2","PPrel","phosphorylation"
"18","MTOR","EIF4EBP1","PPrel","inhibition"
"19","MTOR","EIF4EBP1","PPrel","phosphorylation"
"20","MLST8","EIF4EBP1","PPrel","inhibition"
"21","MLST8","EIF4EBP1","PPrel","phosphorylation"
"22","RHEB","RPTOR","PPrel","activation"
"23","RHEB","MTOR","PPrel","activation"
"24","RHEB","MLST8","PPrel","activation"
"25","TSC2","RHEB","PPrel","inhibition"
"26","TSC1","RHEB","PPrel","inhibition"
"27","AKT3","NOS3","PPrel","activation"
"28","AKT3","NOS3","PPrel","phosphorylation"
"29","AKT3","CREB3","PPrel","activation"
"30","AKT3","CREB3","PPrel","phosphorylation"
"31","AKT3","CREB1","PPrel","activation"
"32","AKT3","CREB1","PPrel","phosphorylation"
"33","AKT3","ATF2","PPrel","activation"
"34","AKT3","ATF2","PPrel","phosphorylation"
"35","AKT3","ATF6B","PPrel","activation"
"36","AKT3","ATF6B","PPrel","phosphorylation"
"37","AKT3","CREB3L4","PPrel","activation"
"38","AKT3","CREB3L4","PPrel","phosphorylation"
"39","AKT3","ATF4","PPrel","activation"
"40","AKT3","ATF4","PPrel","phosphorylation"
"41","AKT3","CREB3L2","PPrel","activation"
"42","AKT3","CREB3L2","PPrel","phosphorylation"
"43","AKT3","CREB3L3","PPrel","activation"
"44","AKT3","CREB3L3","PPrel","phosphorylation"
"45","AKT3","CREB3L1","PPrel","activation"
"46","AKT3","CREB3L1","PPrel","phosphorylation"
"47","AKT3","CREB5","PPrel","activation"
"48","AKT3","CREB5","PPrel","phosphorylation"
"49","AKT3","CHUK","PPrel","activation"
"50","AKT3","CHUK","PPrel","phosphorylation"
"51","AKT3","IKBKB","PPrel","activation"
"52","AKT3","IKBKB","PPrel","phosphorylation"
"53","AKT3","IKBKG","PPrel","activation"
