"","from","to","type","subtype"
"1","RRM2B","CMPK2","ECrel","compound"
"2","RRM2B","CMPK1","ECrel","compound"
"3","RRM1","CMPK2","ECrel","compound"
"4","RRM1","CMPK1","ECrel","compound"
"5","RRM2","CMPK2","ECrel","compound"
"6","RRM2","CMPK1","ECrel","compound"
"7","CAD","CAD","ECrel","compound"
"8","CAD","DHODH","ECrel","compound"
"9","UMPS","DHODH","ECrel","compound"
"10","UMPS","UMPS","ECrel","compound"
"11","UMPS","ENPP1","ECrel","compound"
"12","UMPS","ENPP3","ECrel","compound"
"13","UMPS","ASMTL","ECrel","compound"
"14","NME6","CMPK2","ECrel","compound"
"15","NME6","CMPK1","ECrel","compound"
"16","NME6","CANT1","ECrel","compound"
"17","NME6","ENTPD6","ECrel","compound"
"18","NME6","ENTPD5","ECrel","compound"
"19","NME6","ENTPD4","ECrel","compound"
"20","NME6","ENTPD8","ECrel","compound"
"21","NME6","ENTPD1","ECrel","compound"
"22","NME6","ENTPD3","ECrel","compound"
"23","NME6","NUDT2","ECrel","compound"
"24","NME6","ENPP1","ECrel","compound"
"25","NME6","ENPP3","ECrel","compound"
"26","NME6","CTPS1","ECrel","compound"
"27","NME6","CTPS2","ECrel","compound"
"28","NME6","RRM2B","ECrel","compound"
"29","NME6","RRM1","ECrel","compound"
"30","NME6","RRM2","ECrel","compound"
"31","NME6","DTYMK","ECrel","compound"
"32","NME6","DCTPP1","ECrel","compound"
"33","NME6","ASMTL","ECrel","compound"
"34","AK9","CMPK2","ECrel","compound"
"35","AK9","CMPK1","ECrel","compound"
"36","AK9","CANT1","ECrel","compound"
"37","AK9","ENTPD6","ECrel","compound"
"38","AK9","ENTPD5","ECrel","compound"
"39","AK9","ENTPD4","ECrel","compound"
"40","AK9","ENTPD8","ECrel","compound"
"41","AK9","ENTPD1","ECrel","compound"
"42","AK9","ENTPD3","ECrel","compound"
"43","AK9","NUDT2","ECrel","compound"
"44","AK9","ENPP1","ECrel","compound"
"45","AK9","ENPP3","ECrel","compound"
"46","AK9","CTPS1","ECrel","compound"
"47","AK9","CTPS2","ECrel","compound"
"48","AK9","RRM2B","ECrel","compound"
"49","AK9","RRM1","ECrel","compound"
"50","AK9","RRM2","ECrel","compound"
"51","AK9","DTYMK","ECrel","compound"
"52","AK9","DCTPP1","ECrel","compound"
"53","AK9","ASMTL","ECrel","compound"
"54","NME7","CMPK2","ECrel","compound"
"55","NME7","CMPK1","ECrel","compound"
"56","NME7","CANT1","ECrel","compound"
"57","NME7","ENTPD6","ECrel","compound"
"58","NME7","ENTPD5","ECrel","compound"
"59","NME7","ENTPD4","ECrel","compound"
