"","from","to","type","subtype"
"1","GNAS","ADCY5","PPrel","activation"
"2","GNAS","ADCY6","PPrel","activation"
"3","PRKACA","CREB1","PPrel","activation"
"4","PRKACA","KCNMA1","PPrel","activation"
"5","PRKACB","CREB1","PPrel","activation"
"6","PRKACB","KCNMA1","PPrel","activation"
"7","PRKACG","CREB1","PPrel","activation"
"8","PRKACG","KCNMA1","PPrel","activation"
"9","ADRB1","GNAS","PPrel","activation"
"10","ADRB2","GNAS","PPrel","activation"
"11","ADRB3","GNAS","PPrel","activation"
"12","GNAI1","ADCY5","PPrel","inhibition"
"13","GNAI1","ADCY6","PPrel","inhibition"
"14","GNAI2","ADCY5","PPrel","inhibition"
"15","GNAI2","ADCY6","PPrel","inhibition"
"16","GNAI3","ADCY5","PPrel","inhibition"
"17","GNAI3","ADCY6","PPrel","inhibition"
"18","ADORA1","GNAI1","PPrel","activation"
"19","ADORA1","GNAI2","PPrel","activation"
"20","ADORA1","GNAI3","PPrel","activation"
"21","AGTR1","GNAQ","PPrel","activation"
"22","GNAQ","PLCB1","PPrel","activation"
"23","GNAQ","PLCB2","PPrel","activation"
"24","GNAQ","PLCB3","PPrel","activation"
"25","GNAQ","PLCB4","PPrel","activation"
"26","CREB1","REN","GErel","expression"
"27","PTGER2","GNAS","PPrel","activation"
"28","PTGER4","GNAS","PPrel","activation"
"29","EDNRA","GNAQ","PPrel","activation"
"30","EDNRA","KCNJ2","PPrel","inhibition"
"31","CALML6","PPP3CA","PPrel","activation"
"32","CALML6","PPP3CB","PPrel","activation"
"33","CALML6","PPP3CC","PPrel","activation"
"34","CALML6","PPP3R1","PPrel","activation"
"35","CALML6","PPP3R2","PPrel","activation"
"36","CALML5","PPP3CA","PPrel","activation"
"37","CALML5","PPP3CB","PPrel","activation"
"38","CALML5","PPP3CC","PPrel","activation"
"39","CALML5","PPP3R1","PPrel","activation"
"40","CALML5","PPP3R2","PPrel","activation"
"41","CALM1","PPP3CA","PPrel","activation"
"42","CALM1","PPP3CB","PPrel","activation"
"43","CALM1","PPP3CC","PPrel","activation"
"44","CALM1","PPP3R1","PPrel","activation"
"45","CALM1","PPP3R2","PPrel","activation"
"46","CALM2","PPP3CA","PPrel","activation"
"47","CALM2","PPP3CB","PPrel","activation"
"48","CALM2","PPP3CC","PPrel","activation"
"49","CALM2","PPP3R1","PPrel","activation"
"50","CALM2","PPP3R2","PPrel","activation"
"51","CALM3","PPP3CA","PPrel","activation"
"52","CALM3","PPP3CB","PPrel","activation"
"53","CALM3","PPP3CC","PPrel","activation"
"54","CALM3","PPP3R1","PPrel","activation"
"55","CALM3","PPP3R2","PPrel","activation"
"56","CALML3","PPP3CA","PPrel","activation"
"57","CALML3","PPP3CB","PPrel","activation"
"58","CALML3","PPP3CC","PPrel","activation"
"59","CALML3","PPP3R1","PPrel","activation"
"60","CALML3","PPP3R2","PPrel","activation"
"61","CALML4","PPP3CA","PPrel","activation"
"62","CALML4","PPP3CB","PPrel","activation"
"63","CALML4","PPP3CC","PPrel","activation"
"64","CALML4","PPP3R1","PPrel","activation"
"65","CALML4","PPP3R2","PPrel","activation"
"66","AQP1","PTGER2","PPrel","activation"
"67","AQP1","PTGER2","PPrel","indirect effect"
"68","AQP1","PTGER4","PPrel","activation"
"69","AQP1","PTGER4","PPrel","indirect effect"
"70","ADCYAP1R1","GNAS","PPrel","activation"
"71","ADCYAP1","ADCYAP1R1","PPrel","activation"
"72","NPPA","NPR1","PPrel","activation"
"73","EDN1","EDNRA","PPrel","activation"
"74","EDN2","EDNRA","PPrel","activation"
"75","EDN3","EDNRA","PPrel","activation"
