"","from","to","type","subtype"
"1","TPMT","HPRT1","ECrel","compound"
"2","TPMT","XDH","ECrel","compound"
"3","HPRT1","XDH","ECrel","compound"
"4","HPRT1","TPMT","ECrel","compound"
"5","HPRT1","ITPA","ECrel","compound"
"6","HPRT1","IMPDH1","ECrel","compound"
"7","HPRT1","IMPDH2","ECrel","compound"
"8","GMPS","TPMT","ECrel","compound"
"9","GMPS","HPRT1","ECrel","compound"
"10","ITPA","IMPDH1","ECrel","compound"
"11","ITPA","IMPDH2","ECrel","compound"
"12","ITPA","TPMT","ECrel","compound"
"13","NAT2","CES1","ECrel","compound"
"14","NAT2","CYP2E1","ECrel","compound"
"15","NAT1","CES1","ECrel","compound"
"16","NAT1","CYP2E1","ECrel","compound"
"17","UPP2","TYMP","ECrel","compound"
"18","UPP2","UCKL1","ECrel","compound"
"19","UPP2","UCK2","ECrel","compound"
"20","UPP2","UCK1","ECrel","compound"
"21","UPP1","TYMP","ECrel","compound"
"22","UPP1","UCKL1","ECrel","compound"
"23","UPP1","UCK2","ECrel","compound"
"24","UPP1","UCK1","ECrel","compound"
"25","TYMP","TK1","ECrel","compound"
"26","TYMP","TK2","ECrel","compound"
"27","TYMP","CYP2A6","ECrel","compound"
"28","TYMP","CYP2A7","ECrel","compound"
"29","TYMP","DPYD","ECrel","compound"
"30","TYMP","UMPS","ECrel","compound"
"31","TYMP","UPP2","ECrel","compound"
"32","TYMP","UPP1","ECrel","compound"
"33","DPYD","UMPS","ECrel","compound"
"34","DPYD","UPP2","ECrel","compound"
"35","DPYD","UPP1","ECrel","compound"
"36","DPYD","TYMP","ECrel","compound"
"37","DPYD","DPYS","ECrel","compound"
"38","DPYS","UPB1","ECrel","compound"
"39","UMPS","UPP2","ECrel","compound"
"40","UMPS","UPP1","ECrel","compound"
"41","UMPS","TYMP","ECrel","compound"
"42","UCKL1","UMPS","ECrel","compound"
"43","UCK2","UMPS","ECrel","compound"
"44","UCK1","UMPS","ECrel","compound"
"45","TK1","CMPK1","ECrel","compound"
"46","TK1","DUT","ECrel","compound"
"47","TK2","CMPK1","ECrel","compound"
"48","TK2","DUT","ECrel","compound"
"49","IMPDH1","TPMT","ECrel","compound"
"50","IMPDH1","GMPS","ECrel","compound"
"51","IMPDH2","TPMT","ECrel","compound"
"52","IMPDH2","GMPS","ECrel","compound"
"53","CDA","TYMP","ECrel","compound"
"54","CES1","CDA","ECrel","compound"
"55","CES1","UGT2B11","ECrel","compound"
"56","CES1","UGT2A1","ECrel","compound"
"57","CES1","UGT2B28","ECrel","compound"
"58","CES1","UGT1A10","ECrel","compound"
"59","CES1","UGT1A8","ECrel","compound"
"60","CES1","UGT1A7","ECrel","compound"
"61","CES1","UGT1A6","ECrel","compound"
"62","CES1","UGT1A5","ECrel","compound"
"63","CES1","UGT1A9","ECrel","compound"
"64","CES1","UGT1A4","ECrel","compound"
"65","CES1","UGT1A1","ECrel","compound"
"66","CES1","UGT1A3","ECrel","compound"
"67","CES1","UGT2A2","ECrel","compound"
"68","CES1","UGT2B4","ECrel","compound"
"69","CES1","UGT2B7","ECrel","compound"
"70","CES1","UGT2B10","ECrel","compound"
"71","CES1","UGT2B15","ECrel","compound"
"72","CES1","UGT2B17","ECrel","compound"
"73","CES1","UGT2A3","ECrel","compound"
"74","CES1","GUSB","ECrel","compound"
"75","CES1","MPO","ECrel","compound"
"76","CES1","NAT2","ECrel","compound"
"77","CES1","NAT1","ECrel","compound"
"78","CES1","CYP2E1","ECrel","compound"
"79","CES2","CDA","ECrel","compound"
"80","CES2","UGT2B11","ECrel","compound"
"81","CES2","UGT2A1","ECrel","compound"
"82","CES2","UGT2B28","ECrel","compound"
"83","CES2","UGT1A10","ECrel","compound"
"84","CES2","UGT1A8","ECrel","compound"
"85","CES2","UGT1A7","ECrel","compound"
"86","CES2","UGT1A6","ECrel","compound"
"87","CES2","UGT1A5","ECrel","compound"
"88","CES2","UGT1A9","ECrel","compound"
"89","CES2","UGT1A4","ECrel","compound"
"90","CES2","UGT1A1","ECrel","compound"
"91","CES2","UGT1A3","ECrel","compound"
"92","CES2","UGT2A2","ECrel","compound"
"93","CES2","UGT2B4","ECrel","compound"
"94","CES2","UGT2B7","ECrel","compound"
"95","CES2","UGT2B10","ECrel","compound"
"96","CES2","UGT2B15","ECrel","compound"
"97","CES2","UGT2B17","ECrel","compound"
"98","CES2","UGT2A3","ECrel","compound"
"99","CES2","GUSB","ECrel","compound"
"100","UGT2B11","GUSB","ECrel","compound"
"101","UGT2A1","GUSB","ECrel","compound"
"102","UGT2B28","GUSB","ECrel","compound"
"103","UGT1A10","GUSB","ECrel","compound"
"104","UGT1A8","GUSB","ECrel","compound"
"105","UGT1A7","GUSB","ECrel","compound"
"106","UGT1A6","GUSB","ECrel","compound"
"107","UGT1A5","GUSB","ECrel","compound"
"108","UGT1A9","GUSB","ECrel","compound"
"109","UGT1A4","GUSB","ECrel","compound"
"110","UGT1A1","GUSB","ECrel","compound"
"111","UGT1A3","GUSB","ECrel","compound"
"112","UGT2A2","GUSB","ECrel","compound"
"113","UGT2B4","GUSB","ECrel","compound"
"114","UGT2B7","GUSB","ECrel","compound"
"115","UGT2B10","GUSB","ECrel","compound"
"116","UGT2B15","GUSB","ECrel","compound"
"117","UGT2B17","GUSB","ECrel","compound"
"118","UGT2A3","GUSB","ECrel","compound"
"119","CYP3A4","CES1","ECrel","compound"
"120","CYP3A4","CES2","ECrel","compound"
"121","CMPK1","UCKL1","ECrel","compound"
"122","CMPK1","UCK2","ECrel","compound"
"123","CMPK1","UCK1","ECrel","compound"
"124","CMPK1","UMPS","ECrel","compound"
"125","CMPK1","NME6","ECrel","compound"
"126","CMPK1","NME7","ECrel","compound"
"127","CMPK1","NME1","ECrel","compound"
"128","CMPK1","NME2","ECrel","compound"
"129","CMPK1","NME3","ECrel","compound"
"130","CMPK1","NME4","ECrel","compound"
"131","CMPK1","NME1-NME2","ECrel","compound"
"132","CMPK1","RRM2B","ECrel","compound"
"133","CMPK1","RRM1","ECrel","compound"
"134","CMPK1","RRM2","ECrel","compound"
"135","CMPK1","DUT","ECrel","compound"
"136","NME6","RRM2B","ECrel","compound"
"137","NME6","RRM1","ECrel","compound"
"138","NME6","RRM2","ECrel","compound"
"139","NME6","DUT","ECrel","compound"
"140","NME7","RRM2B","ECrel","compound"
"141","NME7","RRM1","ECrel","compound"
"142","NME7","RRM2","ECrel","compound"
"143","NME7","DUT","ECrel","compound"
"144","NME1","RRM2B","ECrel","compound"
"145","NME1","RRM1","ECrel","compound"
"146","NME1","RRM2","ECrel","compound"
"147","NME1","DUT","ECrel","compound"
