"","from","to","type","subtype"
"1","CHDH","ALDH7A1","ECrel","compound"
"2","ALDH7A1","BHMT","ECrel","compound"
"3","BHMT","DMGDH","ECrel","compound"
"4","AGXT","GRHPR","ECrel","compound"
"5","AGXT","LOC102724560","ECrel","compound"
"6","AGXT","CBS","ECrel","compound"
"7","AGXT","AGXT","ECrel","compound"
"8","AGXT","SHMT1","ECrel","compound"
"9","AGXT","SHMT2","ECrel","compound"
"10","AGXT","SDS","ECrel","compound"
"11","AGXT","SDSL","ECrel","compound"
"12","AGXT","PSPH","ECrel","compound"
"13","AGXT","GATM","ECrel","compound"
"14","AGXT","SRR","ECrel","compound"
"15","AGXT","PIPOX","ECrel","compound"
"16","AGXT","SARDH","ECrel","compound"
"17","AGXT","GNMT","ECrel","compound"
"18","AGXT","GCAT","ECrel","compound"
"19","AGXT","ALAS1","ECrel","compound"
"20","AGXT","ALAS2","ECrel","compound"
"21","AGXT","GLDC","ECrel","compound"
"22","AGXT","DAO","ECrel","compound"
"23","GAMT","GATM","ECrel","compound"
"24","PHGDH","PSAT1","ECrel","compound"
"25","PHGDH","PGAM4","ECrel","compound"
"26","PHGDH","PGAM1","ECrel","compound"
"27","PHGDH","PGAM2","ECrel","compound"
"28","PHGDH","BPGM","ECrel","compound"
"29","LOC102724560","SHMT1","ECrel","compound"
"30","LOC102724560","SHMT2","ECrel","compound"
"31","LOC102724560","SDS","ECrel","compound"
"32","LOC102724560","SDSL","ECrel","compound"
"33","LOC102724560","PSPH","ECrel","compound"
"34","LOC102724560","CTH","ECrel","compound"
"35","LOC102724560","SRR","ECrel","compound"
"36","LOC102724560","AGXT","ECrel","compound"
"37","CBS","SHMT1","ECrel","compound"
"38","CBS","SHMT2","ECrel","compound"
"39","CBS","SDS","ECrel","compound"
"40","CBS","SDSL","ECrel","compound"
"41","CBS","PSPH","ECrel","compound"
"42","CBS","CTH","ECrel","compound"
"43","CBS","SRR","ECrel","compound"
"44","CBS","AGXT","ECrel","compound"
"45","GATM","PIPOX","ECrel","compound"
"46","GATM","SARDH","ECrel","compound"
"47","GATM","GNMT","ECrel","compound"
"48","GATM","GCAT","ECrel","compound"
"49","GATM","ALAS1","ECrel","compound"
"50","GATM","ALAS2","ECrel","compound"
"51","GATM","GLDC","ECrel","compound"
"52","GATM","DAO","ECrel","compound"
"53","PSAT1","PSPH","ECrel","compound"
"54","PIPOX","GCAT","ECrel","compound"
"55","PIPOX","ALAS1","ECrel","compound"
"56","PIPOX","ALAS2","ECrel","compound"
"57","PIPOX","GLDC","ECrel","compound"
"58","PIPOX","DAO","ECrel","compound"
"59","PIPOX","DMGDH","ECrel","compound"
"60","SARDH","GCAT","ECrel","compound"
"61","SARDH","ALAS1","ECrel","compound"
"62","SARDH","ALAS2","ECrel","compound"
"63","SARDH","GLDC","ECrel","compound"
"64","SARDH","DAO","ECrel","compound"
"65","SARDH","DMGDH","ECrel","compound"
"66","PSPH","SHMT1","ECrel","compound"
"67","PSPH","SHMT2","ECrel","compound"
"68","PSPH","SDS","ECrel","compound"
"69","PSPH","SDSL","ECrel","compound"
"70","PSPH","SRR","ECrel","compound"
"71","SHMT1","SDS","ECrel","compound"
"72","SHMT1","SDSL","ECrel","compound"
"73","SHMT1","AMT","ECrel","compound"
"74","SHMT1","SRR","ECrel","compound"
"75","SHMT1","GATM","ECrel","compound"
"76","SHMT1","PIPOX","ECrel","compound"
"77","SHMT1","SARDH","ECrel","compound"
"78","SHMT1","GNMT","ECrel","compound"
"79","SHMT1","GCAT","ECrel","compound"
"80","SHMT1","ALAS1","ECrel","compound"
"81","SHMT1","ALAS2","ECrel","compound"
"82","SHMT1","GLDC","ECrel","compound"
"83","SHMT1","DAO","ECrel","compound"
"84","SHMT1","AGXT","ECrel","compound"
"85","SHMT2","SDS","ECrel","compound"
"86","SHMT2","SDSL","ECrel","compound"
"87","SHMT2","AMT","ECrel","compound"
"88","SHMT2","SRR","ECrel","compound"
"89","SHMT2","GATM","ECrel","compound"
"90","SHMT2","PIPOX","ECrel","compound"
"91","SHMT2","SARDH","ECrel","compound"
"92","SHMT2","GNMT","ECrel","compound"
"93","SHMT2","GCAT","ECrel","compound"
"94","SHMT2","ALAS1","ECrel","compound"
"95","SHMT2","ALAS2","ECrel","compound"
"96","SHMT2","GLDC","ECrel","compound"
"97","SHMT2","DAO","ECrel","compound"
"98","SHMT2","AGXT","ECrel","compound"
"99","SDS","SRR","ECrel","compound"
"100","SDS","AGXT","ECrel","compound"
"101","SDSL","SRR","ECrel","compound"
"102","SDSL","AGXT","ECrel","compound"
"103","GCAT","ALAS1","ECrel","compound"
"104","GCAT","ALAS2","ECrel","compound"
"105","GCAT","GLDC","ECrel","compound"
"106","GCAT","DAO","ECrel","compound"
"107","GLDC","DLD","ECrel","compound"
"108","GLDC","DAO","ECrel","compound"
"109","GLDC","AMT","ECrel","compound"
"110","ALAS1","GLDC","ECrel","compound"
"111","ALAS1","DAO","ECrel","compound"
"112","ALAS2","GLDC","ECrel","compound"
"113","ALAS2","DAO","ECrel","compound"
"114","GRHPR","GLYCTK","ECrel","compound"
"115","AMT","DLD","ECrel","compound"
"116","GNMT","GCAT","ECrel","compound"
"117","GNMT","ALAS1","ECrel","compound"
"118","GNMT","ALAS2","ECrel","compound"
"119","GNMT","GLDC","ECrel","compound"
"120","GNMT","DAO","ECrel","compound"
"121","GNMT","DMGDH","ECrel","compound"
"122","AGXT2","SHMT1","ECrel","compound"
"123","AGXT2","SHMT2","ECrel","compound"
"124","AGXT2","AGXT","ECrel","compound"
"125","AGXT2","GATM","ECrel","compound"
"126","AGXT2","PIPOX","ECrel","compound"
"127","AGXT2","SARDH","ECrel","compound"
"128","AGXT2","GNMT","ECrel","compound"
"129","AGXT2","GCAT","ECrel","compound"
"130","AGXT2","ALAS1","ECrel","compound"
"131","AGXT2","ALAS2","ECrel","compound"
"132","AGXT2","GLDC","ECrel","compound"
"133","GLYCTK","PGAM4","ECrel","compound"
"134","GLYCTK","PGAM1","ECrel","compound"
"135","GLYCTK","PGAM2","ECrel","compound"
"136","GLYCTK","BPGM","ECrel","compound"
