"","from","to","type","subtype"
"1","DAG1","DAG1","PPrel","binding/association"
"2","LAMA1","DAG1","PPrel","binding/association"
"3","LAMA2","DAG1","PPrel","binding/association"
"4","DMD","DAG1","PPrel","binding/association"
"5","DSC2","DSC2","PPrel","missing interaction"
"6","DSC2","DSG2","PPrel","missing interaction"
"7","DSG2","DSG2","PPrel","missing interaction"
"8","DSG2","DSC2","PPrel","missing interaction"
"9","JUP","LEF1","PPrel","activation"
"10","JUP","TCF7","PPrel","activation"
"11","JUP","TCF7L2","PPrel","activation"
"12","JUP","TCF7L1","PPrel","activation"
"13","CDH2","CDH2","PPrel","binding/association"
"14","CTNNB1","LEF1","PPrel","activation"
"15","CTNNB1","TCF7","PPrel","activation"
"16","CTNNB1","TCF7L2","PPrel","activation"
"17","CTNNB1","TCF7L1","PPrel","activation"
"18","GJA1","GJA1","PPrel","binding/association"
"19","SSPN","SGCD","PPrel","binding/association"
"20","SSPN","SGCZ","PPrel","binding/association"
"21","SSPN","SGCG","PPrel","binding/association"
"22","SSPN","SGCB","PPrel","binding/association"
"23","SSPN","SGCA","PPrel","binding/association"
"24","SSPN","SGCE","PPrel","binding/association"
"25","NOS1","SNTA1","PPrel","binding/association"
"26","NOS1","SNTB1","PPrel","binding/association"
"27","NOS1","SNTB2","PPrel","binding/association"
"28","NOS1","DTNA","PPrel","binding/association"
"29","NOS1","DMD","PPrel","binding/association"
"30","CAV3","NOS1","PPrel","binding/association"
"31","SGCZ","DAG1","PPrel","binding/association"
"32","SGCG","DAG1","PPrel","binding/association"
"33","SGCD","DAG1","PPrel","binding/association"
"34","SGCB","DAG1","PPrel","binding/association"
"35","SGCA","DAG1","PPrel","binding/association"
"36","SGCE","DAG1","PPrel","binding/association"
