"","from","to","type","subtype"
"1","RPTOR","MTOR","PPrel","binding/association"
"2","RPTOR","ULK2","PPrel","inhibition"
"3","RPTOR","ULK2","PPrel","phosphorylation"
"4","RPTOR","ATG13","PPrel","inhibition"
"5","RPTOR","ATG13","PPrel","phosphorylation"
"6","RPTOR","ATG101","PPrel","inhibition"
"7","RPTOR","ATG101","PPrel","phosphorylation"
"8","RPTOR","IGBP1","PPrel","activation"
"9","MTOR","MLST8","PPrel","binding/association"
"10","MTOR","ULK2","PPrel","inhibition"
"11","MTOR","ULK2","PPrel","phosphorylation"
"12","MTOR","ATG13","PPrel","inhibition"
"13","MTOR","ATG13","PPrel","phosphorylation"
"14","MTOR","ATG101","PPrel","inhibition"
"15","MTOR","ATG101","PPrel","phosphorylation"
"16","MTOR","IGBP1","PPrel","activation"
"17","MLST8","ULK2","PPrel","inhibition"
"18","MLST8","ULK2","PPrel","phosphorylation"
"19","MLST8","ATG13","PPrel","inhibition"
"20","MLST8","ATG13","PPrel","phosphorylation"
"21","MLST8","ATG101","PPrel","inhibition"
"22","MLST8","ATG101","PPrel","phosphorylation"
"23","MLST8","IGBP1","PPrel","activation"
"24","ULK2","ATG13","PPrel","activation"
"25","ATG13","ATG101","PPrel","binding/association"
"26","IGBP1","PPP2CA","PPrel","activation"
"27","IGBP1","PPP2CB","PPrel","activation"
"28","PPP2CA","ULK2","PPrel","inhibition"
"29","PPP2CA","ULK2","PPrel","dephosphorylation"
"30","PPP2CA","ATG13","PPrel","inhibition"
"31","PPP2CA","ATG13","PPrel","dephosphorylation"
"32","PPP2CA","ATG101","PPrel","inhibition"
"33","PPP2CA","ATG101","PPrel","dephosphorylation"
"34","PPP2CB","ULK2","PPrel","inhibition"
"35","PPP2CB","ULK2","PPrel","dephosphorylation"
"36","PPP2CB","ATG13","PPrel","inhibition"
"37","PPP2CB","ATG13","PPrel","dephosphorylation"
"38","PPP2CB","ATG101","PPrel","inhibition"
"39","PPP2CB","ATG101","PPrel","dephosphorylation"
"40","ATG3","GABARAP","PPrel","activation"
"41","ATG3","GABARAPL2","PPrel","activation"
"42","ATG3","GABARAPL1","PPrel","activation"
"43","ATG4A","GABARAP","PPrel","activation"
"44","ATG4A","GABARAPL2","PPrel","activation"
"45","ATG4A","GABARAPL1","PPrel","activation"
"46","ATG4B","GABARAP","PPrel","activation"
"47","ATG4B","GABARAPL2","PPrel","activation"
"48","ATG4B","GABARAPL1","PPrel","activation"
"49","ATG4C","GABARAP","PPrel","activation"
"50","ATG4C","GABARAPL2","PPrel","activation"
"51","ATG4C","GABARAPL1","PPrel","activation"
"52","ATG4D","GABARAP","PPrel","activation"
"53","ATG4D","GABARAPL2","PPrel","activation"
"54","ATG4D","GABARAPL1","PPrel","activation"
"55","ATG16L1","ATG12","PPrel","binding/association"
"56","ATG16L1","ATG5","PPrel","binding/association"
"57","ATG16L1","GABARAP","PPrel","activation"
"58","ATG16L1","GABARAP","PPrel","indirect effect"
"59","ATG16L1","GABARAPL2","PPrel","activation"
"60","ATG16L1","GABARAPL2","PPrel","indirect effect"
"61","ATG16L1","GABARAPL1","PPrel","activation"
"62","ATG16L1","GABARAPL1","PPrel","indirect effect"
"63","ATG16L1","ATG3","PPrel","activation"
"64","ATG12","GABARAP","PPrel","activation"
"65","ATG12","GABARAP","PPrel","indirect effect"
"66","ATG12","GABARAPL2","PPrel","activation"
"67","ATG12","GABARAPL2","PPrel","indirect effect"
"68","ATG12","GABARAPL1","PPrel","activation"
"69","ATG12","GABARAPL1","PPrel","indirect effect"
"70","ATG12","ATG3","PPrel","activation"
"71","ATG10","ATG12","PPrel","activation"
"72","ATG7","ATG12","PPrel","activation"
"73","ATG7","GABARAP","PPrel","activation"
"74","ATG7","GABARAPL2","PPrel","activation"
"75","ATG7","GABARAPL1","PPrel","activation"
"76","ATG5","ATG12","PPrel","binding/association"
"77","ATG5","GABARAP","PPrel","activation"
"78","ATG5","GABARAP","PPrel","indirect effect"
"79","ATG5","GABARAPL2","PPrel","activation"
"80","ATG5","GABARAPL2","PPrel","indirect effect"
"81","ATG5","GABARAPL1","PPrel","activation"
"82","ATG5","GABARAPL1","PPrel","indirect effect"
"83","ATG5","ATG3","PPrel","activation"
