"","from","to","type","subtype"
"1","DCC","CASP9","PPrel","missing interaction"
"2","DCC","APPL1","PPrel","missing interaction"
"3","CASP3","DCC","PPrel","activation"
"4","P3R3URF-PIK3R3","AKT3","PPrel","activation"
"5","P3R3URF-PIK3R3","AKT1","PPrel","activation"
"6","P3R3URF-PIK3R3","AKT2","PPrel","activation"
"7","PIK3CA","AKT3","PPrel","activation"
"8","PIK3CA","AKT1","PPrel","activation"
"9","PIK3CA","AKT2","PPrel","activation"
"10","PIK3CB","AKT3","PPrel","activation"
"11","PIK3CB","AKT1","PPrel","activation"
"12","PIK3CB","AKT2","PPrel","activation"
"13","PIK3CD","AKT3","PPrel","activation"
"14","PIK3CD","AKT1","PPrel","activation"
"15","PIK3CD","AKT2","PPrel","activation"
"16","PIK3R1","AKT3","PPrel","activation"
"17","PIK3R1","AKT1","PPrel","activation"
"18","PIK3R1","AKT2","PPrel","activation"
"19","PIK3R2","AKT3","PPrel","activation"
"20","PIK3R2","AKT1","PPrel","activation"
"21","PIK3R2","AKT2","PPrel","activation"
"22","PIK3R3","AKT3","PPrel","activation"
"23","PIK3R3","AKT1","PPrel","activation"
"24","PIK3R3","AKT2","PPrel","activation"
"25","CASP9","CASP3","PPrel","missing interaction"
"26","APPL1","CASP3","PPrel","missing interaction"
"27","SMAD2","SMAD4","PPrel","binding/association"
"28","SMAD3","SMAD4","PPrel","binding/association"
"29","TGFBR1","SMAD2","PPrel","missing interaction"
"30","TGFBR1","SMAD3","PPrel","missing interaction"
"31","KRAS","P3R3URF-PIK3R3","PPrel","activation"
"32","KRAS","PIK3CA","PPrel","activation"
"33","KRAS","PIK3CB","PPrel","activation"
"34","KRAS","PIK3CD","PPrel","activation"
"35","KRAS","PIK3R1","PPrel","activation"
"36","KRAS","PIK3R2","PPrel","activation"
"37","KRAS","PIK3R3","PPrel","activation"
"38","KRAS","ARAF","PPrel","activation"
"39","KRAS","RAF1","PPrel","activation"
"40","KRAS","BRAF","PPrel","activation"
"41","KRAS","RALGDS","PPrel","activation"
"42","ARAF","MAP2K1","PPrel","phosphorylation"
"43","ARAF","MAP2K2","PPrel","phosphorylation"
"44","RAF1","MAP2K1","PPrel","phosphorylation"
"45","RAF1","MAP2K2","PPrel","phosphorylation"
"46","BRAF","MAP2K1","PPrel","phosphorylation"
"47","BRAF","MAP2K2","PPrel","phosphorylation"
"48","RALGDS","RALA","PPrel","activation"
"49","RALGDS","RALB","PPrel","activation"
"50","RHOA","MAPK8","PPrel","activation"
"51","RHOA","MAPK9","PPrel","activation"
"52","RHOA","MAPK10","PPrel","activation"
"53","RAC1","MAPK8","PPrel","activation"
"54","RAC1","MAPK9","PPrel","activation"
"55","RAC1","MAPK10","PPrel","activation"
"56","RAC2","MAPK8","PPrel","activation"
"57","RAC2","MAPK9","PPrel","activation"
"58","RAC2","MAPK10","PPrel","activation"
"59","RAC3","MAPK8","PPrel","activation"
"60","RAC3","MAPK9","PPrel","activation"
"61","RAC3","MAPK10","PPrel","activation"
"62","MYC","CCND1","GErel","expression"
"63","MAP2K1","MAPK1","PPrel","phosphorylation"
"64","MAP2K1","MAPK3","PPrel","phosphorylation"
"65","MAP2K2","MAPK1","PPrel","phosphorylation"
"66","MAP2K2","MAPK3","PPrel","phosphorylation"
"67","MAPK1","JUN","PPrel","phosphorylation"
"68","MAPK1","FOS","PPrel","phosphorylation"
"69","MAPK1","MYC","PPrel","phosphorylation"
"70","MAPK3","JUN","PPrel","phosphorylation"
"71","MAPK3","FOS","PPrel","phosphorylation"
"72","MAPK3","MYC","PPrel","phosphorylation"
"73","JUN","CCND1","GErel","expression"
"74","FOS","CCND1","GErel","expression"
