"","from","to","type","subtype"
"1","ITGA11","ACTB","PPrel","binding/association"
"2","ITGA11","ACTG1","PPrel","binding/association"
"3","ITGA6","ACTB","PPrel","binding/association"
"4","ITGA6","ACTG1","PPrel","binding/association"
"5","ITGA1","ACTB","PPrel","binding/association"
"6","ITGA1","ACTG1","PPrel","binding/association"
"7","ITGA2","ACTB","PPrel","binding/association"
"8","ITGA2","ACTG1","PPrel","binding/association"
"9","ITGA2B","ACTB","PPrel","binding/association"
"10","ITGA2B","ACTG1","PPrel","binding/association"
"11","ITGA3","ACTB","PPrel","binding/association"
"12","ITGA3","ACTG1","PPrel","binding/association"
"13","ITGA4","ACTB","PPrel","binding/association"
"14","ITGA4","ACTG1","PPrel","binding/association"
"15","ITGA5","ACTB","PPrel","binding/association"
"16","ITGA5","ACTG1","PPrel","binding/association"
"17","ITGA7","ACTB","PPrel","binding/association"
"18","ITGA7","ACTG1","PPrel","binding/association"
"19","ITGA9","ACTB","PPrel","binding/association"
"20","ITGA9","ACTG1","PPrel","binding/association"
"21","ITGAV","ACTB","PPrel","binding/association"
"22","ITGAV","ACTG1","PPrel","binding/association"
"23","ITGA10","ACTB","PPrel","binding/association"
"24","ITGA10","ACTG1","PPrel","binding/association"
"25","ITGA8","ACTB","PPrel","binding/association"
"26","ITGA8","ACTG1","PPrel","binding/association"
"27","ITGB1","ACTB","PPrel","binding/association"
"28","ITGB1","ACTG1","PPrel","binding/association"
"29","ITGB3","ACTB","PPrel","binding/association"
"30","ITGB3","ACTG1","PPrel","binding/association"
"31","ITGB4","ACTB","PPrel","binding/association"
"32","ITGB4","ACTG1","PPrel","binding/association"
"33","ITGB5","ACTB","PPrel","binding/association"
"34","ITGB5","ACTG1","PPrel","binding/association"
"35","ITGB6","ACTB","PPrel","binding/association"
"36","ITGB6","ACTG1","PPrel","binding/association"
"37","ITGB7","ACTB","PPrel","binding/association"
"38","ITGB7","ACTG1","PPrel","binding/association"
"39","ITGB8","ACTB","PPrel","binding/association"
"40","ITGB8","ACTG1","PPrel","binding/association"
"41","DAG1","DAG1","PPrel","binding/association"
"42","DAG1","DMD","PPrel","binding/association"
"43","DAG1","SGCD","PPrel","binding/association"
"44","DAG1","SGCZ","PPrel","binding/association"
"45","DAG1","SGCG","PPrel","binding/association"
"46","DAG1","SGCB","PPrel","binding/association"
"47","DAG1","SGCA","PPrel","binding/association"
"48","DAG1","SGCE","PPrel","binding/association"
"49","LAMA1","DAG1","PPrel","binding/association"
"50","LAMA2","DAG1","PPrel","binding/association"
"51","TNNI3","ACTC1","PPrel","binding/association"
"52","TNNC1","TNNI3","PPrel","binding/association"
"53","TNNC1","TNNT2","PPrel","binding/association"
"54","TNNT2","TNNI3","PPrel","binding/association"
"55","TNNT2","TPM1","PPrel","binding/association"
"56","TNNT2","TPM2","PPrel","binding/association"
"57","TNNT2","TPM3","PPrel","binding/association"
"58","TNNT2","TPM4","PPrel","binding/association"
"59","DMD","ACTB","PPrel","binding/association"
"60","DMD","ACTG1","PPrel","binding/association"
"61","ACTC1","TPM1","PPrel","binding/association"
"62","ACTC1","TPM2","PPrel","binding/association"
"63","ACTC1","TPM3","PPrel","binding/association"
"64","ACTC1","TPM4","PPrel","binding/association"
"65","ACTC1","MYH6","PPrel","binding/association"
"66","ACTC1","MYH7","PPrel","binding/association"
"67","MYBPC3","MYH6","PPrel","binding/association"
"68","MYBPC3","MYH7","PPrel","binding/association"
"69","ADRB1","GNAS","PPrel","activation"
"70","LOC102723407","ADRB1","PPrel","activation"
"71","GNAS","ADCY1","PPrel","activation"
"72","GNAS","ADCY2","PPrel","activation"
"73","GNAS","ADCY3","PPrel","activation"
"74","GNAS","ADCY5","PPrel","activation"
"75","GNAS","ADCY6","PPrel","activation"
"76","GNAS","ADCY7","PPrel","activation"
"77","GNAS","ADCY8","PPrel","activation"
"78","GNAS","ADCY9","PPrel","activation"
"79","GNAS","ADCY4","PPrel","activation"
"80","PRKACA","CACNG3","PPrel","activation"
"81","PRKACA","CACNG3","PPrel","phosphorylation"
"82","PRKACA","CACNG2","PPrel","activation"
"83","PRKACA","CACNG2","PPrel","phosphorylation"
"84","PRKACA","CACNG5","PPrel","activation"
