"","from","to","type","subtype"
"1","RFK","FLAD1","ECrel","compound"
"2","RFK","ENPP1","ECrel","compound"
"3","RFK","ENPP3","ECrel","compound"
"4","BLVRB","RFK","ECrel","compound"
"5","ACP1","BLVRB","ECrel","compound"
"6","ACP1","FLAD1","ECrel","compound"
"7","ACP1","ENPP1","ECrel","compound"
"8","ACP1","ENPP3","ECrel","compound"
"9","ACP2","BLVRB","ECrel","compound"
"10","ACP2","FLAD1","ECrel","compound"
"11","ACP2","ENPP1","ECrel","compound"
"12","ACP2","ENPP3","ECrel","compound"
"13","ACP5","BLVRB","ECrel","compound"
"14","ACP5","FLAD1","ECrel","compound"
"15","ACP5","ENPP1","ECrel","compound"
"16","ACP5","ENPP3","ECrel","compound"
