"","from","to","type","subtype"
"1","COQ2","COQ6","ECrel","compound"
"2","HPD","TAT","ECrel","compound"
"3","COQ5","COQ6","ECrel","compound"
"4","GGCX","VKORC1L1","ECrel","compound"
"5","GGCX","VKORC1","ECrel","compound"
"6","VKORC1L1","GGCX","ECrel","compound"
"7","VKORC1","GGCX","ECrel","compound"
"8","NQO1","GGCX","ECrel","compound"
"9","NQO1","VKORC1L1","ECrel","compound"
"10","NQO1","VKORC1","ECrel","compound"
"11","COQ6","COQ3","ECrel","compound"
"12","COQ4","COQ3","ECrel","compound"
"13","COQ4","COQ6","ECrel","compound"
"14","COQ7","COQ3","ECrel","compound"
