"","from","to","type","subtype"
"1","FTCD","SHMT1","ECrel","compound"
"2","FTCD","SHMT2","ECrel","compound"
"3","FTCD","AMT","ECrel","compound"
"4","FTCD","ALDH1L1","ECrel","compound"
"5","FTCD","ALDH1L2","ECrel","compound"
"6","FTCD","GART","ECrel","compound"
"7","FTCD","MTR","ECrel","compound"
"8","GART","FTCD","ECrel","compound"
"9","GART","SHMT1","ECrel","compound"
"10","GART","SHMT2","ECrel","compound"
"11","GART","AMT","ECrel","compound"
"12","GART","MTR","ECrel","compound"
"13","GART","ALDH1L1","ECrel","compound"
"14","GART","ALDH1L2","ECrel","compound"
"15","MTHFD2","SHMT1","ECrel","compound"
"16","MTHFD2","SHMT2","ECrel","compound"
"17","MTHFD2","AMT","ECrel","compound"
"18","MTHFD2","MTHFD1L","ECrel","compound"
"19","MTHFD2","MTHFD1","ECrel","compound"
"20","MTHFD2","GART","ECrel","compound"
"21","MTHFD2","ATIC","ECrel","compound"
"22","MTHFD2","ALDH1L1","ECrel","compound"
"23","MTHFD2","ALDH1L2","ECrel","compound"
"24","MTHFD2","ST20-MTHFS","ECrel","compound"
"25","MTHFD2","MTHFS","ECrel","compound"
"26","MTHFD2","MTHFD2","ECrel","compound"
"27","MTHFD2","MTHFD2L","ECrel","compound"
"28","MTHFD2","FTCD","ECrel","compound"
"29","MTHFD2","MTHFR","ECrel","compound"
"30","MTHFD2","LOC124908081","ECrel","compound"
"31","MTHFD2","DLD","ECrel","compound"
"32","MTHFD2","GCSH","ECrel","compound"
"33","MTHFD2","GLDC","ECrel","compound"
"34","MTHFD2","TYMS","ECrel","compound"
"35","MTHFD2L","SHMT1","ECrel","compound"
"36","MTHFD2L","SHMT2","ECrel","compound"
"37","MTHFD2L","AMT","ECrel","compound"
"38","MTHFD2L","MTHFD1L","ECrel","compound"
"39","MTHFD2L","MTHFD1","ECrel","compound"
"40","MTHFD2L","GART","ECrel","compound"
"41","MTHFD2L","ATIC","ECrel","compound"
"42","MTHFD2L","ALDH1L1","ECrel","compound"
"43","MTHFD2L","ALDH1L2","ECrel","compound"
"44","MTHFD2L","ST20-MTHFS","ECrel","compound"
"45","MTHFD2L","MTHFS","ECrel","compound"
"46","MTHFD2L","MTHFD2","ECrel","compound"
"47","MTHFD2L","MTHFD2L","ECrel","compound"
"48","MTHFD2L","FTCD","ECrel","compound"
"49","MTHFD2L","MTHFR","ECrel","compound"
"50","MTHFD2L","LOC124908081","ECrel","compound"
"51","MTHFD2L","DLD","ECrel","compound"
"52","MTHFD2L","GCSH","ECrel","compound"
"53","MTHFD2L","GLDC","ECrel","compound"
"54","MTHFD2L","TYMS","ECrel","compound"
"55","DHFR","MTHFD1L","ECrel","compound"
"56","DHFR","MTHFD1","ECrel","compound"
"57","DHFR","GART","ECrel","compound"
"58","DHFR","ATIC","ECrel","compound"
"59","DHFR","FTCD","ECrel","compound"
"60","DHFR","SHMT1","ECrel","compound"
"61","DHFR","SHMT2","ECrel","compound"
"62","DHFR","AMT","ECrel","compound"
"63","DHFR","ALDH1L1","ECrel","compound"
"64","DHFR","ALDH1L2","ECrel","compound"
"65","DHFR","MTR","ECrel","compound"
"66","DHFR","TYMS","ECrel","compound"
"67","DHFR2","MTHFD1L","ECrel","compound"
"68","DHFR2","MTHFD1","ECrel","compound"
"69","DHFR2","GART","ECrel","compound"
"70","DHFR2","ATIC","ECrel","compound"
"71","DHFR2","FTCD","ECrel","compound"
"72","DHFR2","SHMT1","ECrel","compound"
"73","DHFR2","SHMT2","ECrel","compound"
"74","DHFR2","AMT","ECrel","compound"
"75","DHFR2","ALDH1L1","ECrel","compound"
"76","DHFR2","ALDH1L2","ECrel","compound"
"77","DHFR2","MTR","ECrel","compound"
"78","DHFR2","TYMS","ECrel","compound"
"79","MTHFD1","FTCD","ECrel","compound"
"80","MTHFD1","SHMT1","ECrel","compound"
"81","MTHFD1","SHMT2","ECrel","compound"
"82","MTHFD1","AMT","ECrel","compound"
"83","MTHFD1","GART","ECrel","compound"
"84","MTHFD1","MTR","ECrel","compound"
"85","MTHFD1","MTHFD1L","ECrel","compound"
"86","MTHFD1","MTHFD1","ECrel","compound"
"87","MTHFD1","ATIC","ECrel","compound"
"88","MTHFD1","ALDH1L1","ECrel","compound"
"89","MTHFD1","ALDH1L2","ECrel","compound"
"90","MTHFD1","ST20-MTHFS","ECrel","compound"
"91","MTHFD1","MTHFS","ECrel","compound"
"92","MTHFD1","MTHFD2","ECrel","compound"
"93","MTHFD1","MTHFD2L","ECrel","compound"
"94","MTHFD1","MTHFR","ECrel","compound"
"95","MTHFD1","DMGDH","ECrel","compound"
"96","MTHFD1","SARDH","ECrel","compound"
"97","ST20-MTHFS","FTCD","ECrel","compound"
"98","ST20-MTHFS","MTHFD1","ECrel","compound"
"99","ST20-MTHFS","MTHFD2","ECrel","compound"
"100","ST20-MTHFS","MTHFD2L","ECrel","compound"
"101","ST20-MTHFS","GART","ECrel","compound"
"102","MTHFS","FTCD","ECrel","compound"
"103","MTHFS","MTHFD1","ECrel","compound"
"104","MTHFS","MTHFD2","ECrel","compound"
"105","MTHFS","MTHFD2L","ECrel","compound"
"106","MTHFS","GART","ECrel","compound"
"107","AMT","MTHFD1","ECrel","compound"
"108","AMT","FTCD","ECrel","compound"
"109","AMT","ALDH1L1","ECrel","compound"
"110","AMT","ALDH1L2","ECrel","compound"
"111","AMT","GART","ECrel","compound"
"112","AMT","MTR","ECrel","compound"
"113","AMT","MTHFD2","ECrel","compound"
"114","AMT","MTHFD2L","ECrel","compound"
"115","AMT","MTHFR","ECrel","compound"
"116","AMT","SHMT1","ECrel","compound"
"117","AMT","SHMT2","ECrel","compound"
"118","AMT","SARDH","ECrel","compound"
"119","AMT","DMGDH","ECrel","compound"
"120","ALDH1L1","GART","ECrel","compound"
"121","ALDH1L1","FTCD","ECrel","compound"
"122","ALDH1L1","MTR","ECrel","compound"
"123","ALDH1L2","GART","ECrel","compound"
"124","ALDH1L2","FTCD","ECrel","compound"
"125","ALDH1L2","MTR","ECrel","compound"
"126","MTHFD1L","FTCD","ECrel","compound"
"127","MTHFD1L","SHMT1","ECrel","compound"
"128","MTHFD1L","SHMT2","ECrel","compound"
"129","MTHFD1L","AMT","ECrel","compound"
"130","MTHFD1L","GART","ECrel","compound"
"131","MTHFD1L","MTR","ECrel","compound"
"132","MTHFD1L","MTHFD2","ECrel","compound"
"133","MTHFD1L","MTHFD2L","ECrel","compound"
"134","MTHFD1L","MTHFD1","ECrel","compound"
"135","MTHFD1L","ALDH1L1","ECrel","compound"
"136","MTHFD1L","ALDH1L2","ECrel","compound"
"137","ATIC","FTCD","ECrel","compound"
"138","ATIC","SHMT1","ECrel","compound"
"139","ATIC","SHMT2","ECrel","compound"
"140","ATIC","AMT","ECrel","compound"
"141","ATIC","GART","ECrel","compound"
"142","ATIC","MTR","ECrel","compound"
"143","ATIC","MTHFD1L","ECrel","compound"
"144","ATIC","MTHFD1","ECrel","compound"
"145","ATIC","ALDH1L1","ECrel","compound"
"146","ATIC","ALDH1L2","ECrel","compound"
"147","MTR","MTHFR","ECrel","compound"
"148","MTR","SHMT1","ECrel","compound"
"149","MTR","SHMT2","ECrel","compound"
"150","MTR","BHMT2","ECrel","compound"
"151","MTR","BHMT","ECrel","compound"
"152","MTR","MAT2B","ECrel","compound"
"153","MTR","MAT1A","ECrel","compound"
"154","MTR","MAT2A","ECrel","compound"
"155","SHMT1","MTHFD1","ECrel","compound"
"156","SHMT1","ALDH1L1","ECrel","compound"
"157","SHMT1","ALDH1L2","ECrel","compound"
"158","SHMT1","GART","ECrel","compound"
"159","SHMT1","FTCD","ECrel","compound"
"160","SHMT1","MTR","ECrel","compound"
"161","SHMT1","MTHFR","ECrel","compound"
"162","SHMT1","DHFR","ECrel","compound"
"163","SHMT1","DHFR2","ECrel","compound"
"164","SHMT1","MTHFD1L","ECrel","compound"
"165","SHMT1","SARDH","ECrel","compound"
"166","SHMT1","DMGDH","ECrel","compound"
"167","SHMT2","MTHFD1","ECrel","compound"
"168","SHMT2","ALDH1L1","ECrel","compound"
"169","SHMT2","ALDH1L2","ECrel","compound"
"170","SHMT2","GART","ECrel","compound"
"171","SHMT2","FTCD","ECrel","compound"
"172","SHMT2","MTR","ECrel","compound"
"173","SHMT2","MTHFR","ECrel","compound"
"174","SHMT2","DHFR","ECrel","compound"
"175","SHMT2","DHFR2","ECrel","compound"
"176","SHMT2","MTHFD1L","ECrel","compound"
"177","SHMT2","SARDH","ECrel","compound"
"178","SHMT2","DMGDH","ECrel","compound"
"179","MTHFR","MTR","ECrel","compound"
"180","TYMS","DHFR","ECrel","compound"
"181","TYMS","DHFR2","ECrel","compound"
"182","TYMS","MTHFD2","ECrel","compound"
"183","TYMS","MTHFD2L","ECrel","compound"
"184","TYMS","MTHFD1","ECrel","compound"
"185","TYMS","SHMT1","ECrel","compound"
"186","TYMS","SHMT2","ECrel","compound"
"187","TYMS","AMT","ECrel","compound"
"188","TYMS","MTHFR","ECrel","compound"
"189","TYMS","LOC124908081","ECrel","compound"
"190","TYMS","DLD","ECrel","compound"
"191","TYMS","GCSH","ECrel","compound"
"192","TYMS","GLDC","ECrel","compound"
"193","LOC124908081","MTHFD1","ECrel","compound"
