"","from","to","type","subtype"
"1","MTOR","EIF4EBP1","PPrel","inhibition"
"2","MTOR","EIF4EBP1","PPrel","phosphorylation"
"3","MTOR","RPS6KB1","PPrel","activation"
"4","MTOR","RPS6KB1","PPrel","phosphorylation"
"5","MTOR","RPS6KB2","PPrel","activation"
"6","MTOR","RPS6KB2","PPrel","phosphorylation"
"7","RHEB","MTOR","PPrel","activation"
"8","TSC2","RHEB","PPrel","inhibition"
"9","TSC1","RHEB","PPrel","inhibition"
"10","AKT3","CHUK","PPrel","activation"
"11","AKT3","CHUK","PPrel","phosphorylation"
"12","AKT3","IKBKB","PPrel","activation"
"13","AKT3","IKBKB","PPrel","phosphorylation"
"14","AKT3","IKBKG","PPrel","activation"
"15","AKT3","IKBKG","PPrel","phosphorylation"
"16","AKT3","GSK3B","PPrel","inhibition"
"17","AKT3","TSC2","PPrel","inhibition"
"18","AKT3","TSC1","PPrel","inhibition"
"19","AKT1","CHUK","PPrel","activation"
"20","AKT1","CHUK","PPrel","phosphorylation"
"21","AKT1","IKBKB","PPrel","activation"
"22","AKT1","IKBKB","PPrel","phosphorylation"
"23","AKT1","IKBKG","PPrel","activation"
"24","AKT1","IKBKG","PPrel","phosphorylation"
"25","AKT1","GSK3B","PPrel","inhibition"
"26","AKT1","TSC2","PPrel","inhibition"
"27","AKT1","TSC1","PPrel","inhibition"
"28","AKT2","CHUK","PPrel","activation"
"29","AKT2","CHUK","PPrel","phosphorylation"
"30","AKT2","IKBKB","PPrel","activation"
"31","AKT2","IKBKB","PPrel","phosphorylation"
"32","AKT2","IKBKG","PPrel","activation"
"33","AKT2","IKBKG","PPrel","phosphorylation"
"34","AKT2","GSK3B","PPrel","inhibition"
"35","AKT2","TSC2","PPrel","inhibition"
"36","AKT2","TSC1","PPrel","inhibition"
"37","P3R3URF-PIK3R3","AKT3","PPrel","activation"
"38","P3R3URF-PIK3R3","AKT3","PPrel","indirect effect"
"39","P3R3URF-PIK3R3","AKT1","PPrel","activation"
"40","P3R3URF-PIK3R3","AKT1","PPrel","indirect effect"
"41","P3R3URF-PIK3R3","AKT2","PPrel","activation"
"42","P3R3URF-PIK3R3","AKT2","PPrel","indirect effect"
"43","PIK3CA","AKT3","PPrel","activation"
"44","PIK3CA","AKT3","PPrel","indirect effect"
"45","PIK3CA","AKT1","PPrel","activation"
"46","PIK3CA","AKT1","PPrel","indirect effect"
"47","PIK3CA","AKT2","PPrel","activation"
"48","PIK3CA","AKT2","PPrel","indirect effect"
"49","PIK3CB","AKT3","PPrel","activation"
"50","PIK3CB","AKT3","PPrel","indirect effect"
"51","PIK3CB","AKT1","PPrel","activation"
"52","PIK3CB","AKT1","PPrel","indirect effect"
"53","PIK3CB","AKT2","PPrel","activation"
"54","PIK3CB","AKT2","PPrel","indirect effect"
"55","PIK3CD","AKT3","PPrel","activation"
"56","PIK3CD","AKT3","PPrel","indirect effect"
"57","PIK3CD","AKT1","PPrel","activation"
"58","PIK3CD","AKT1","PPrel","indirect effect"
"59","PIK3CD","AKT2","PPrel","activation"
"60","PIK3CD","AKT2","PPrel","indirect effect"
"61","PIK3R1","AKT3","PPrel","activation"
"62","PIK3R1","AKT3","PPrel","indirect effect"
"63","PIK3R1","AKT1","PPrel","activation"
"64","PIK3R1","AKT1","PPrel","indirect effect"
"65","PIK3R1","AKT2","PPrel","activation"
"66","PIK3R1","AKT2","PPrel","indirect effect"
"67","PIK3R2","AKT3","PPrel","activation"
"68","PIK3R2","AKT3","PPrel","indirect effect"
"69","PIK3R2","AKT1","PPrel","activation"
"70","PIK3R2","AKT1","PPrel","indirect effect"
"71","PIK3R2","AKT2","PPrel","activation"
"72","PIK3R2","AKT2","PPrel","indirect effect"
"73","PIK3R3","AKT3","PPrel","activation"
"74","PIK3R3","AKT3","PPrel","indirect effect"
"75","PIK3R3","AKT1","PPrel","activation"
"76","PIK3R3","AKT1","PPrel","indirect effect"
"77","PIK3R3","AKT2","PPrel","activation"
"78","PIK3R3","AKT2","PPrel","indirect effect"
"79","EGFR","GRB2","PPrel","activation"
"80","EGFR","P3R3URF-PIK3R3","PPrel","activation"
"81","EGFR","P3R3URF-PIK3R3","PPrel","indirect effect"
"82","EGFR","PIK3CA","PPrel","activation"
"83","EGFR","PIK3CA","PPrel","indirect effect"
"84","EGFR","PIK3CB","PPrel","activation"
"85","EGFR","PIK3CB","PPrel","indirect effect"
"86","EGFR","PIK3CD","PPrel","activation"
"87","EGFR","PIK3CD","PPrel","indirect effect"
"88","EGFR","PIK3R1","PPrel","activation"
"89","EGFR","PIK3R1","PPrel","indirect effect"
"90","EGFR","PIK3R2","PPrel","activation"
"91","EGFR","PIK3R2","PPrel","indirect effect"
"92","EGFR","PIK3R3","PPrel","activation"
"93","EGFR","PIK3R3","PPrel","indirect effect"
"94","FASLG","FAS","PPrel","activation"
"95","CHUK","NFKBIA","PPrel","activation"
"96","CHUK","NFKBIA","PPrel","phosphorylation"
"97","CHUK","NFKB1","PPrel","activation"
"98","CHUK","NFKB1","PPrel","indirect effect"
"99","CHUK","RELA","PPrel","activation"
"100","CHUK","RELA","PPrel","indirect effect"
"101","IKBKB","NFKBIA","PPrel","activation"
"102","IKBKB","NFKBIA","PPrel","phosphorylation"
"103","IKBKB","NFKB1","PPrel","activation"
"104","IKBKB","NFKB1","PPrel","indirect effect"
"105","IKBKB","RELA","PPrel","activation"
"106","IKBKB","RELA","PPrel","indirect effect"
"107","IKBKG","NFKBIA","PPrel","activation"
"108","IKBKG","NFKBIA","PPrel","phosphorylation"
"109","IKBKG","NFKB1","PPrel","activation"
"110","IKBKG","NFKB1","PPrel","indirect effect"
"111","IKBKG","RELA","PPrel","activation"
"112","IKBKG","RELA","PPrel","indirect effect"
"113","NFKB1","CCL2","GErel","expression"
"114","NFKB1","CCL5","GErel","expression"
"115","NFKB1","CXCL8","GErel","expression"
"116","NFKB1","IL6","GErel","expression"
"117","RELA","CCL2","GErel","expression"
"118","RELA","CCL5","GErel","expression"
"119","RELA","CXCL8","GErel","expression"
"120","RELA","IL6","GErel","expression"
"121","GRB2","SOS1","PPrel","activation"
"122","GRB2","SOS2","PPrel","activation"
"123","SOS1","HRAS","PPrel","activation"
"124","SOS1","KRAS","PPrel","activation"
"125","SOS1","NRAS","PPrel","activation"
"126","SOS2","HRAS","PPrel","activation"
"127","SOS2","KRAS","PPrel","activation"
"128","SOS2","NRAS","PPrel","activation"
"129","HRAS","RAF1","PPrel","activation"
"130","KRAS","RAF1","PPrel","activation"
"131","NRAS","RAF1","PPrel","activation"
"132","RAF1","MAP2K1","PPrel","activation"
"133","RAF1","MAP2K1","PPrel","phosphorylation"
"134","RAF1","MAP2K2","PPrel","activation"
"135","RAF1","MAP2K2","PPrel","phosphorylation"
"136","MAP2K1","MAPK1","PPrel","activation"
"137","MAP2K1","MAPK1","PPrel","phosphorylation"
"138","MAP2K1","MAPK3","PPrel","activation"
"139","MAP2K1","MAPK3","PPrel","phosphorylation"
"140","MAP2K2","MAPK1","PPrel","activation"
"141","MAP2K2","MAPK1","PPrel","phosphorylation"
"142","MAP2K2","MAPK3","PPrel","activation"
"143","MAP2K2","MAPK3","PPrel","phosphorylation"
"144","MAPK1","ELK1","PPrel","activation"
"145","MAPK1","SP1","PPrel","activation"
"146","MAPK3","ELK1","PPrel","activation"
"147","MAPK3","SP1","PPrel","activation"
"148","ITGAV","SRC","PPrel","activation"
"149","ITGB3","SRC","PPrel","activation"
"150","TNF","TNFRSF1A","PPrel","activation"
"151","TNFRSF1A","TRADD","PPrel","binding/association"
"152","TNFRSF1A","RIPK1","PPrel","activation"
"153","TNFRSF1A","TRAF5","PPrel","activation"
"154","TNFRSF1A","TRAF2","PPrel","activation"
"155","FADD","CASP8","PPrel","activation"
"156","CASP8","BID","PPrel","activation"
"157","CASP8","CASP3","PPrel","activation"
"158","FAS","FADD","PPrel","activation"
"159","PDGFRA","P3R3URF-PIK3R3","PPrel","activation"
"160","PDGFRA","PIK3CA","PPrel","activation"
"161","PDGFRA","PIK3CB","PPrel","activation"
"162","PDGFRA","PIK3CD","PPrel","activation"
"163","PDGFRA","PIK3R1","PPrel","activation"
"164","PDGFRA","PIK3R2","PPrel","activation"
"165","PDGFRA","PIK3R3","PPrel","activation"
"166","PDGFRA","GRB2","PPrel","activation"
"167","HLA-A","B2M","PPrel","binding/association"
"168","HLA-B","B2M","PPrel","binding/association"
"169","HLA-C","B2M","PPrel","binding/association"
"170","HLA-E","B2M","PPrel","binding/association"
"171","HLA-F","B2M","PPrel","binding/association"
"172","HLA-G","B2M","PPrel","binding/association"
"173","TRADD","FADD","PPrel","activation"
"174","TRADD","CHUK","PPrel","activation"
"175","TRADD","IKBKB","PPrel","activation"
"176","TRADD","IKBKG","PPrel","activation"
"177","NFKBIA","NFKB1","PPrel","dissociation"
"178","NFKBIA","RELA","PPrel","dissociation"
"179","BAX","CYCS","PPrel","activation"
"180","BAK1","CYCS","PPrel","activation"
"181","CYCS","CASP9","PPrel","activation"
"182","STAT3","CCND1","GErel","expression"
"183","STAT3","PTGS2","GErel","expression"
"184","STAT3","VEGFA","GErel","expression"
"185","GNB5","P3R3URF-PIK3R3","PPrel","activation"
"186","GNB5","PIK3CA","PPrel","activation"
"187","GNB5","PIK3CB","PPrel","activation"
"188","GNB5","PIK3CD","PPrel","activation"
"189","GNB5","PIK3R1","PPrel","activation"
"190","GNB5","PIK3R2","PPrel","activation"
"191","GNB5","PIK3R3","PPrel","activation"
"192","GNB5","PLCB1","PPrel","activation"
"193","GNB5","PLCB2","PPrel","activation"
"194","GNB5","PLCB3","PPrel","activation"
"195","GNB5","PLCB4","PPrel","activation"
"196","GNB5","RHOA","PPrel","activation"
"197","GNB5","RHOA","PPrel","indirect effect"
"198","GNB1","P3R3URF-PIK3R3","PPrel","activation"
"199","GNB1","PIK3CA","PPrel","activation"
"200","GNB1","PIK3CB","PPrel","activation"
"201","GNB1","PIK3CD","PPrel","activation"
"202","GNB1","PIK3R1","PPrel","activation"
"203","GNB1","PIK3R2","PPrel","activation"
"204","GNB1","PIK3R3","PPrel","activation"
"205","GNB1","PLCB1","PPrel","activation"
"206","GNB1","PLCB2","PPrel","activation"
"207","GNB1","PLCB3","PPrel","activation"
"208","GNB1","PLCB4","PPrel","activation"
"209","GNB1","RHOA","PPrel","activation"
"210","GNB1","RHOA","PPrel","indirect effect"
"211","GNB2","P3R3URF-PIK3R3","PPrel","activation"
"212","GNB2","PIK3CA","PPrel","activation"
"213","GNB2","PIK3CB","PPrel","activation"
"214","GNB2","PIK3CD","PPrel","activation"
"215","GNB2","PIK3R1","PPrel","activation"
"216","GNB2","PIK3R2","PPrel","activation"
"217","GNB2","PIK3R3","PPrel","activation"
"218","GNB2","PLCB1","PPrel","activation"
"219","GNB2","PLCB2","PPrel","activation"
"220","GNB2","PLCB3","PPrel","activation"
"221","GNB2","PLCB4","PPrel","activation"
"222","GNB2","RHOA","PPrel","activation"
"223","GNB2","RHOA","PPrel","indirect effect"
"224","GNB3","P3R3URF-PIK3R3","PPrel","activation"
"225","GNB3","PIK3CA","PPrel","activation"
