"","from","to","type","subtype"
"1","MIOX","UGT2B11","ECrel","compound"
"2","MIOX","UGT2A1","ECrel","compound"
"3","MIOX","UGT2B28","ECrel","compound"
"4","MIOX","UGT1A10","ECrel","compound"
"5","MIOX","UGT1A8","ECrel","compound"
"6","MIOX","UGT1A7","ECrel","compound"
"7","MIOX","UGT1A6","ECrel","compound"
"8","MIOX","UGT1A5","ECrel","compound"
"9","MIOX","UGT1A9","ECrel","compound"
"10","MIOX","UGT1A4","ECrel","compound"
"11","MIOX","UGT1A1","ECrel","compound"
"12","MIOX","UGT1A3","ECrel","compound"
"13","MIOX","UGT2A2","ECrel","compound"
"14","MIOX","UGT2B4","ECrel","compound"
"15","MIOX","UGT2B7","ECrel","compound"
"16","MIOX","UGT2B10","ECrel","compound"
"17","MIOX","UGT2B15","ECrel","compound"
"18","MIOX","UGT2B17","ECrel","compound"
"19","MIOX","UGT2A3","ECrel","compound"
"20","MIOX","GUSB","ECrel","compound"
"21","MIOX","KL","ECrel","compound"
"22","UGDH","UGT2B11","ECrel","compound"
"23","UGDH","UGT2A1","ECrel","compound"
"24","UGDH","UGT2B28","ECrel","compound"
"25","UGDH","UGT1A10","ECrel","compound"
"26","UGDH","UGT1A8","ECrel","compound"
"27","UGDH","UGT1A7","ECrel","compound"
"28","UGDH","UGT1A6","ECrel","compound"
"29","UGDH","UGT1A5","ECrel","compound"
"30","UGDH","UGT1A9","ECrel","compound"
"31","UGDH","UGT1A4","ECrel","compound"
"32","UGDH","UGT1A1","ECrel","compound"
"33","UGDH","UGT1A3","ECrel","compound"
"34","UGDH","UGT2A2","ECrel","compound"
"35","UGDH","UGT2B4","ECrel","compound"
"36","UGDH","UGT2B7","ECrel","compound"
"37","UGDH","UGT2B10","ECrel","compound"
"38","UGDH","UGT2B15","ECrel","compound"
"39","UGDH","UGT2B17","ECrel","compound"
"40","UGDH","UGT2A3","ECrel","compound"
"41","UGT2B11","GUSB","ECrel","compound"
"42","UGT2B11","KL","ECrel","compound"
"43","UGT2A1","GUSB","ECrel","compound"
"44","UGT2A1","KL","ECrel","compound"
"45","UGT2B28","GUSB","ECrel","compound"
"46","UGT2B28","KL","ECrel","compound"
"47","UGT1A10","GUSB","ECrel","compound"
"48","UGT1A10","KL","ECrel","compound"
"49","UGT1A8","GUSB","ECrel","compound"
"50","UGT1A8","KL","ECrel","compound"
"51","UGT1A7","GUSB","ECrel","compound"
"52","UGT1A7","KL","ECrel","compound"
"53","UGT1A6","GUSB","ECrel","compound"
"54","UGT1A6","KL","ECrel","compound"
"55","UGT1A5","GUSB","ECrel","compound"
"56","UGT1A5","KL","ECrel","compound"
"57","UGT1A9","GUSB","ECrel","compound"
"58","UGT1A9","KL","ECrel","compound"
"59","UGT1A4","GUSB","ECrel","compound"
"60","UGT1A4","KL","ECrel","compound"
"61","UGT1A1","GUSB","ECrel","compound"
"62","UGT1A1","KL","ECrel","compound"
"63","UGT1A3","GUSB","ECrel","compound"
"64","UGT1A3","KL","ECrel","compound"
"65","UGT2A2","GUSB","ECrel","compound"
"66","UGT2A2","KL","ECrel","compound"
"67","UGT2B4","GUSB","ECrel","compound"
"68","UGT2B4","KL","ECrel","compound"
"69","UGT2B7","GUSB","ECrel","compound"
"70","UGT2B7","KL","ECrel","compound"
"71","UGT2B10","GUSB","ECrel","compound"
"72","UGT2B10","KL","ECrel","compound"
"73","UGT2B15","GUSB","ECrel","compound"
"74","UGT2B15","KL","ECrel","compound"
"75","UGT2B17","GUSB","ECrel","compound"
"76","UGT2B17","KL","ECrel","compound"
"77","UGT2A3","GUSB","ECrel","compound"
"78","UGT2A3","KL","ECrel","compound"
"79","AKR1A1","RGN","ECrel","compound"
"80","AKR1A1","MIOX","ECrel","compound"
"81","AKR1A1","UGT2B11","ECrel","compound"
"82","AKR1A1","UGT2A1","ECrel","compound"
"83","AKR1A1","UGT2B28","ECrel","compound"
"84","AKR1A1","UGT1A10","ECrel","compound"
"85","AKR1A1","UGT1A8","ECrel","compound"
"86","AKR1A1","UGT1A7","ECrel","compound"
"87","AKR1A1","UGT1A6","ECrel","compound"
"88","AKR1A1","UGT1A5","ECrel","compound"
"89","AKR1A1","UGT1A9","ECrel","compound"
"90","AKR1A1","UGT1A4","ECrel","compound"
"91","AKR1A1","UGT1A1","ECrel","compound"
"92","AKR1A1","UGT1A3","ECrel","compound"
"93","AKR1A1","UGT2A2","ECrel","compound"
"94","AKR1A1","UGT2B4","ECrel","compound"
"95","AKR1A1","UGT2B7","ECrel","compound"
"96","AKR1A1","UGT2B10","ECrel","compound"
"97","AKR1A1","UGT2B15","ECrel","compound"
"98","AKR1A1","UGT2B17","ECrel","compound"
"99","AKR1A1","UGT2A3","ECrel","compound"
"100","AKR1A1","GUSB","ECrel","compound"
"101","AKR1A1","KL","ECrel","compound"
