"","from","to","type","subtype"
"1","CTSG","F2R","PPrel","activation"
"2","CTSG","F2RL1","PPrel","activation"
"3","CTSG","F2RL2","PPrel","activation"
"4","CTSG","F2RL3","PPrel","activation"
"5","F2","F2R","PPrel","activation"
"6","F2","F2RL1","PPrel","activation"
"7","F2","F2RL2","PPrel","activation"
"8","F2","F2RL3","PPrel","activation"
"9","GZMA","F2R","PPrel","activation"
"10","GZMA","F2RL1","PPrel","activation"
"11","GZMA","F2RL2","PPrel","activation"
"12","GZMA","F2RL3","PPrel","activation"
"13","PLG","F2R","PPrel","activation"
"14","PLG","F2RL1","PPrel","activation"
"15","PLG","F2RL2","PPrel","activation"
"16","PLG","F2RL3","PPrel","activation"
"17","PRSS1","F2R","PPrel","activation"
"18","PRSS1","F2RL1","PPrel","activation"
"19","PRSS1","F2RL2","PPrel","activation"
"20","PRSS1","F2RL3","PPrel","activation"
"21","PRSS2","F2R","PPrel","activation"
"22","PRSS2","F2RL1","PPrel","activation"
"23","PRSS2","F2RL2","PPrel","activation"
"24","PRSS2","F2RL3","PPrel","activation"
"25","PRSS3","F2R","PPrel","activation"
"26","PRSS3","F2RL1","PPrel","activation"
"27","PRSS3","F2RL2","PPrel","activation"
"28","PRSS3","F2RL3","PPrel","activation"
"29","CGA","FSHR","PPrel","activation"
"30","CGA","LHCGR","PPrel","activation"
"31","CGA","TSHR","PPrel","activation"
"32","TSHB","TSHR","PPrel","activation"
"33","LHB","LHCGR","PPrel","activation"
"34","FSHB","FSHR","PPrel","activation"
"35","PRL","PRLR","PPrel","activation"
"36","LEP","LEPR","PPrel","activation"
"37","CSH1","GHR","PPrel","activation"
"38","CSH2","GHR","PPrel","activation"
"39","CSHL1","GHR","PPrel","activation"
"40","GH1","GHR","PPrel","activation"
"41","GH2","GHR","PPrel","activation"
"42","AGT","AGTR1","PPrel","activation"
"43","AGT","AGTR2","PPrel","activation"
"44","AGT","MAS1","PPrel","activation"
"45","APLN","APLNR","PPrel","activation"
"46","GRP","GRPR","PPrel","activation"
"47","GRP","NMBR","PPrel","activation"
"48","GRP","BRS3","PPrel","activation"
"49","NMB","GRPR","PPrel","activation"
"50","NMB","NMBR","PPrel","activation"
"51","NMB","BRS3","PPrel","activation"
"52","KNG1","BDKRB1","PPrel","activation"
"53","KNG1","BDKRB2","PPrel","activation"
"54","C3","C3AR1","PPrel","activation"
"55","C5","C5AR1","PPrel","activation"
"56","CCK","CCKAR","PPrel","activation"
