"","from","to","type","subtype"
"1","BDH1","HMGCL","ECrel","compound"
"2","BDH1","HMGCLL1","ECrel","compound"
"3","BDH1","OXCT1","ECrel","compound"
"4","BDH1","OXCT2","ECrel","compound"
"5","BDH1","AACS","ECrel","compound"
"6","OXCT1","ACAT1","ECrel","compound"
"7","OXCT1","ACAT2","ECrel","compound"
"8","OXCT1","HMGCS1","ECrel","compound"
"9","OXCT1","HMGCS2","ECrel","compound"
"10","OXCT1","EHHADH","ECrel","compound"
"11","OXCT1","HADH","ECrel","compound"
"12","OXCT1","HMGCL","ECrel","compound"
"13","OXCT1","HMGCLL1","ECrel","compound"
"14","OXCT2","ACAT1","ECrel","compound"
"15","OXCT2","ACAT2","ECrel","compound"
"16","OXCT2","HMGCS1","ECrel","compound"
"17","OXCT2","HMGCS2","ECrel","compound"
"18","OXCT2","EHHADH","ECrel","compound"
"19","OXCT2","HADH","ECrel","compound"
"20","OXCT2","HMGCL","ECrel","compound"
"21","OXCT2","HMGCLL1","ECrel","compound"
"22","AACS","ACAT1","ECrel","compound"
"23","AACS","ACAT2","ECrel","compound"
"24","AACS","HMGCS1","ECrel","compound"
"25","AACS","HMGCS2","ECrel","compound"
"26","AACS","EHHADH","ECrel","compound"
"27","AACS","HADH","ECrel","compound"
"28","AACS","HMGCL","ECrel","compound"
"29","AACS","HMGCLL1","ECrel","compound"
"30","HMGCL","HMGCS1","ECrel","compound"
"31","HMGCL","HMGCS2","ECrel","compound"
"32","HMGCL","ACAT1","ECrel","compound"
"33","HMGCL","ACAT2","ECrel","compound"
"34","HMGCLL1","HMGCS1","ECrel","compound"
"35","HMGCLL1","HMGCS2","ECrel","compound"
"36","HMGCLL1","ACAT1","ECrel","compound"
"37","HMGCLL1","ACAT2","ECrel","compound"
"38","HMGCS1","ACAT1","ECrel","compound"
"39","HMGCS1","ACAT2","ECrel","compound"
"40","HMGCS1","EHHADH","ECrel","compound"
"41","HMGCS1","HADH","ECrel","compound"
"42","HMGCS2","ACAT1","ECrel","compound"
"43","HMGCS2","ACAT2","ECrel","compound"
"44","HMGCS2","EHHADH","ECrel","compound"
"45","HMGCS2","HADH","ECrel","compound"
"46","ACAT1","EHHADH","ECrel","compound"
"47","ACAT1","HADH","ECrel","compound"
"48","ACAT2","EHHADH","ECrel","compound"
"49","ACAT2","HADH","ECrel","compound"
"50","EHHADH","ACADS","ECrel","compound"
"51","EHHADH","ECHS1","ECrel","compound"
"52","EHHADH","EHHADH","ECrel","compound"
"53","EHHADH","HADHA","ECrel","compound"
"54","HADH","ECHS1","ECrel","compound"
"55","HADH","EHHADH","ECrel","compound"
"56","HADH","HADHA","ECrel","compound"
"57","ECHS1","ACADS","ECrel","compound"
"58","HADHA","ACADS","ECrel","compound"
"59","ABAT","ALDH5A1","ECrel","compound"
"60","ABAT","GAD1","ECrel","compound"
"61","ABAT","GAD2","ECrel","compound"
"62","ACADS","ACSM1","ECrel","compound"
"63","ACADS","ACSM2A","ECrel","compound"
"64","ACADS","ACSM6","ECrel","compound"
"65","ACADS","ACSM4","ECrel","compound"
"66","ACADS","ACSM2B","ECrel","compound"
"67","ACADS","ACSM5","ECrel","compound"
"68","ACADS","ACSM3","ECrel","compound"
