"","from","to","type","subtype"
"1","IFNG","IFNGR1","PPrel","activation"
"2","IFNG","IFNGR2","PPrel","activation"
"3","NFKB1","NFKBIA","PPrel","dissociation"
"4","NFKB1","NFKBIB","PPrel","dissociation"
"5","NFKB1","NFKBIE","PPrel","dissociation"
"6","NFKB1","TBX21","GErel","expression"
"7","NFKB1","IFNG","GErel","expression"
"8","NFKB1","IL12RB1","GErel","expression"
"9","NFKB1","IL12RB2","GErel","expression"
"10","NFKB1","GATA3","GErel","expression"
"11","NFKB1","IL2RA","GErel","expression"
"12","NFKB1","IL4R","GErel","expression"
"13","NFKB1","IL4","GErel","expression"
"14","NFKB1","IL2","GErel","expression"
"15","NFKB1","IL5","GErel","expression"
"16","NFKB1","IL13","GErel","expression"
"17","RELA","NFKBIA","PPrel","dissociation"
"18","RELA","NFKBIB","PPrel","dissociation"
"19","RELA","NFKBIE","PPrel","dissociation"
"20","RELA","TBX21","GErel","expression"
"21","RELA","IFNG","GErel","expression"
"22","RELA","IL12RB1","GErel","expression"
"23","RELA","IL12RB2","GErel","expression"
"24","RELA","GATA3","GErel","expression"
"25","RELA","IL2RA","GErel","expression"
"26","RELA","IL4R","GErel","expression"
"27","RELA","IL4","GErel","expression"
"28","RELA","IL2","GErel","expression"
"29","RELA","IL5","GErel","expression"
"30","RELA","IL13","GErel","expression"
"31","CHUK","NFKBIA","PPrel","activation"
"32","CHUK","NFKBIA","PPrel","phosphorylation"
"33","CHUK","NFKBIB","PPrel","activation"
"34","CHUK","NFKBIB","PPrel","phosphorylation"
"35","CHUK","NFKBIE","PPrel","activation"
"36","CHUK","NFKBIE","PPrel","phosphorylation"
"37","IKBKB","NFKBIA","PPrel","activation"
"38","IKBKB","NFKBIA","PPrel","phosphorylation"
"39","IKBKB","NFKBIB","PPrel","activation"
"40","IKBKB","NFKBIB","PPrel","phosphorylation"
"41","IKBKB","NFKBIE","PPrel","activation"
"42","IKBKB","NFKBIE","PPrel","phosphorylation"
"43","IKBKG","NFKBIA","PPrel","activation"
"44","IKBKG","NFKBIA","PPrel","phosphorylation"
"45","IKBKG","NFKBIB","PPrel","activation"
"46","IKBKG","NFKBIB","PPrel","phosphorylation"
"47","IKBKG","NFKBIE","PPrel","activation"
"48","IKBKG","NFKBIE","PPrel","phosphorylation"
"49","PRKCQ","CHUK","PPrel","activation"
"50","PRKCQ","CHUK","PPrel","indirect effect"
"51","PRKCQ","IKBKB","PPrel","activation"
"52","PRKCQ","IKBKB","PPrel","indirect effect"
"53","PRKCQ","IKBKG","PPrel","activation"
"54","PRKCQ","IKBKG","PPrel","indirect effect"
"55","NFATC1","TBX21","GErel","expression"
"56","NFATC1","IFNG","GErel","expression"
"57","NFATC1","IL12RB1","GErel","expression"
"58","NFATC1","IL12RB2","GErel","expression"
"59","NFATC1","GATA3","GErel","expression"
"60","NFATC1","IL2RA","GErel","expression"
"61","NFATC1","IL4R","GErel","expression"
"62","NFATC1","IL4","GErel","expression"
"63","NFATC1","IL2","GErel","expression"
"64","NFATC1","IL5","GErel","expression"
"65","NFATC1","IL13","GErel","expression"
"66","NFATC2","TBX21","GErel","expression"
"67","NFATC2","IFNG","GErel","expression"
"68","NFATC2","IL12RB1","GErel","expression"
"69","NFATC2","IL12RB2","GErel","expression"
"70","NFATC2","GATA3","GErel","expression"
"71","NFATC2","IL2RA","GErel","expression"
"72","NFATC2","IL4R","GErel","expression"
"73","NFATC2","IL4","GErel","expression"
"74","NFATC2","IL2","GErel","expression"
"75","NFATC2","IL5","GErel","expression"
"76","NFATC2","IL13","GErel","expression"
"77","NFATC3","TBX21","GErel","expression"
"78","NFATC3","IFNG","GErel","expression"
"79","NFATC3","IL12RB1","GErel","expression"
"80","NFATC3","IL12RB2","GErel","expression"
"81","NFATC3","GATA3","GErel","expression"
"82","NFATC3","IL2RA","GErel","expression"
"83","NFATC3","IL4R","GErel","expression"
"84","NFATC3","IL4","GErel","expression"
"85","NFATC3","IL2","GErel","expression"
"86","NFATC3","IL5","GErel","expression"
"87","NFATC3","IL13","GErel","expression"
"88","PPP3CA","NFATC1","PPrel","activation"
"89","PPP3CA","NFATC1","PPrel","dephosphorylation"
"90","PPP3CA","NFATC2","PPrel","activation"
"91","PPP3CA","NFATC2","PPrel","dephosphorylation"
"92","PPP3CA","NFATC3","PPrel","activation"
"93","PPP3CA","NFATC3","PPrel","dephosphorylation"
"94","PPP3CB","NFATC1","PPrel","activation"
"95","PPP3CB","NFATC1","PPrel","dephosphorylation"
"96","PPP3CB","NFATC2","PPrel","activation"
"97","PPP3CB","NFATC2","PPrel","dephosphorylation"
"98","PPP3CB","NFATC3","PPrel","activation"
"99","PPP3CB","NFATC3","PPrel","dephosphorylation"
"100","PPP3CC","NFATC1","PPrel","activation"
"101","PPP3CC","NFATC1","PPrel","dephosphorylation"
"102","PPP3CC","NFATC2","PPrel","activation"
"103","PPP3CC","NFATC2","PPrel","dephosphorylation"
"104","PPP3CC","NFATC3","PPrel","activation"
"105","PPP3CC","NFATC3","PPrel","dephosphorylation"
"106","PPP3R1","NFATC1","PPrel","activation"
"107","PPP3R1","NFATC1","PPrel","dephosphorylation"
"108","PPP3R1","NFATC2","PPrel","activation"
"109","PPP3R1","NFATC2","PPrel","dephosphorylation"
"110","PPP3R1","NFATC3","PPrel","activation"
"111","PPP3R1","NFATC3","PPrel","dephosphorylation"
"112","PPP3R2","NFATC1","PPrel","activation"
"113","PPP3R2","NFATC1","PPrel","dephosphorylation"
"114","PPP3R2","NFATC2","PPrel","activation"
"115","PPP3R2","NFATC2","PPrel","dephosphorylation"
"116","PPP3R2","NFATC3","PPrel","activation"
"117","PPP3R2","NFATC3","PPrel","dephosphorylation"
"118","ZAP70","LAT","PPrel","activation"
"119","CD247","ZAP70","PPrel","binding/association"
"120","MAPK1","FOS","PPrel","activation"
"121","MAPK1","FOS","PPrel","phosphorylation"
"122","MAPK3","FOS","PPrel","activation"
"123","MAPK3","FOS","PPrel","phosphorylation"
"124","MAPK14","JUN","PPrel","activation"
"125","MAPK14","JUN","PPrel","phosphorylation"
"126","MAPK11","JUN","PPrel","activation"
"127","MAPK11","JUN","PPrel","phosphorylation"
"128","MAPK13","JUN","PPrel","activation"
"129","MAPK13","JUN","PPrel","phosphorylation"
"130","MAPK12","JUN","PPrel","activation"
"131","MAPK12","JUN","PPrel","phosphorylation"
"132","MAPK8","JUN","PPrel","activation"
"133","MAPK8","JUN","PPrel","phosphorylation"
"134","MAPK9","JUN","PPrel","activation"
"135","MAPK9","JUN","PPrel","phosphorylation"
"136","MAPK10","JUN","PPrel","activation"
"137","MAPK10","JUN","PPrel","phosphorylation"
"138","JUN","TBX21","GErel","expression"
"139","JUN","IFNG","GErel","expression"
"140","JUN","IL12RB1","GErel","expression"
"141","JUN","IL12RB2","GErel","expression"
"142","JUN","GATA3","GErel","expression"
"143","JUN","IL2RA","GErel","expression"
"144","JUN","IL4R","GErel","expression"
"145","JUN","IL4","GErel","expression"
"146","JUN","IL2","GErel","expression"
"147","JUN","IL5","GErel","expression"
"148","JUN","IL13","GErel","expression"
"149","LAT","PLCG1","PPrel","activation"
"150","FOS","TBX21","GErel","expression"
"151","FOS","IFNG","GErel","expression"
"152","FOS","IL12RB1","GErel","expression"
"153","FOS","IL12RB2","GErel","expression"
"154","FOS","GATA3","GErel","expression"
"155","FOS","IL2RA","GErel","expression"
"156","FOS","IL4R","GErel","expression"
"157","FOS","IL4","GErel","expression"
"158","FOS","IL2","GErel","expression"
"159","FOS","IL5","GErel","expression"
"160","FOS","IL13","GErel","expression"
"161","CD4","LCK","PPrel","binding/association"
"162","LCK","ZAP70","PPrel","activation"
"163","IFNGR1","STAT1","PPrel","activation"
"164","IFNGR1","JAK1","PPrel","binding/association"
"165","IFNGR1","JAK2","PPrel","binding/association"
"166","IFNGR2","STAT1","PPrel","activation"
"167","IFNGR2","JAK1","PPrel","binding/association"
"168","IFNGR2","JAK2","PPrel","binding/association"
"169","STAT1","TBX21","GErel","expression"
"170","STAT1","IFNG","GErel","expression"
"171","STAT1","IL12RB1","GErel","expression"
"172","STAT1","IL12RB2","GErel","expression"
"173","IL12A","IL12RB1","PPrel","activation"
"174","IL12A","IL12RB2","PPrel","activation"
"175","IL12B","IL12RB1","PPrel","activation"
"176","IL12B","IL12RB2","PPrel","activation"
"177","IL12RB1","STAT4","PPrel","activation"
"178","IL12RB1","JAK2","PPrel","binding/association"
"179","IL12RB1","TYK2","PPrel","binding/association"
"180","IL12RB2","STAT4","PPrel","activation"
"181","IL12RB2","JAK2","PPrel","binding/association"
"182","IL12RB2","TYK2","PPrel","binding/association"
"183","STAT4","TBX21","GErel","expression"
"184","STAT4","IFNG","GErel","expression"
"185","STAT4","IL12RB1","GErel","expression"
"186","STAT4","IL12RB2","GErel","expression"
"187","IL4","IL4R","PPrel","activation"
"188","IL4R","STAT6","PPrel","activation"
"189","IL4R","JAK1","PPrel","binding/association"
"190","IL4R","JAK3","PPrel","binding/association"
"191","STAT6","GATA3","GErel","expression"
"192","STAT6","IL2RA","GErel","expression"
"193","STAT6","IL4R","GErel","expression"
"194","STAT6","IL4","GErel","expression"
"195","STAT6","IL2","GErel","expression"
"196","GATA3","GATA3","GErel","expression"
"197","GATA3","IL2RA","GErel","expression"
"198","GATA3","IL4R","GErel","expression"
"199","GATA3","IL4","GErel","expression"
"200","GATA3","IL2","GErel","expression"
"201","GATA3","IL5","GErel","expression"
"202","GATA3","IL13","GErel","expression"
"203","GATA3","MAF","GErel","expression"
"204","GATA3","TBX21","PPrel","inhibition"
"205","GATA3","IL12RB1","GErel","repression"
"206","GATA3","IL12RB2","GErel","repression"
"207","TBX21","IFNG","GErel","expression"
"208","TBX21","IL12RB1","GErel","expression"
"209","TBX21","IL12RB2","GErel","expression"
"210","TBX21","GATA3","GErel","repression"
"211","TBX21","IL4","GErel","repression"
"212","TBX21","RUNX3","PPrel","binding/association"
"213","IL2","IL2RA","PPrel","activation"
"214","IL2","IL2RB","PPrel","activation"
"215","IL2","IL2RG","PPrel","activation"
"216","IL2RA","STAT5A","PPrel","activation"
"217","IL2RA","STAT5B","PPrel","activation"
"218","IL2RA","JAK1","PPrel","binding/association"
"219","IL2RA","JAK3","PPrel","binding/association"
"220","IL2RB","STAT5A","PPrel","activation"
"221","IL2RB","STAT5B","PPrel","activation"
"222","IL2RB","JAK1","PPrel","binding/association"
"223","IL2RB","JAK3","PPrel","binding/association"
"224","IL2RG","STAT5A","PPrel","activation"
"225","IL2RG","STAT5B","PPrel","activation"
"226","IL2RG","JAK1","PPrel","binding/association"
"227","IL2RG","JAK3","PPrel","binding/association"
"228","STAT5A","GATA3","GErel","expression"
"229","STAT5A","IL2RA","GErel","expression"
"230","STAT5A","IL4R","GErel","expression"
"231","STAT5A","IL4","GErel","expression"
"232","STAT5A","IL2","GErel","expression"
"233","STAT5B","GATA3","GErel","expression"
"234","STAT5B","IL2RA","GErel","expression"
"235","STAT5B","IL4R","GErel","expression"
"236","STAT5B","IL4","GErel","expression"
"237","STAT5B","IL2","GErel","expression"
"238","MAF","IL2RA","GErel","expression"
"239","MAF","IL4R","GErel","expression"
"240","MAF","IL4","GErel","expression"
"241","JAG1","NOTCH1","PPrel","activation"
"242","JAG1","NOTCH2","PPrel","activation"
"243","JAG2","NOTCH1","PPrel","activation"
"244","JAG2","NOTCH2","PPrel","activation"
"245","NOTCH1","MAML3","PPrel","activation"
"246","NOTCH1","MAML2","PPrel","activation"
"247","NOTCH1","MAML1","PPrel","activation"
"248","NOTCH1","RBPJL","PPrel","activation"
"249","NOTCH1","RBPJ","PPrel","activation"
"250","NOTCH2","MAML3","PPrel","activation"
"251","NOTCH2","MAML2","PPrel","activation"
"252","NOTCH2","MAML1","PPrel","activation"
"253","NOTCH2","RBPJL","PPrel","activation"
"254","NOTCH2","RBPJ","PPrel","activation"
"255","MAML3","TBX21","GErel","expression"
"256","MAML3","GATA3","GErel","expression"
"257","MAML3","IL4","GErel","expression"
"258","MAML2","TBX21","GErel","expression"
"259","MAML2","GATA3","GErel","expression"
"260","MAML2","IL4","GErel","expression"
"261","MAML1","TBX21","GErel","expression"
"262","MAML1","GATA3","GErel","expression"
"263","MAML1","IL4","GErel","expression"
"264","RBPJL","TBX21","GErel","expression"
"265","RBPJL","GATA3","GErel","expression"
"266","RBPJL","IL4","GErel","expression"
"267","RBPJ","TBX21","GErel","expression"
"268","RBPJ","GATA3","GErel","expression"
"269","RBPJ","IL4","GErel","expression"
"270","DLL3","NOTCH3","PPrel","activation"
"271","DLL1","NOTCH3","PPrel","activation"
"272","DLL4","NOTCH3","PPrel","activation"
"273","NOTCH3","MAML3","PPrel","activation"
"274","NOTCH3","MAML2","PPrel","activation"
"275","NOTCH3","MAML1","PPrel","activation"
"276","NOTCH3","RBPJL","PPrel","activation"
"277","NOTCH3","RBPJ","PPrel","activation"
"278","NOTCH3","NFKB1","PPrel","activation"
"279","NOTCH3","RELA","PPrel","activation"
"280","HLA-DMA","CD247","PPrel","activation"
"281","HLA-DMB","CD247","PPrel","activation"
"282","HLA-DOA","CD247","PPrel","activation"
"283","HLA-DOB","CD247","PPrel","activation"
"284","HLA-DPA1","CD247","PPrel","activation"
"285","HLA-DPB1","CD247","PPrel","activation"
"286","HLA-DQA1","CD247","PPrel","activation"
"287","HLA-DQA2","CD247","PPrel","activation"
"288","HLA-DQB1","CD247","PPrel","activation"
"289","HLA-DQB2","CD247","PPrel","activation"
"290","HLA-DRA","CD247","PPrel","activation"
"291","HLA-DRB1","CD247","PPrel","activation"
"292","HLA-DRB3","CD247","PPrel","activation"
"293","HLA-DRB4","CD247","PPrel","activation"
"294","HLA-DRB5","CD247","PPrel","activation"
